Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2013,Jun 2014,Jun 2015,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,Jun 2021,TTM,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Profit & Loss,Profit before tax,,103,,,,170,,,,136,,,,123,129,107,128,150,138,162,120,58,171,,,,,
Profit & Loss,Tax %,,26%,,,,26%,,,,31%,,,,31%,35%,37%,35%,35%,36%,34%,28%,27%,,,,,,
Profit & Loss,Net Profit,,76,,,,127,,,,94,,,,84,84,67,83,97,89,106,87,42,126,,,,,
Profit & Loss,EPS in Rs,,51.04,,,,84.90,,,,62.88,,,,56.53,56.23,45.16,55.62,65.15,59.75,71.27,58.16,28.27,84.60,,,,,
Profit & Loss,Dividend Payout %,,121%,,,,77%,,,,103%,,,,124%,87%,80%,81%,78%,77%,45%,17%,184%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,15,,,,15,,,,15,,15,,15,15,15,15,15,15,15,15,15,,,,,,
Balance Sheet,Reserves,,248,,,,255,,,,268,,273,,87,95,100,98,166,165,183,230,224,,,,,,
Balance Sheet,Borrowings,,25,,,,15,,,,33,,29,,0,0,0,0,0,0,0,49,39,,,,,,
Balance Sheet,Other Liabilities,,67,,,,85,,,,95,,86,,128,107,96,104,67,76,76,76,66,,,,,,
Balance Sheet,Total Liabilities,,355,,,,369,,,,411,,404,,230,216,211,217,248,255,274,370,343,,,,,,
Balance Sheet,Fixed Assets,,101,,,,87,,,,63,,65,,74,79,75,77,62,69,71,137,125,,,,,,
Balance Sheet,CWIP,,2,,,,4,,,,6,,0,,2,1,0,0,1,0,1,6,9,,,,,,
Balance Sheet,Investments,,52,,,,60,,,,63,,62,,38,34,37,24,41,36,17,15,27,,,,,,
Balance Sheet,Other Assets,,200,,,,219,,,,279,,277,,116,102,98,116,143,149,185,212,183,,,,,,
Balance Sheet,Total Assets,,355,,,,369,,,,411,,404,,230,216,211,217,248,255,274,370,343,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,118,,,,133,,,,156,,,,114,104,66,80,93,111,87,131,87,,,,,,
Cash Flows,Cash from Investing Activity,,-72,,,,14,,,,-65,,,,-38,9,-8,-6,-26,-14,-3,-61,-11,,,,,,
Cash Flows,Cash from Financing Activity,,-64,,,,-132,,,,-94,,,,-70,-114,-57,-69,-73,-94,-86,-53,-66,,,,,,
Cash Flows,Net Cash Flow,,-18,,,,15,,,,-4,,,,6,-1,2,5,-6,3,-3,17,9,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,67,,,,60,,,,55,,,,40,44,45,42,66,53,66,67,80,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,67,,,,60,,,,55,,,,40,44,45,42,66,53,66,67,80,,,,,,
Ratios,Working Capital Days,,51,,,,48,,,,44,,,,-62,-44,-30,-24,44,34,57,52,66,,,,,,
Ratios,ROCE %,,38%,,,,56%,,,,57%,,,,103%,122%,95%,113%,103%,77%,86%,51%,22%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,74.66%,74.66%,74.66%,74.66%,74.66%,74.66%,74.66%,74.66%,74.66%,74.66%,74.66%,74.66%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.55%,0.59%,0.20%,0.30%,0.21%,0.26%,0.27%,0.39%,0.28%,0.22%,0.23%,1.83%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,1.19%,1.47%,1.27%,0.96%,0.35%,0.38%,0.44%,0.65%,0.65%,0.67%,1.09%,1.09%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,23.61%,23.27%,23.86%,24.07%,24.77%,24.70%,24.62%,24.31%,24.41%,24.45%,24.02%,22.42%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,26066,25270,25272,25446,27188,28278,31535,33673,32982,32197,34269,35897,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,74.66%,,,,74.66%,,,,74.66%,,,,74.66%,,,,,,,,,,,74.66%,74.66%,74.66%,74.66%,89.27%
Shareholding Pattern (Yearly),FIIs,0.52%,,,,0.30%,,,,0.39%,,,,1.83%,,,,,,,,,,,4.99%,5.47%,2.82%,1.17%,0.24%
Shareholding Pattern (Yearly),DIIs,2.08%,,,,0.96%,,,,0.65%,,,,1.09%,,,,,,,,,,,2.71%,1.87%,3.70%,4.53%,0.01%
Shareholding Pattern (Yearly),Public,22.74%,,,,24.07%,,,,24.31%,,,,22.42%,,,,,,,,,,,17.65%,18.00%,18.83%,19.65%,10.48%
Shareholding Pattern (Yearly),No. of Shareholders,26786,,,,25446,,,,33673,,,,35897,,,,,,,,,,,14994,16703,20623,18321,17523
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
