Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2025
Cash Flows,Net Cash Flow,-3,,,,6,,,,7,,,,-15,4,-2,4,-25,-146,-324,6,-2,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,26,,,,48,,,,70,,,,44,0,0,1,0,0,80,25,75,
Ratios,Inventory Days,,,,,,,,,,,,,4704,,,,,,,406,,
Ratios,Days Payable,,,,,,,,,,,,,15,,,,,,,10,,
Ratios,Cash Conversion Cycle,26,,,,48,,,,70,,,,4734,0,0,1,0,0,80,422,75,
Ratios,Working Capital Days,2787,,,,5684,,,,9830,,,,6770,813276,6534,917,311545,283970,7790,680,3203,
Ratios,ROCE %,5%,,,,0%,,,,-4%,,,,-2%,8%,10%,12%,13%,12%,11%,11%,4%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,63.45%,63.45%,63.45%,63.45%,63.45%,63.45%,63.45%,63.46%,63.46%,63.46%,63.46%,,,,,,,,,68.45%
Shareholding Pattern (Quarterly),FIIs,,,0.13%,0.09%,0.09%,0.10%,0.02%,0.01%,0.07%,0.19%,0.07%,0.15%,0.00%,,,,,,,,,0.00%
Shareholding Pattern (Quarterly),DIIs,,,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.09%,0.09%,0.09%,,,,,,,,,0.08%
Shareholding Pattern (Quarterly),Public,,,36.39%,36.43%,36.43%,36.42%,36.52%,36.52%,36.45%,36.34%,36.37%,36.29%,36.43%,,,,,,,,,31.45%
Shareholding Pattern (Quarterly),No. of Shareholders,,,32586,31927,31090,30650,30491,31761,30933,30532,30558,28202,27549,,,,,,,,,27323
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,63.46%,,,,63.45%,,,,63.45%,,,,63.46%,,,,58.06%,58.06%,50.50%,50.50%,50.50%,68.45%
Shareholding Pattern (Yearly),FIIs,0.13%,,,,0.09%,,,,0.07%,,,,0.00%,,,,0.00%,0.16%,0.14%,0.13%,0.13%,0.00%
Shareholding Pattern (Yearly),DIIs,0.01%,,,,0.01%,,,,0.01%,,,,0.09%,,,,0.05%,0.10%,0.02%,0.02%,0.02%,0.08%
Shareholding Pattern (Yearly),Public,36.40%,,,,36.43%,,,,36.45%,,,,36.43%,,,,41.89%,41.68%,49.33%,49.35%,49.35%,31.45%
Shareholding Pattern (Yearly),No. of Shareholders,33438,,,,31090,,,,30933,,,,27549,,,,12250,13237,33361,32127,31180,27323
,,,,,,,,,,,,,,,,,,,,,,,
