Section,,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Cash Flows,Cash from Investing Activity,-259,-49,-38,-89,-161,-261,-325,-157,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,178,-13,-146,-20,73,53,92,89,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,14,-3,0,-0,4,-2,-2,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,32,39,36,32,23,26,26,28,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,116,73,100,65,98,147,110,87,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,164,105,149,117,130,136,204,155,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,-16,8,-12,-19,-9,37,-68,-40,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,16,25,13,1,-20,-7,-35,-37,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,8%,19%,8%,10%,20%,7%,1%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,43.95%,44.85%,45.10%,45.10%,45.10%,45.10%,45.10%,44.08%,44.86%,44.86%,44.86%,44.87%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,6.32%,7.89%,8.22%,8.30%,7.99%,8.43%,7.87%,7.25%,7.35%,11.25%,11.35%,10.82%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,6.07%,0.20%,0.01%,0.01%,0.01%,0.11%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,43.67%,47.04%,46.66%,46.58%,46.90%,46.35%,47.01%,48.65%,47.77%,43.87%,43.77%,44.31%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,86882,91249,91791,90301,93732,107469,120542,152888,143623,112841,111827,109430,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,45.10%,,,,44.08%,,,,44.87%,47.38%,47.42%,47.42%,46.73%,46.76%,46.76%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,8.30%,,,,7.25%,,,,10.82%,5.89%,5.94%,6.74%,5.86%,5.98%,6.72%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,0.01%,,,,0.01%,,,,0.01%,3.33%,3.51%,3.36%,2.75%,0.02%,0.02%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,46.58%,,,,48.65%,,,,44.31%,43.40%,43.13%,42.48%,44.67%,47.24%,46.50%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,90301,,,,152888,,,,109430,52702,59348,57683,55303,58978,88633
,,,,,,,,,,,,,,,,,,,,,,,,,,,
