Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
Balance Sheet,Fixed Assets,,676,,,,729,,,,696,,678,,266,306,445,505,784,706,680,589,562,,
Balance Sheet,CWIP,,101,,,,11,,,,11,,11,,216,246,204,222,45,59,72,80,96,,
Balance Sheet,Investments,,49,,,,47,,,,47,,47,,49,38,12,115,28,70,42,53,49,,
Balance Sheet,Other Assets,,6198,,,,5533,,,,5160,,5001,,6287,6303,6758,6157,7260,6606,7619,6768,6537,,
Balance Sheet,Total Assets,,7024,,,,6319,,,,5914,,5737,,6817,6894,7419,6999,8119,7441,8413,7490,7243,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,254,,,,359,,,,84,,,,410,378,2,240,-420,486,226,107,248,,
Cash Flows,Cash from Investing Activity,,-139,,,,60,,,,10,,,,-109,-34,-86,-157,33,69,42,7,4,,
Cash Flows,Cash from Financing Activity,,-116,,,,-400,,,,-92,,,,-297,-347,91,-115,394,-571,-264,-122,-245,,
Cash Flows,Net Cash Flow,,-2,,,,18,,,,2,,,,4,-3,7,-32,6,-17,4,-9,7,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,126,,,,195,,,,200,,,,174,166,239,310,323,317,109,40,99,,
Ratios,Inventory Days,,,,,,20843,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,5172,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,126,,,,15866,,,,200,,,,174,166,239,310,323,317,109,40,99,,
Ratios,Working Capital Days,,-309,,,,-638,,,,-818,,,,482,454,627,535,909,833,-10,-208,-122,,
Ratios,ROCE %,,-1%,,,,-164%,,,,,,,,3%,3%,2%,3%,2%,0%,2%,-2%,6%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,48.77%,48.77%,48.77%,48.77%,48.77%,48.77%,48.77%,48.77%,48.77%,48.77%,48.77%,,,,,,,,,,,48.77%
Shareholding Pattern (Quarterly),FIIs,,,1.50%,1.08%,1.10%,1.08%,1.08%,0.24%,0.24%,0.24%,0.24%,0.24%,0.24%,,,,,,,,,,,0.24%
Shareholding Pattern (Quarterly),DIIs,,,1.74%,1.73%,1.73%,1.73%,1.73%,1.73%,1.73%,1.73%,1.73%,1.74%,1.74%,,,,,,,,,,,1.74%
Shareholding Pattern (Quarterly),Public,,,47.99%,48.42%,48.40%,48.42%,48.42%,49.26%,49.25%,49.25%,49.24%,49.25%,49.23%,,,,,,,,,,,49.23%
Shareholding Pattern (Quarterly),No. of Shareholders,,,32422,31212,31518,31119,30986,31380,30986,30662,30170,29747,29338,,,,,,,,,,,29409
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,48.77%,,,,48.77%,,,,48.77%,,,,,,,,49.07%,48.58%,48.77%,48.77%,48.77%,,48.77%
Shareholding Pattern (Yearly),FIIs,,1.87%,,,,1.08%,,,,0.24%,,,,,,,,7.63%,1.51%,2.15%,2.15%,1.84%,,0.24%
Shareholding Pattern (Yearly),DIIs,,1.74%,,,,1.73%,,,,1.73%,,,,,,,,2.86%,2.76%,2.74%,2.69%,2.68%,,1.74%
Shareholding Pattern (Yearly),Public,,47.62%,,,,48.42%,,,,49.25%,,,,,,,,40.44%,47.16%,46.34%,46.39%,46.70%,,49.23%
Shareholding Pattern (Yearly),No. of Shareholders,,33130,,,,31119,,,,30662,,,,,,,,43526,34838,32785,31869,31235,,29409
,,,,,,,,,,,,,,,,,,,,,,,,,
