Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,TTM,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Shareholding Pattern (Quarterly),FIIs,,6.58%,6.69%,6.68%,6.90%,7.17%,7.25%,7.19%,7.20%,7.17%,7.22%,7.55%,7.69%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,7.50%,13.10%,13.03%,13.16%,13.18%,13.08%,12.92%,12.94%,12.49%,12.70%,12.69%,12.38%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,19.19%,13.50%,13.59%,13.27%,12.99%,13.01%,13.23%,13.21%,13.69%,13.43%,13.13%,13.28%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,52585,54162,54551,47276,42125,43145,46428,49675,58612,57736,56843,62095,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,66.79%,,,,66.69%,,,,66.65%,,,,66.64%,,,,,,,,,,,67.05%,66.69%,67.53%,67.24%,67.05%
Shareholding Pattern (Yearly),FIIs,6.65%,,,,6.90%,,,,7.20%,,,,7.69%,,,,,,,,,,,6.00%,6.13%,5.76%,5.52%,6.71%
Shareholding Pattern (Yearly),DIIs,7.00%,,,,13.16%,,,,12.94%,,,,12.38%,,,,,,,,,,,11.07%,12.48%,11.88%,12.15%,12.08%
Shareholding Pattern (Yearly),Public,19.56%,,,,13.27%,,,,13.21%,,,,13.28%,,,,,,,,,,,15.88%,14.70%,14.83%,15.09%,14.16%
Shareholding Pattern (Yearly),No. of Shareholders,46670,,,,47276,,,,49675,,,,62095,,,,,,,,,,,24484,25154,29194,33180,31945
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
