Section,,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Mar 2018,Jun 2018
Profit & Loss,EPS in Rs,,-2.98,,,,,,,0.32,,,,0.65,1.46,,,2.23,2.53,2.10,2.05,-3.42,-4.79,,,,,,
Profit & Loss,Dividend Payout %,,0%,,,,,,,0%,,,,0%,0%,4%,9%,10%,12%,4%,0%,0%,0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,270,,,,,,,53,,,,53,23,21,28,37,37,37,54,54,57,,,,,,
Balance Sheet,Reserves,,385,,,,,,,-1026,,,,-931,114,198,285,509,617,716,932,790,565,,,,,,
Balance Sheet,Borrowings,,1606,,,,,,,456,,,,463,165,235,312,466,758,1215,1357,2018,2207,,,,,,
Balance Sheet,Other Liabilities,,194,,,,,,,2035,,,,2203,21,61,155,176,326,540,612,290,544,,,,,,
Balance Sheet,Total Liabilities,,2455,,,,,,,1518,,,,1787,323,515,781,1188,1738,2508,2956,3152,3373,,,,,,
Balance Sheet,Fixed Assets,,1246,,,,,,,1057,,,,1168,24,56,99,264,358,332,514,459,1339,,,,,,
Balance Sheet,CWIP,,137,,,,,,,198,,,,135,40,90,107,150,208,390,445,694,133,,,,,,
Balance Sheet,Investments,,7,,,,,,,0,,,,0,5,1,1,7,7,17,19,12,17,,,,,,
Balance Sheet,Other Assets,,1065,,,,,,,263,,,,485,253,369,575,767,1165,1769,1978,1987,1884,,,,,,
Balance Sheet,Total Assets,,2455,,,,,,,1518,,,,1787,323,515,781,1188,1738,2508,2956,3152,3373,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-258,,,,,,,131,,,,143,,7,-20,-25,-23,-119,119,-362,-140,,,,,,
Cash Flows,Cash from Investing Activity,,49,,,,,,,-94,,,,-123,,-84,-67,-2,-182,-197,-260,-192,-102,,,,,,
Cash Flows,Cash from Financing Activity,,210,,,,,,,-13,,,,-14,,82,95,27,226,356,138,554,248,,,,,,
Cash Flows,Net Cash Flow,,1,,,,,,,24,,,,6,,5,9,-0,21,39,-3,-0,7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,113,,,,,,,62,,,,57,62,48,64,56,48,66,38,75,128,,,,,,
Ratios,Inventory Days,,127,,,,,,,175,,,,80,70,92,101,102,136,147,160,158,140,,,,,,
Ratios,Days Payable,,13,,,,,,,151,,,,77,12,28,51,33,54,75,19,27,71,,,,,,
Ratios,Cash Conversion Cycle,,228,,,,,,,87,,,,60,120,112,114,126,130,138,179,206,198,,,,,,
Ratios,Working Capital Days,,284,,,,,,,123,,,,54,151,149,164,111,119,126,118,201,212,,,,,,
Ratios,ROCE %,,-29%,,,,,,,,,,,,,23%,21%,20%,17%,13%,12%,1%,-2%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,11.41%,11.41%,11.41%,94.88%,90.59%,90.59%,90.00%,90.00%,,,,,,,,,,11.41%,11.41%,11.41%,11.41%,,
Shareholding Pattern (Quarterly),FIIs,,,,,,0.77%,0.77%,0.77%,0.03%,0.08%,0.03%,0.04%,0.04%,,,,,,,,,,0.77%,0.77%,0.77%,0.77%,,
Shareholding Pattern (Quarterly),DIIs,,,,,,66.65%,66.65%,57.91%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,66.70%,66.65%,66.65%,66.65%,,
Shareholding Pattern (Quarterly),Public,,,,,,21.17%,21.17%,29.92%,5.10%,9.34%,9.39%,9.96%,9.96%,,,,,,,,,,21.11%,21.17%,21.17%,21.17%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,23137,18655,18064,17569,18569,23113,36395,40869,,,,,,,,,,23140,23140,23138,23136,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,11.41%,,,,,,,94.88%,,,,90.00%,,,,,,,,,,,,,11.41%,11.41%,11.41%
Shareholding Pattern (Yearly),FIIs,,2.98%,,,,,,,0.03%,,,,0.04%,,,,,,,,,,,,,0.77%,2.10%,1.77%
Shareholding Pattern (Yearly),DIIs,,70.75%,,,,,,,0.00%,,,,0.00%,,,,,,,,,,,,,66.65%,70.21%,69.87%
Shareholding Pattern (Yearly),Public,,14.86%,,,,,,,5.10%,,,,9.96%,,,,,,,,,,,,,21.17%,16.28%,16.96%
Shareholding Pattern (Yearly),No. of Shareholders,,22644,,,,,,,17569,,,,40869,,,,,,,,,,,,,23136,24186,24288
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
