Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Balance Sheet,Total Liabilities,212506,,,,275226,,,,375742,,,,466127,32780,46973,63731,84798,124233,164391,171470,
Balance Sheet,Fixed Assets,1716,,,,2308,,,,3250,,,,3780,252,290,366,470,695,1321,1316,
Balance Sheet,CWIP,34,,,,80,,,,43,,,,41,0,0,0,0,0,0,51,
Balance Sheet,Investments,12246,,,,22752,,,,30881,,,,34441,326,1029,4070,3139,8599,17544,18397,
Balance Sheet,Other Assets,198510,,,,250087,,,,341568,,,,427865,32201,45654,59295,81189,114939,145526,151707,
Balance Sheet,Total Assets,212506,,,,275226,,,,375742,,,,466127,32780,46973,63731,84798,124233,164391,171470,
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-37090,,,,-42112,,,,-69843,,,,-68154,-7064,-9870,-10439,-20566,-29062,-24412,-807,
Cash Flows,Cash from Investing Activity,6347,,,,-10394,,,,-10088,,,,-2765,-360,-687,-3047,1075,-5379,-8758,-429,
Cash Flows,Cash from Financing Activity,32275,,,,50675,,,,82415,,,,70527,6867,11656,12513,19503,34449,34167,1741,
Cash Flows,Net Cash Flow,1532,,,,-1831,,,,2484,,,,-392,-557,1100,-972,13,9,998,505,
,,,,,,,,,,,,,,,,,,,,,,
Ratios,ROE %,17%,,,,23%,,,,22%,,,,19%,,21%,22%,20%,22%,20%,13%,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,55.86%,55.91%,55.91%,55.87%,55.87%,54.78%,54.69%,54.70%,54.70%,54.70%,54.73%,,,,,,,,54.73%
Shareholding Pattern (Quarterly),FIIs,,,20.49%,19.87%,19.16%,20.09%,20.41%,20.92%,20.55%,21.08%,20.81%,20.79%,21.45%,,,,,,,,21.58%
Shareholding Pattern (Quarterly),DIIs,,,12.09%,12.37%,12.92%,12.83%,13.05%,14.01%,14.33%,14.23%,15.01%,15.08%,14.78%,,,,,,,,14.52%
Shareholding Pattern (Quarterly),Government,,,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.09%,0.09%,0.08%,0.08%,,,,,,,,0.08%
Shareholding Pattern (Quarterly),Public,,,11.26%,11.60%,11.75%,10.99%,10.50%,10.17%,10.19%,9.83%,9.36%,9.32%,8.84%,,,,,,,,9.05%
Shareholding Pattern (Quarterly),Others,,,0.22%,0.18%,0.17%,0.13%,0.10%,0.05%,0.16%,0.08%,0.05%,0.04%,0.10%,,,,,,,,0.04%
Shareholding Pattern (Quarterly),No. of Shareholders,,,767722,816292,890706,784883,726583,745040,799199,805241,781913,791392,705610,,,,,,,,812118
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,55.86%,,,,55.91%,,,,54.69%,,,,54.73%,,,57.94%,55.14%,55.17%,56.20%,56.12%,54.73%
Shareholding Pattern (Yearly),FIIs,21.41%,,,,19.16%,,,,20.55%,,,,21.45%,,,19.26%,19.46%,20.67%,21.16%,24.06%,21.58%
Shareholding Pattern (Yearly),DIIs,11.22%,,,,12.92%,,,,14.33%,,,,14.78%,,,5.36%,8.98%,8.50%,10.89%,9.08%,14.52%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.07%,,,,0.07%,,,,0.08%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%
Shareholding Pattern (Yearly),Public,11.15%,,,,11.75%,,,,10.19%,,,,8.84%,,,16.89%,15.94%,15.47%,11.46%,10.57%,9.05%
Shareholding Pattern (Yearly),Others,0.36%,,,,0.17%,,,,0.16%,,,,0.10%,,,0.56%,0.49%,0.19%,0.29%,0.17%,0.04%
Shareholding Pattern (Yearly),No. of Shareholders,718638,,,,890706,,,,799199,,,,705610,,,94633,131959,168420,354901,464394,812118
,,,,,,,,,,,,,,,,,,,,,,
