Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Dec 2012
Profit & Loss,OPM %,14%,,,,35%,,,,44%,,,,50%,24%,25%,25%,34%,42%,38%,30%,30%,
Profit & Loss,Other Income,99,,,,105,,,,126,,,,354,17,0,12,14,40,130,107,104,
Profit & Loss,Interest,18,,,,14,,,,19,,,,24,37,32,23,18,15,19,22,13,
Profit & Loss,Depreciation,143,,,,164,,,,187,,,,235,30,47,51,54,66,81,100,117,
Profit & Loss,Profit before tax,202,,,,862,,,,1674,,,,2291,129,132,204,624,887,825,569,580,
Profit & Loss,Tax %,16%,,,,17%,,,,17%,,,,18%,24%,1%,24%,22%,22%,22%,19%,24%,
Profit & Loss,Net Profit,170,,,,715,,,,1388,,,,1883,98,130,156,485,695,642,458,442,
Profit & Loss,EPS in Rs,9.31,,,,39.18,,,,77.51,,,,105.26,6.21,8.10,9.02,27.88,37.74,35.24,25.31,24.18,
Profit & Loss,Dividend Payout %,48%,,,,14%,,,,12%,,,,6%,16%,12%,14%,24%,22%,18%,27%,22%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,36,,,,36,,,,36,,,,36,33,33,35,35,37,36,36,36,
Balance Sheet,Reserves,4227,,,,4837,,,,5817,,,,7571,693,813,1261,1614,3035,3452,3737,4085,
Balance Sheet,Borrowings,416,,,,167,,,,371,,,,279,240,312,113,222,173,386,316,268,
Balance Sheet,Other Liabilities,430,,,,617,,,,682,,,,744,229,226,413,446,470,428,498,403,
Balance Sheet,Total Liabilities,5109,,,,5657,,,,6906,,,,8631,1196,1384,1822,2318,3715,4303,4588,4792,
Balance Sheet,Fixed Assets,2312,,,,2427,,,,2491,,,,2698,645,710,710,833,1019,1227,1584,2023,
Balance Sheet,CWIP,130,,,,64,,,,137,,,,225,124,129,212,336,480,638,518,223,
Balance Sheet,Investments,308,,,,392,,,,539,,,,474,2,2,22,32,76,169,112,304,
Balance Sheet,Other Assets,2360,,,,2774,,,,3739,,,,5234,425,543,878,1116,2140,2270,2373,2242,
Balance Sheet,Total Assets,5109,,,,5657,,,,6906,,,,8631,1196,1384,1822,2318,3715,4303,4588,4792,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,46,,,,849,,,,1212,,,,1697,144,93,112,346,464,669,417,299,
Cash Flows,Cash from Investing Activity,4,,,,-465,,,,-1026,,,,-1414,-108,-120,-176,-299,-1116,-611,-175,-107,
Cash Flows,Cash from Financing Activity,35,,,,-363,,,,-247,,,,-211,-35,29,154,-48,651,-51,-251,-186,
Cash Flows,Net Cash Flow,85,,,,21,,,,-62,,,,72,0,2,90,-1,-2,7,-8,6,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,116,,,,115,,,,109,,,,103,59,85,92,86,106,88,105,73,
Ratios,Inventory Days,496,,,,432,,,,357,,,,405,283,331,482,213,389,545,534,570,
Ratios,Days Payable,105,,,,153,,,,120,,,,145,172,189,372,160,239,224,244,104,
Ratios,Cash Conversion Cycle,507,,,,394,,,,345,,,,362,170,228,202,138,257,410,395,539,
Ratios,Working Capital Days,335,,,,220,,,,184,,,,200,71,99,131,111,244,275,355,294,
Ratios,ROCE %,4%,,,,18%,,,,30%,,,,33%,18%,17%,18%,39%,35%,23%,14%,13%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,48.80%,48.80%,48.82%,48.84%,49.76%,49.71%,49.71%,49.71%,49.71%,49.62%,49.62%,49.56%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,11.65%,11.67%,11.73%,11.91%,11.03%,12.82%,13.72%,16.14%,17.45%,17.51%,17.94%,17.49%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,15.30%,14.30%,14.93%,15.38%,15.15%,14.01%,11.26%,9.69%,7.86%,6.75%,5.59%,5.64%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,24.25%,25.23%,24.53%,23.87%,24.08%,23.48%,25.32%,24.46%,24.99%,26.13%,26.88%,27.30%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,92449,121336,135397,153663,155181,163753,207571,228467,251485,302944,345332,405222,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,48.81%,,,,48.84%,,,,49.71%,,,,49.56%,,,,51.24%,48.38%,48.71%,48.93%,48.87%,48.82%
Shareholding Pattern (Yearly),FIIs,11.94%,,,,11.91%,,,,16.14%,,,,17.49%,,,,19.41%,23.96%,21.39%,21.67%,16.35%,11.73%
Shareholding Pattern (Yearly),DIIs,16.15%,,,,15.38%,,,,9.69%,,,,5.64%,,,,7.29%,6.31%,7.13%,10.57%,16.14%,14.93%
Shareholding Pattern (Yearly),Public,23.10%,,,,23.87%,,,,24.46%,,,,27.30%,,,,22.05%,21.35%,22.77%,18.83%,18.65%,24.53%
Shareholding Pattern (Yearly),No. of Shareholders,85828,,,,153663,,,,228467,,,,405222,,,,44482,56647,76879,71580,85509,135397
,,,,,,,,,,,,,,,,,,,,,,,
