Section,,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Jun 2022,Sep 2022,Dec 2022,Mar 2022
Cash Flows,Cash from Investing Activity,,,,-4,-10,,,,-6,,,,-22,-10,-21,-3,-2,,,,
Cash Flows,Cash from Financing Activity,,,,-19,12,,,,-24,,,,6,6,12,-7,-28,,,,
Cash Flows,Net Cash Flow,,,,-2,-0,,,,0,,,,-0,-0,1,-0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,93,73,,,,64,,,,62,88,91,86,78,,,,
Ratios,Inventory Days,,,,150,101,,,,103,,,,81,79,131,122,124,,,,
Ratios,Days Payable,,,,157,85,,,,83,,,,49,101,140,115,133,,,,
Ratios,Cash Conversion Cycle,,,,86,89,,,,83,,,,95,66,82,93,69,,,,
Ratios,Working Capital Days,,,,110,109,,,,89,,,,103,87,93,94,83,,,,
Ratios,ROCE %,,,,14%,,,,,19%,,,,20%,,19%,17%,16%,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,74.86%,74.86%,74.86%,74.86%,74.86%,74.86%,74.86%,74.86%,74.86%,,,,,74.86%,74.86%,74.86%,
Shareholding Pattern (Quarterly),FIIs,,,,,0.00%,0.05%,0.00%,0.00%,0.01%,0.12%,0.26%,0.03%,0.00%,,,,,0.00%,0.01%,0.00%,
Shareholding Pattern (Quarterly),DIIs,,,,,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,,,,,0.08%,0.08%,0.08%,
Shareholding Pattern (Quarterly),Public,,,,,25.05%,25.01%,25.07%,25.06%,25.04%,24.94%,24.80%,25.02%,25.05%,,,,,25.06%,25.06%,25.06%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,11431,12805,12073,13800,18504,21935,33559,33745,33585,,,,,9481,9341,11449,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,75.00%,74.86%,,,,74.86%,,,,74.86%,75.00%,75.00%,75.00%,75.00%,,,,74.86%
Shareholding Pattern (Yearly),FIIs,,,,0.02%,0.00%,,,,0.01%,,,,0.00%,0.00%,5.79%,0.02%,0.02%,,,,0.00%
Shareholding Pattern (Yearly),DIIs,,,,0.09%,0.08%,,,,0.08%,,,,0.08%,0.11%,0.09%,0.09%,0.09%,,,,0.08%
Shareholding Pattern (Yearly),Public,,,,24.90%,25.05%,,,,25.04%,,,,25.05%,24.89%,19.13%,24.89%,24.89%,,,,25.06%
Shareholding Pattern (Yearly),No. of Shareholders,,,,6109,11431,,,,18504,,,,33585,6108,5149,6800,6118,,,,9362
,,,,,,,,,,,,,,,,,,,,,,
