Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2021,Oct 2022
Profit & Loss,Tax %,,,-24.71%,,,,-26.02%,,,,24.30%,27.12%,28.15%,26.39%,21.00%,25.35%,,
Profit & Loss,Net Profit,,,-5.22,,,,-2.43,,,,4.29,0.87,0.97,1.06,1.57,2.64,,
Profit & Loss,EPS in Rs,,,-5.03,,,,-2.34,,,,4.12,,,1.41,1.52,2.54,,
Profit & Loss,Dividend Payout %,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,10.37,,,,10.38,,,,10.41,0.01,0.01,3.01,4.12,4.15,,
Balance Sheet,Reserves,,,7.97,,,,5.62,,,,10.10,2.07,3.04,1.20,16.70,19.35,,
Balance Sheet,Borrowings,,,10.16,,,,11.06,,,,6.56,0.35,0.42,1.12,0.88,1.25,,
Balance Sheet,Other Liabilities,,,2.33,,,,4.25,,,,6.77,0.50,1.45,0.78,1.65,2.43,,
Balance Sheet,Total Liabilities,,,30.83,,,,31.31,,,,33.84,2.93,4.92,6.11,23.35,27.18,,
Balance Sheet,Fixed Assets,,,11.41,,,,14.12,,,,10.21,0.53,1.90,1.75,1.81,10.62,,
Balance Sheet,CWIP,,,0.00,,,,0.08,,,,0.29,0.00,0.00,0.00,0.00,1.24,,
Balance Sheet,Investments,,,0.27,,,,0.21,,,,0.00,0.06,0.26,0.26,0.66,0.89,,
Balance Sheet,Other Assets,,,19.15,,,,16.90,,,,23.34,2.34,2.76,4.10,20.88,14.43,,
Balance Sheet,Total Assets,,,30.83,,,,31.31,,,,33.84,2.93,4.92,6.11,23.35,27.18,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,-5.08,,,,4.14,,,,9.82,0.56,2.20,-0.26,0.30,3.75,,
Cash Flows,Cash from Investing Activity,,,-1.23,,,,-6.27,,,,-5.04,0.01,-2.22,-0.38,-0.38,-4.10,,
Cash Flows,Cash from Financing Activity,,,8.54,,,,-0.09,,,,-4.77,-0.60,0.06,0.61,0.61,0.35,,
Cash Flows,Net Cash Flow,,,2.22,,,,-2.22,,,,0.00,-0.03,0.04,-0.03,0.53,0.00,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,24.49,,,,14.55,,,,29.94,93.50,69.57,73.91,100.51,36.65,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,24.49,,,,14.55,,,,29.94,93.50,69.57,73.91,100.51,36.65,,
Ratios,Working Capital Days,,,28.04,,,,-21.23,,,,-17.15,51.82,-53.37,42.14,38.47,30.37,,
Ratios,ROCE %,,,-24.64%,,,,-7.74%,,,,22.43%,,46.10%,34.55%,15.39%,15.89%,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,74.63%,,74.99%,74.99%,74.91%,74.91%,74.91%,74.71%,74.71%,,,,72.99%,74.49%,72.99%,74.49%
Shareholding Pattern (Quarterly),Public,,,25.36%,,25.00%,24.99%,25.10%,25.08%,25.09%,25.31%,25.30%,,,,27.01%,25.51%,27.01%,25.51%
Shareholding Pattern (Quarterly),No. of Shareholders,,,388,,422,864,1207,1228,1285,1477,1488,,,,480,414,441,389
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,74.63%,,,,74.91%,,,,74.71%,,,,72.99%,74.49%,,
Shareholding Pattern (Yearly),Public,,,25.36%,,,,25.10%,,,,25.30%,,,,27.01%,25.51%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,388,,,,1207,,,,1488,,,,480,414,,
,,,,,,,,,,,,,,,,,,,
