Section,,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Ratios,Working Capital Days,25,20,23,21,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,18%,23%,18%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,70.98%,70.98%,70.98%,70.98%,70.98%,70.98%,70.98%,70.98%,70.98%,70.98%,70.98%,70.98%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,0.00%,0.13%,0.07%,0.07%,0.00%,0.00%,0.00%,0.01%,0.02%,0.34%,0.16%,0.01%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,0.24%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.12%,0.09%,0.09%,0.09%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,28.77%,28.79%,28.85%,28.85%,28.93%,28.93%,28.92%,28.91%,28.87%,28.59%,28.76%,28.92%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,41871,40182,38802,37155,36270,36459,36501,37198,36589,40872,41914,43325,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,70.98%,,,,70.98%,,,,70.98%,70.97%,70.97%,70.96%,70.98%,70.98%,70.98%
Shareholding Pattern (Yearly),FIIs,,,,,,,,0.07%,,,,0.01%,,,,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,,,,,0.09%,,,,0.09%,,,,0.09%,2.64%,3.15%,2.63%,2.64%,0.16%,0.16%
Shareholding Pattern (Yearly),Public,,,,,,,,28.85%,,,,28.91%,,,,28.92%,26.40%,25.89%,26.40%,26.38%,28.86%,28.85%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,37155,,,,37198,,,,43325,11442,12183,10457,10067,10864,42682
,,,,,,,,,,,,,,,,,,,,,,,
