Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022,Mar 2019,Mar 2020,Mar 2021
Profit & Loss,Profit before tax,,,,0.60,,,,2.35,,,,-8.87,0.62,,,
Profit & Loss,Tax %,,,,40.00%,,,,31.49%,,,,-1.92%,33.87%,,,
Profit & Loss,Net Profit,,,,0.36,,,,1.61,,,,-6.84,0.42,,,
Profit & Loss,EPS in Rs,,,,0.04,,,,0.18,,,,-0.75,0.05,,,
Profit & Loss,Dividend Payout %,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,,,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,10.13,,,,10.13,,,,17.80,10.13,,,
Balance Sheet,Reserves,,,,12.26,,,,10.16,,,,18.92,8.28,,,
Balance Sheet,Borrowings,,,,21.85,,,,45.82,,,,15.03,17.27,,,
Balance Sheet,Other Liabilities,,,,5.00,,,,8.26,,,,4.94,4.91,,,
Balance Sheet,Total Liabilities,,,,49.24,,,,74.37,,,,56.69,40.59,,,
Balance Sheet,Fixed Assets,,,,11.30,,,,21.89,,,,10.28,11.16,,,
Balance Sheet,CWIP,,,,0.00,,,,1.00,,,,0.00,0.00,,,
Balance Sheet,Investments,,,,0.00,,,,0.00,,,,5.46,0.00,,,
Balance Sheet,Other Assets,,,,37.94,,,,51.48,,,,40.95,29.43,,,
Balance Sheet,Total Assets,,,,49.24,,,,74.37,,,,56.69,40.59,,,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,-1.27,,,,-8.33,,,,-8.63,3.89,,,
Cash Flows,Cash from Investing Activity,,,,-4.51,,,,-12.32,,,,15.57,-2.55,,,
Cash Flows,Cash from Financing Activity,,,,8.86,,,,17.95,,,,-7.36,-1.91,,,
Cash Flows,Net Cash Flow,,,,3.08,,,,-2.70,,,,-0.41,-0.57,,,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,62.74,,,,66.59,,,,44.85,56.75,,,
Ratios,Inventory Days,,,,253.97,,,,102.70,,,,77.68,197.13,,,
Ratios,Days Payable,,,,48.19,,,,35.32,,,,15.98,51.76,,,
Ratios,Cash Conversion Cycle,,,,268.52,,,,133.98,,,,106.56,202.13,,,
Ratios,Working Capital Days,,,,226.70,,,,214.23,,,,270.33,171.37,,,
Ratios,ROCE %,,,,5.58%,,,,8.21%,,,,-10.76%,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,62.95%,57.67%,57.35%,57.35%,41.81%,28.76%,0.64%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.00%,0.89%,0.49%,0.49%,0.49%,0.49%,0.49%,0.49%,0.28%,0.28%,0.30%,,,,
Shareholding Pattern (Quarterly),Public,37.06%,42.33%,41.75%,42.15%,57.69%,70.74%,98.87%,99.51%,99.51%,99.72%,99.72%,99.70%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,204,2581,33818,40326,41849,41627,49628,46606,50530,75556,89697,85972,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,57.35%,,,,0.00%,,,,0.00%,66.77%,62.77%,62.77%,66.68%
Shareholding Pattern (Yearly),FIIs,,,,0.49%,,,,0.49%,,,,0.30%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,42.15%,,,,99.51%,,,,99.70%,33.23%,37.24%,37.23%,33.32%
Shareholding Pattern (Yearly),No. of Shareholders,,,,40326,,,,46606,,,,85972,186,196,195,179
,,,,,,,,,,,,,,,,,
