Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,May 2025
Ratios,Cash Conversion Cycle,69,,,,47,,,,56,,,,2548,6522,22,408,11096,1,2180,4740,2541,
Ratios,Working Capital Days,1034,,,,2248,,,,2441,,,,1285,705,748,926,1174,19,294,386,967,
Ratios,ROCE %,2%,,,,-7%,,,,-11%,,,,6%,6%,6%,7%,7%,27%,13%,11%,5%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,43.36%,,,,,,,,,42.96%
Shareholding Pattern (Quarterly),FIIs,,,22.44%,22.74%,21.43%,22.58%,23.59%,23.11%,24.58%,28.90%,30.14%,29.78%,15.93%,,,,,,,,,22.32%
Shareholding Pattern (Quarterly),DIIs,,,4.35%,2.44%,1.37%,0.89%,1.07%,1.78%,0.41%,3.42%,5.02%,5.38%,3.52%,,,,,,,,,3.39%
Shareholding Pattern (Quarterly),Public,,,73.10%,74.72%,77.10%,76.41%,75.23%,75.01%,74.89%,67.60%,64.75%,64.73%,37.14%,,,,,,,,,31.30%
Shareholding Pattern (Quarterly),Others,,,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.09%,0.09%,0.09%,0.05%,,,,,,,,,0.04%
Shareholding Pattern (Quarterly),No. of Shareholders,,,329807,315294,314158,306438,316665,312356,304762,359479,314999,295333,273968,,,,,,,,,275623
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,0.03%,,,,0.00%,,,,0.00%,,,,43.36%,,,,50.35%,36.93%,38.90%,23.38%,11.99%,42.96%
Shareholding Pattern (Yearly),FIIs,18.39%,,,,21.43%,,,,24.58%,,,,15.93%,,,,18.08%,24.81%,28.50%,21.09%,15.90%,22.32%
Shareholding Pattern (Yearly),DIIs,4.86%,,,,1.37%,,,,0.41%,,,,3.52%,,,,2.72%,0.45%,0.32%,0.32%,1.80%,3.39%
Shareholding Pattern (Yearly),Public,76.03%,,,,77.10%,,,,74.89%,,,,37.14%,,,,28.86%,37.81%,32.28%,55.21%,69.63%,31.30%
Shareholding Pattern (Yearly),Others,0.69%,,,,0.11%,,,,0.11%,,,,0.05%,,,,0.00%,0.00%,0.00%,0.00%,0.69%,0.04%
Shareholding Pattern (Yearly),No. of Shareholders,310512,,,,314158,,,,304762,,,,273968,,,,87596,96053,117373,105628,153856,275623
,,,,,,,,,,,,,,,,,,,,,,,
