Section,,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Cash Flows,Cash from Financing Activity,-65,-13,-93,-34,-16,-36,-34,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-2,2,-3,-0,0,-1,-1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,21,33,37,37,33,33,30,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,95,179,44,74,73,57,74,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,104,67,42,72,55,70,89,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,12,145,40,39,51,20,15,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,97,90,33,47,54,29,31,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,12%,-17%,13%,13%,2%,-2%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,42.80%,42.80%,42.80%,42.80%,42.80%,42.80%,42.80%,42.80%,42.80%,42.80%,42.80%,42.80%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,57.20%,57.19%,57.20%,57.19%,57.19%,57.20%,57.20%,57.19%,57.20%,57.21%,57.20%,57.20%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,15736,16145,15807,15911,15771,15963,16665,16643,17609,17705,17011,16661,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,42.80%,,,,42.80%,,,,42.80%,42.46%,42.49%,42.49%,42.49%,42.49%,42.80%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,57.19%,,,,57.19%,,,,57.20%,57.53%,57.50%,57.50%,57.50%,57.50%,57.20%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,15911,,,,16643,,,,16661,9864,10302,10077,9859,10256,15894
,,,,,,,,,,,,,,,,,,,,,,,,,,
