Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2001
Profit & Loss,EPS in Rs,12.49,,,,5.05,,,,15.58,,,,27.71,10.06,18.46,16.25,12.91,10.03,20.66,9.19,0.51,
Profit & Loss,Dividend Payout %,0%,,,,20%,,,,14%,,,,15%,0%,0%,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,482,,,,482,,,,994,,,,998,,108,108,113,396,396,396,396,
Balance Sheet,Reserves,11624,,,,12181,,,,16475,,,,19180,,3186,3865,3920,4756,3445,4156,4203,
Balance Sheet,Borrowings,11537,,,,9060,,,,7698,,,,7094,,11852,13835,16183,22616,25641,18423,18193,
Balance Sheet,Other Liabilities,14763,,,,17399,,,,22031,,,,22569,,12752,13173,13715,12483,20382,17717,16516,
Balance Sheet,Total Liabilities,38404,,,,39122,,,,47198,,,,49841,,27898,30981,33931,40251,49864,40693,39308,
Balance Sheet,Fixed Assets,1923,,,,1828,,,,1169,,,,1371,,2290,1899,1753,2197,2139,2021,1946,
Balance Sheet,CWIP,0,,,,0,,,,4,,,,0,,4,176,109,6,6,6,6,
Balance Sheet,Investments,574,,,,246,,,,2500,,,,1250,,595,611,1180,1384,1405,1553,1579,
Balance Sheet,Other Assets,35908,,,,37048,,,,43524,,,,47219,,25008,28295,30888,36664,46314,37112,35776,
Balance Sheet,Total Assets,38404,,,,39122,,,,47198,,,,49841,,27898,30981,33931,40251,49864,40693,39308,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1998,,,,2750,,,,2512,,,,1566,,,387,1469,696,-463,3772,2524,
Cash Flows,Cash from Investing Activity,1139,,,,1789,,,,-2947,,,,-90,,,-854,-1174,-651,-175,182,420,
Cash Flows,Cash from Financing Activity,-2888,,,,-3706,,,,951,,,,-2506,,,330,-312,24,736,-4188,-2835,
Cash Flows,Net Cash Flow,250,,,,834,,,,516,,,,-1030,,,-137,-16,69,97,-234,109,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,26,,,,28,,,,28,,,,21,,63,30,28,29,15,23,44,
Ratios,Inventory Days,,,,,,,,,,,,,1614,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,130,,,,,,,,,
Ratios,Cash Conversion Cycle,26,,,,28,,,,28,,,,1504,,63,30,28,29,15,23,44,
Ratios,Working Capital Days,709,,,,648,,,,644,,,,616,,655,590,654,496,700,447,1046,
Ratios,ROCE %,10%,,,,9%,,,,11%,,,,16%,,,13%,9%,7%,11%,6%,7%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,82.20%,82.20%,75.00%,74.99%,74.96%,74.93%,74.92%,72.16%,72.13%,72.11%,71.98%,71.94%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,14.54%,13.93%,19.42%,18.98%,19.83%,20.52%,21.09%,23.79%,24.18%,24.20%,24.45%,24.64%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,1.86%,2.54%,3.48%,3.68%,3.81%,3.50%,3.21%,3.32%,2.96%,2.78%,2.63%,2.36%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,1.40%,1.34%,2.10%,2.33%,1.40%,1.05%,0.78%,0.73%,0.72%,0.91%,0.92%,1.04%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,53304,53343,51058,53431,55202,52590,52805,60812,67699,92933,94623,104512,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,82.22%,,,,74.99%,,,,72.16%,,,,71.94%,,,,,,,,,88.50%
Shareholding Pattern (Yearly),FIIs,14.91%,,,,18.98%,,,,23.79%,,,,24.64%,,,,,,,,,7.80%
Shareholding Pattern (Yearly),DIIs,1.45%,,,,3.68%,,,,3.32%,,,,2.36%,,,,,,,,,1.00%
Shareholding Pattern (Yearly),Public,1.43%,,,,2.33%,,,,0.73%,,,,1.04%,,,,,,,,,2.70%
Shareholding Pattern (Yearly),No. of Shareholders,50652,,,,53431,,,,60812,,,,104512,,,,,,,,,87479
,,,,,,,,,,,,,,,,,,,,,,,
