Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,May 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Cash Flows,Cash from Financing Activity,69,,,,-6,,,,249,,,,274,-12,,,,,
Cash Flows,Net Cash Flow,4,,,,-1,,,,83,,,,5,2,,,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,165,,,,235,,,,142,,,,129,156,,,,,
Ratios,Inventory Days,70,,,,56,,,,87,,,,59,66,,,,,
Ratios,Days Payable,75,,,,105,,,,78,,,,71,157,,,,,
Ratios,Cash Conversion Cycle,160,,,,186,,,,151,,,,117,65,,,,,
Ratios,Working Capital Days,191,,,,191,,,,191,,,,124,149,,,,,
Ratios,ROCE %,29%,,,,27%,,,,30%,,,,31%,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,65.41%,65.41%,65.41%,65.41%,57.47%,56.07%,56.07%,56.07%,54.71%,54.71%,55.25%,,54.85%,,,,
Shareholding Pattern (Quarterly),FIIs,,,11.59%,11.59%,7.67%,5.55%,6.48%,8.77%,9.71%,8.51%,10.43%,6.93%,7.07%,,8.65%,,,,
Shareholding Pattern (Quarterly),DIIs,,,0.00%,0.00%,0.00%,0.00%,2.00%,1.95%,1.88%,1.43%,0.93%,0.97%,1.07%,,0.83%,,,,
Shareholding Pattern (Quarterly),Government,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.23%,4.17%,,4.06%,,,,
Shareholding Pattern (Quarterly),Public,,,23.00%,23.01%,26.92%,29.05%,34.05%,33.21%,32.34%,33.99%,33.93%,33.16%,32.43%,,31.60%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,5986,6478,7806,12129,13798,18054,23723,29419,50955,66310,73283,,76069,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,66.24%,,,,65.41%,,,,56.07%,,,,55.25%,69.85%,54.85%,56.00%,56.00%,24.59%,24.59%
Shareholding Pattern (Yearly),FIIs,11.74%,,,,7.67%,,,,9.71%,,,,7.07%,10.93%,8.65%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,1.88%,,,,1.07%,0.00%,0.83%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,4.17%,0.00%,4.06%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,22.02%,,,,26.92%,,,,32.34%,,,,32.43%,19.22%,31.60%,44.00%,44.00%,75.41%,75.41%
Shareholding Pattern (Yearly),No. of Shareholders,3209,,,,7806,,,,23723,,,,73283,1681,76069,1564,1561,1586,1634
,,,,,,,,,,,,,,,,,,,,
