Section,,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2024,Jun 2023,Sep 2023,Dec 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Balance Sheet,Reserves,189,,,,209,,,,235,,,,70,53,64,74,89,113,131,164,-305,,,,,,,
Balance Sheet,Borrowings,484,,,,610,,,,554,,,,500,232,232,246,294,330,421,496,656,,,,,,,
Balance Sheet,Other Liabilities,456,,,,301,,,,379,,,,354,196,247,248,296,517,560,568,302,,,,,,,
Balance Sheet,Total Liabilities,1142,,,,1133,,,,1181,,,,942,489,549,574,691,971,1123,1241,670,,,,,,,
Balance Sheet,Fixed Assets,50,,,,47,,,,49,,,,49,40,41,37,34,43,44,54,46,,,,,,,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,,,,
Balance Sheet,Investments,1,,,,1,,,,1,,,,1,0,0,0,3,3,3,3,1,,,,,,,
Balance Sheet,Other Assets,1091,,,,1085,,,,1131,,,,892,448,508,537,654,925,1076,1184,624,,,,,,,
Balance Sheet,Total Assets,1142,,,,1133,,,,1181,,,,942,489,549,574,691,971,1123,1241,670,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,18,,,,-60,,,,146,,,,83,33,34,5,25,12,-22,-34,-201,,,,,,,
Cash Flows,Cash from Investing Activity,21,,,,18,,,,-4,,,,6,-17,7,8,-25,5,-6,4,64,,,,,,,
Cash Flows,Cash from Financing Activity,-75,,,,41,,,,-145,,,,-82,-8,-34,-16,24,-16,37,29,131,,,,,,,
Cash Flows,Net Cash Flow,-35,,,,-1,,,,-3,,,,7,8,7,-3,24,1,9,-2,-5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,48,,,,54,,,,45,,,,53,35,36,38,32,47,52,52,6486,,,,,,,
Ratios,Inventory Days,30,,,,33,,,,40,,,,17,38,33,33,31,36,27,25,587,,,,,,,
Ratios,Days Payable,35,,,,25,,,,31,,,,33,33,37,37,32,50,47,43,1804,,,,,,,
Ratios,Cash Conversion Cycle,43,,,,62,,,,54,,,,37,39,32,35,31,33,32,35,5269,,,,,,,
Ratios,Working Capital Days,47,,,,67,,,,54,,,,43,40,33,38,31,32,35,40,4357,,,,,,,
Ratios,ROCE %,15%,,,,12%,,,,14%,,,,-16%,14%,17%,16%,16%,17%,16%,14%,-11%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,50.99%,48.60%,42.65%,42.65%,,,,,,,,42.65%,42.65%,42.65%,42.65%,42.65%,42.65%,42.65%,42.65%
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,0.00%,0.24%,0.00%,0.59%,,,,,,,,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Quarterly),Government,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%
Shareholding Pattern (Quarterly),Public,,,,,,,,,,49.01%,51.15%,57.35%,56.77%,,,,,,,,57.36%,57.35%,57.35%,57.36%,57.36%,57.35%,57.34%,57.35%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,32747,33289,37897,37471,,,,,,,,36547,39468,39305,38115,35726,35041,34655,34239
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,58.33%,,,,58.33%,,,,58.33%,,,,42.65%,,,,,61.48%,61.48%,58.33%,42.65%,,,,,,,42.65%
Shareholding Pattern (Yearly),FIIs,7.28%,,,,0.00%,,,,0.25%,,,,0.59%,,,,,9.36%,9.58%,9.21%,0.00%,,,,,,,0.00%
Shareholding Pattern (Yearly),DIIs,0.03%,,,,0.00%,,,,0.00%,,,,0.00%,,,,,0.00%,0.00%,0.00%,0.00%,,,,,,,0.00%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,,0.00%,0.00%,0.00%,0.00%,,,,,,,0.01%
Shareholding Pattern (Yearly),Public,34.35%,,,,41.67%,,,,41.41%,,,,56.77%,,,,,29.16%,28.95%,32.46%,57.36%,,,,,,,57.35%
Shareholding Pattern (Yearly),No. of Shareholders,7779,,,,12899,,,,31454,,,,37471,,,,,3747,8316,7776,36547,,,,,,,34239
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
