Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 201318m,Mar 201518m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2013,Mar 2015
Profit & Loss,Net Profit,-2,,,,46,,,,92,,,,100,-560,-197,-279,-495,-353,69,-131,-117,,
Profit & Loss,EPS in Rs,-0.48,,,,11.35,,,,18.17,,,,19.65,-79.21,-23.06,-31.37,-55.69,-39.65,7.80,-32.11,-28.55,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,41,,,,41,,,,51,,,,51,,,89,89,89,89,41,41,70,85
Balance Sheet,Reserves,607,,,,648,,,,1119,,,,1217,,,-40,-556,-881,-793,725,612,310,244
Balance Sheet,Borrowings,268,,,,331,,,,135,,,,175,,,3215,3106,3202,3230,566,453,3204,3211
Balance Sheet,Other Liabilities,195,,,,205,,,,249,,,,246,,,598,616,715,551,128,132,1067,521
Balance Sheet,Total Liabilities,1111,,,,1225,,,,1554,,,,1688,,,3862,3256,3125,3077,1460,1237,4651,4061
Balance Sheet,Fixed Assets,584,,,,573,,,,620,,,,649,,,1637,1497,1386,1256,858,670,2584,1795
Balance Sheet,CWIP,10,,,,46,,,,31,,,,64,,,280,288,272,278,26,7,360,282
Balance Sheet,Investments,45,,,,44,,,,46,,,,50,,,1,1,1,0,0,15,1,1
Balance Sheet,Other Assets,472,,,,561,,,,857,,,,925,,,1944,1470,1467,1542,576,544,1706,1984
Balance Sheet,Total Assets,1111,,,,1225,,,,1554,,,,1688,,,3862,3256,3125,3077,1460,1237,4651,4061
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,92,,,,18,,,,126,,,,19,,,212,401,9,12,81,24,168,-369
Cash Flows,Cash from Investing Activity,113,,,,-31,,,,-312,,,,-27,,,-1,-176,-28,45,167,67,-986,1334
Cash Flows,Cash from Financing Activity,-217,,,,31,,,,167,,,,25,,,-286,-465,33,-0,-250,-165,664,-597
Cash Flows,Net Cash Flow,-11,,,,18,,,,-19,,,,18,,,-76,-240,15,57,-2,-74,-153,367
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,111,,,,118,,,,87,,,,96,,,130,75,64,73,51,110,34,54
Ratios,Inventory Days,201,,,,217,,,,199,,,,219,,,220,196,202,214,254,244,187,118
Ratios,Days Payable,195,,,,165,,,,173,,,,149,,,341,402,374,381,182,176,220,146
Ratios,Cash Conversion Cycle,117,,,,170,,,,113,,,,166,,,9,-130,-108,-94,123,179,-0,26
Ratios,Working Capital Days,136,,,,154,,,,124,,,,152,,,97,-226,-505,-735,166,305,-113,86
Ratios,ROCE %,-2%,,,,5%,,,,9%,,,,8%,,,1%,-4%,-4%,-5%,-6%,-5%,-3%,1%
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,89.96%,89.96%,89.96%,89.96%,72.40%,72.40%,69.84%,69.84%,69.84%,69.84%,69.84%,69.84%,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,1.48%,1.37%,0.86%,0.81%,8.58%,8.08%,4.14%,1.96%,1.42%,1.94%,2.53%,2.69%,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,2.97%,2.98%,3.94%,2.62%,13.48%,12.46%,14.51%,17.73%,18.93%,18.30%,19.00%,20.10%,,,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,5.55%,5.69%,5.22%,6.60%,5.54%,7.05%,11.52%,10.47%,9.82%,9.94%,8.63%,7.37%,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,33679,32717,30894,29523,29132,29197,36931,36720,34695,36363,34158,34303,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,90.00%,,,,89.96%,,,,69.84%,,,,69.84%,,,,26.68%,26.69%,26.68%,98.04%,98.07%,,
Shareholding Pattern (Yearly),FIIs,1.61%,,,,0.81%,,,,1.96%,,,,2.69%,,,,1.14%,0.83%,0.80%,0.00%,0.04%,,
Shareholding Pattern (Yearly),DIIs,2.97%,,,,2.62%,,,,17.73%,,,,20.10%,,,,4.19%,3.91%,3.72%,1.05%,1.00%,,
Shareholding Pattern (Yearly),Government,0.04%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,,
Shareholding Pattern (Yearly),Public,5.39%,,,,6.60%,,,,10.47%,,,,7.37%,,,,67.98%,68.57%,68.80%,0.92%,0.89%,,
Shareholding Pattern (Yearly),No. of Shareholders,33698,,,,29523,,,,36720,,,,34303,,,,89706,88929,85867,31256,30343,,
,,,,,,,,,,,,,,,,,,,,,,,,
