Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Mar 2020,Dec 2020,Dec 2021,TTM,Mar 2017,Mar 2018,Mar 2019,Mar 2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,51.67%,51.67%,51.67%,51.67%,51.93%,51.93%,51.93%,51.93%,51.93%,51.93%,51.93%,51.90%,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.42%,0.42%,0.40%,0.25%,0.17%,0.19%,0.25%,0.61%,0.60%,0.43%,3.99%,3.96%,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,0.71%,0.69%,0.78%,1.03%,1.10%,1.72%,7.44%,8.66%,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,47.91%,47.91%,47.93%,48.08%,47.22%,47.20%,47.06%,46.45%,46.38%,45.95%,36.65%,35.48%,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,36092,35200,29954,30097,27863,28584,29341,30437,31210,32235,34290,35368,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,51.67%,,,,51.67%,,,,51.93%,,,,51.90%,,,,,,,51.60%,,,,50.93%,50.90%,51.17%,51.58%
Shareholding Pattern (Yearly),FIIs,0.51%,,,,0.25%,,,,0.61%,,,,3.96%,,,,,,,0.00%,,,,0.00%,0.01%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,1.03%,,,,8.66%,,,,,,,0.00%,,,,0.01%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,47.82%,,,,48.08%,,,,46.45%,,,,35.48%,,,,,,,48.40%,,,,49.06%,49.09%,48.83%,48.42%
Shareholding Pattern (Yearly),No. of Shareholders,34950,,,,30097,,,,30437,,,,35368,,,,,,,10733,,,,15438,14418,12196,12335
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
