Section,,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Sep 2024,Dec 2024,Mar 2025,Mar 2017
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,11,,,,11,,,,11,,11,11,11,11,,,,,
Balance Sheet,Reserves,,,,2172,,,,1666,,,,2136,,1055,1422,1740,1899,,,,,
Balance Sheet,Borrowings,,,,25,,,,27,,,,18,,10,14,42,23,,,,,
Balance Sheet,Other Liabilities,,,,798,,,,1010,,,,1083,,1234,672,578,718,,,,,
Balance Sheet,Total Liabilities,,,,3006,,,,2714,,,,3248,,2311,2118,2371,2652,,,,,
Balance Sheet,Fixed Assets,,,,307,,,,338,,,,332,,303,286,306,266,,,,,
Balance Sheet,CWIP,,,,23,,,,25,,,,12,,6,12,7,24,,,,,
Balance Sheet,Investments,,,,0,,,,0,,,,0,,0,0,0,0,,,,,
Balance Sheet,Other Assets,,,,2676,,,,2352,,,,2903,,2001,1820,2058,2362,,,,,
Balance Sheet,Total Assets,,,,3006,,,,2714,,,,3248,,2311,2118,2371,2652,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,327,,,,465,,,,643,,36,253,245,321,,,,,
Cash Flows,Cash from Investing Activity,,,,-41,,,,-15,,,,-269,,25,-553,3,-14,,,,,
Cash Flows,Cash from Financing Activity,,,,-21,,,,-980,,,,-128,,-2,3,-25,-25,,,,,
Cash Flows,Net Cash Flow,,,,265,,,,-530,,,,246,,59,-297,223,282,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,58,,,,59,,,,61,,77,71,65,68,,,,,
Ratios,Inventory Days,,,,85,,,,91,,,,77,,96,94,92,104,,,,,
Ratios,Days Payable,,,,94,,,,113,,,,120,,93,81,66,114,,,,,
Ratios,Cash Conversion Cycle,,,,49,,,,36,,,,19,,79,84,92,58,,,,,
Ratios,Working Capital Days,,,,40,,,,33,,,,23,,-26,54,66,56,,,,,
Ratios,ROCE %,,,,18%,,,,31%,,,,41%,,,44%,27%,12%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,,,,,,75.00%,75.00%,75.00%,
Shareholding Pattern (Quarterly),FIIs,,,,,4.13%,4.26%,4.40%,3.72%,3.64%,3.56%,3.56%,3.64%,3.77%,,,,,,4.07%,4.01%,3.78%,
Shareholding Pattern (Quarterly),DIIs,,,,,6.37%,6.90%,6.90%,7.93%,8.34%,8.45%,8.52%,8.44%,8.27%,,,,,,8.13%,8.16%,8.08%,
Shareholding Pattern (Quarterly),Public,,,,,14.50%,13.83%,13.70%,13.35%,13.02%,12.98%,12.92%,12.92%,12.95%,,,,,,12.80%,12.84%,13.13%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,38282,37219,37541,29884,28054,28077,27610,29198,29243,,,,,,30045,32147,34425,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,75.00%,,,,75.00%,,,,75.00%,,75.00%,75.00%,75.00%,75.00%,,,,75.00%,75.00%
Shareholding Pattern (Yearly),FIIs,,,,4.25%,,,,3.72%,,,,3.64%,,9.17%,8.29%,4.85%,3.76%,,,,3.78%,9.18%
Shareholding Pattern (Yearly),DIIs,,,,6.54%,,,,7.93%,,,,8.44%,,2.05%,2.22%,4.42%,7.64%,,,,8.08%,2.54%
Shareholding Pattern (Yearly),Public,,,,14.21%,,,,13.35%,,,,12.92%,,13.78%,14.49%,15.73%,13.60%,,,,13.13%,13.28%
Shareholding Pattern (Yearly),No. of Shareholders,,,,37232,,,,29884,,,,29198,,18145,22564,30112,28823,,,,34425,16290
,,,,,,,,,,,,,,,,,,,,,,,
