Section,,Mar 2015,Dec 2015,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Profit & Loss,Tax %,-12%,,39%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,-2,,17,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,-0.66,,5.22,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,,0%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11,,11,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,57,,64,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,106,,82,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,53,,50,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,226,,207,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,105,,77,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,69,,80,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,1,,12,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,52,,37,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,226,,207,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,6,,3,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-2,,11,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-4,,-11,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,0,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,192,,19,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,497,,45,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,785,,97,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,-96,,-33,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,-205,,-37,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,-6%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,58.70%,58.71%,58.71%,58.71%,58.71%,58.71%,58.71%,58.71%,59.95%,59.95%,59.95%,59.95%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.03%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,41.30%,41.29%,41.28%,41.29%,41.30%,41.29%,41.29%,41.30%,40.04%,40.04%,40.02%,40.02%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,10581,10884,11667,11585,11905,12296,12810,13463,14767,15323,15599,15516,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,58.71%,,,,58.71%,,,,59.95%,54.37%,59.65%,59.65%,58.71%,58.71%,58.70%
Shareholding Pattern (Yearly),FIIs,,,,,,,0.00%,,,,0.00%,,,,0.00%,0.09%,0.02%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,,,,0.00%,,,,0.00%,,,,0.03%,0.33%,0.09%,0.00%,0.01%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,41.29%,,,,41.30%,,,,40.02%,45.21%,40.24%,40.35%,41.29%,41.29%,41.30%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,11585,,,,13463,,,,15516,13215,12232,12007,11754,10650,10638
,,,,,,,,,,,,,,,,,,,,,,
