Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2017,Mar 2018,Mar 2019
Balance Sheet,CWIP,246,,,,87,,,,153,,,,235,45,169,38,64,63,101,12,106,,,
Balance Sheet,Investments,714,,,,650,,,,840,,,,938,78,44,44,42,52,73,22,180,,,
Balance Sheet,Other Assets,1022,,,,1172,,,,1280,,,,1234,573,638,662,727,626,686,915,1146,,,
Balance Sheet,Total Assets,2753,,,,2952,,,,3310,,,,3587,995,1140,1203,1312,1284,1421,1736,2163,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,596,,,,241,,,,213,,,,341,59,-4,294,-120,253,135,241,297,,,
Cash Flows,Cash from Investing Activity,-777,,,,-72,,,,-253,,,,-336,-94,-95,-79,-73,-130,-130,-60,-302,,,
Cash Flows,Cash from Financing Activity,100,,,,-76,,,,-55,,,,-13,37,96,-209,187,-124,-3,-97,2,,,
Cash Flows,Net Cash Flow,-81,,,,93,,,,-95,,,,-8,3,-2,6,-6,-0,2,84,-3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,18,,,,21,,,,24,,,,28,21,30,13,18,16,23,15,17,,,
Ratios,Inventory Days,76,,,,69,,,,81,,,,78,88,79,67,75,82,73,74,77,,,
Ratios,Days Payable,21,,,,15,,,,18,,,,17,41,29,40,10,12,14,17,18,,,
Ratios,Cash Conversion Cycle,73,,,,75,,,,87,,,,89,68,79,41,83,86,82,72,76,,,
Ratios,Working Capital Days,52,,,,60,,,,70,,,,133,60,71,36,69,70,69,56,56,,,
Ratios,ROCE %,30%,,,,18%,,,,16%,,,,12%,19%,10%,19%,15%,9%,11%,,28%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,63.84%,63.84%,63.84%,63.84%,63.84%,63.84%,63.84%,63.84%,63.84%,63.84%,63.84%,63.84%,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,4.95%,5.07%,4.97%,4.74%,3.99%,3.93%,4.09%,4.22%,4.24%,1.99%,1.87%,2.02%,,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.15%,0.16%,0.16%,0.16%,0.16%,0.43%,1.16%,2.36%,1.39%,0.63%,0.39%,0.51%,,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,31.06%,30.93%,31.03%,31.25%,32.02%,31.80%,30.92%,29.57%,30.52%,33.53%,33.90%,33.62%,,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,83805,87965,88284,86225,88910,82358,79575,100832,118488,140571,143454,139416,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,63.84%,,,,63.84%,,,,63.84%,,,,63.84%,,,,,,,63.81%,63.84%,66.18%,63.76%,63.76%
Shareholding Pattern (Yearly),FIIs,4.37%,,,,4.74%,,,,4.22%,,,,2.02%,,,,,,,2.51%,3.02%,0.65%,0.63%,1.78%
Shareholding Pattern (Yearly),DIIs,0.07%,,,,0.16%,,,,2.36%,,,,0.51%,,,,,,,0.31%,0.07%,0.16%,0.56%,0.77%
Shareholding Pattern (Yearly),Public,31.71%,,,,31.25%,,,,29.57%,,,,33.62%,,,,,,,33.37%,33.08%,33.02%,35.04%,33.69%
Shareholding Pattern (Yearly),No. of Shareholders,71669,,,,86225,,,,100832,,,,139416,,,,,,,37780,45747,50728,42632,41588
,,,,,,,,,,,,,,,,,,,,,,,,,
