Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2021,Oct 2021
Balance Sheet,Total Assets,,,,362,,,,412,,,,446,135,148,143,138,153,169,216,240,301,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,59,,,,52,,,,73,5,1,4,12,24,20,19,52,27,,
Cash Flows,Cash from Investing Activity,,,,-51,,,,-19,,,,-44,-13,-4,-4,-5,-8,-6,-5,-13,-15,,
Cash Flows,Cash from Financing Activity,,,,-8,,,,-15,,,,-22,4,4,-4,-4,-15,-9,-2,-31,-0,,
Cash Flows,Net Cash Flow,,,,0,,,,17,,,,6,-4,1,-4,3,1,5,13,8,13,,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,83,,,,89,,,,89,115,108,112,120,109,102,122,104,92,,
Ratios,Inventory Days,,,,201,,,,194,,,,209,117,110,281,221,196,315,229,214,198,,
Ratios,Days Payable,,,,161,,,,126,,,,130,107,131,193,185,155,207,178,223,131,,
Ratios,Cash Conversion Cycle,,,,123,,,,156,,,,167,124,87,200,157,150,210,173,94,159,,
Ratios,Working Capital Days,,,,76,,,,88,,,,89,91,82,94,105,82,96,95,82,88,,
Ratios,ROCE %,,,,21%,,,,28%,,,,22%,13%,7%,8%,16%,22%,24%,33%,28%,31%,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,54.44%,,54.34%,,54.22%,54.15%,54.02%,53.64%,53.63%,53.62%,53.62%,,,,,,,,,54.71%,54.84%,54.84%
Shareholding Pattern (Quarterly),FIIs,,0.00%,,0.14%,,0.00%,0.00%,0.49%,0.12%,0.23%,0.66%,0.67%,,,,,,,,,0.00%,0.00%,0.00%
Shareholding Pattern (Quarterly),DIIs,,0.00%,,0.45%,,0.72%,0.72%,0.76%,0.89%,2.41%,2.45%,3.02%,,,,,,,,,0.00%,0.00%,0.00%
Shareholding Pattern (Quarterly),Public,,45.56%,,45.07%,,45.06%,45.13%,44.72%,45.36%,43.72%,43.27%,42.69%,,,,,,,,,45.30%,45.16%,45.16%
Shareholding Pattern (Quarterly),No. of Shareholders,,1220,,1156,,1449,3611,4342,5468,7249,7743,7670,,,,,,,,,1038,775,879
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,54.34%,,,,54.02%,,,,53.62%,,,57.24%,56.70%,56.70%,56.63%,56.25%,55.32%,54.71%,,
Shareholding Pattern (Yearly),FIIs,,,,0.14%,,,,0.49%,,,,0.67%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
Shareholding Pattern (Yearly),DIIs,,,,0.45%,,,,0.76%,,,,3.02%,,,22.36%,22.25%,12.06%,11.24%,8.37%,0.00%,0.00%,,
Shareholding Pattern (Yearly),Public,,,,45.07%,,,,44.72%,,,,42.69%,,,20.41%,21.05%,31.23%,32.13%,35.39%,44.67%,45.30%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,1156,,,,4342,,,,7670,,,234,224,258,252,359,608,1038,,
,,,,,,,,,,,,,,,,,,,,,,,,
