Section,,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2020,TTM,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019
Ratios,ROE %,10%,,,,10%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,28.43%,16.83%,17.94%,,,17.96%,17.96%,17.96%,17.67%,8.04%,7.85%,7.85%,3.85%,3.85%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,14.57%,16.85%,16.72%,,,16.78%,16.29%,13.01%,13.88%,3.41%,2.97%,2.78%,2.85%,3.44%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,0.01%,0.01%,0.00%,,,0.00%,0.00%,0.00%,0.00%,0.03%,0.04%,0.00%,0.00%,0.00%,,,
Shareholding Pattern (Quarterly),Public,,,,,,56.99%,66.30%,65.32%,,,65.24%,65.73%,69.02%,68.44%,88.53%,89.14%,89.37%,93.31%,92.71%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,61728,61207,58073,,,57318,56954,60671,58817,89502,93488,94982,91846,89254,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,27.25%,,,,28.43%,,,,32.58%,,17.96%,,,,8.04%,,,,3.85%,43.31%,8.87%,51.58%
Shareholding Pattern (Yearly),FIIs,16.42%,,,,14.47%,,,,10.44%,,16.78%,,,,3.41%,,,,3.44%,2.14%,10.67%,4.23%
Shareholding Pattern (Yearly),DIIs,0.01%,,,,0.00%,,,,5.29%,,0.00%,,,,0.03%,,,,0.00%,0.46%,0.76%,2.75%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.01%,,,,0.00%,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.77%,0.91%
Shareholding Pattern (Yearly),Public,56.33%,,,,57.09%,,,,51.69%,,65.24%,,,,88.53%,,,,92.71%,54.09%,78.93%,40.52%
Shareholding Pattern (Yearly),No. of Shareholders,59052,,,,63669,,,,50901,,57318,,,,89502,,,,89254,67956,62134,53304
,,,,,,,,,,,,,,,,,,,,,,,
