Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 201318m,Mar 201518m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2013,Mar 2015
Profit & Loss,Tax %,-0%,,,,0%,,,,-0%,,,,1%,62%,46%,-34%,-43%,0%,-0%,-0%,27%,,
Profit & Loss,Net Profit,-209,,,,-880,,,,-847,,,,-816,297,258,-4357,-3083,-18580,2076,1310,-5673,,
Profit & Loss,EPS in Rs,-0.42,,,,-1.77,,,,-1.71,,,,-1.64,2.15,1.88,-31.63,-22.39,-134.90,15.07,5.93,-11.43,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,14%,0%,0%,0%,0%,0%,0%,0%,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,497,,,,497,,,,497,,,,497,,,1358,1358,1369,1369,221,497,1377,1377
Balance Sheet,Reserves,-18404,,,,-19397,,,,-20272,,,,-21127,,,3197,331,-18044,-15986,-12541,-18166,2108,2265
Balance Sheet,Borrowings,24341,,,,24163,,,,26015,,,,25963,,,22037,25506,27415,25346,29390,24186,19932,18009
Balance Sheet,Other Liabilities,1793,,,,2199,,,,1168,,,,1397,,,6791,5511,7962,7286,839,1527,3540,8290
Balance Sheet,Total Liabilities,8228,,,,7461,,,,7407,,,,6730,,,33383,32706,18702,18015,17908,8044,26957,29941
Balance Sheet,Fixed Assets,5820,,,,5520,,,,5215,,,,4762,,,16645,16763,16063,15572,15033,6043,9765,8687
Balance Sheet,CWIP,8,,,,15,,,,18,,,,35,,,41,6,4,1,0,11,550,100
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,,,1189,184,95,96,95,0,1349,1303
Balance Sheet,Other Assets,2400,,,,1927,,,,2174,,,,1933,,,15508,15753,2540,2346,2780,1990,15293,19852
Balance Sheet,Total Assets,8228,,,,7461,,,,7407,,,,6730,,,33383,32706,18702,18015,17908,8044,26957,29941
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,225,,,,813,,,,-1161,,,,115,,,-3006,-3032,-98,115,-266,345,94,3839
Cash Flows,Cash from Investing Activity,-108,,,,-129,,,,-198,,,,277,,,449,-100,211,38,29,-203,-733,156
Cash Flows,Cash from Financing Activity,-293,,,,-687,,,,1364,,,,-348,,,2457,3172,-149,-180,599,-345,830,-4631
Cash Flows,Net Cash Flow,-177,,,,-3,,,,5,,,,44,,,-100,40,-36,-27,362,-203,190,-636
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,25,,,,18,,,,31,,,,43,,,171,421,21,26,27,33,87,116
Ratios,Inventory Days,102,,,,79,,,,94,,,,160,,,295,153,35,68,72,173,180,196
Ratios,Days Payable,105,,,,123,,,,49,,,,106,,,49,67,73,170,79,197,63,84
Ratios,Cash Conversion Cycle,22,,,,-26,,,,76,,,,96,,,416,507,-18,-76,19,10,204,228
Ratios,Working Capital Days,25,,,,-18,,,,30,,,,7,,,297,277,-597,-850,-15,8,120,172
Ratios,ROCE %,4%,,,,-7%,,,,-4%,,,,-5%,,,-15%,-7%,-73%,-6%,-5%,-1%,19%,18%
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,1.98%,1.98%,2.02%,2.07%,2.16%,2.15%,2.24%,2.34%,2.46%,2.44%,2.38%,2.40%,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.74%,0.63%,0.43%,0.35%,0.32%,0.34%,0.37%,0.37%,0.38%,0.42%,0.41%,0.43%,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,22.28%,22.37%,22.56%,22.57%,22.51%,22.51%,22.39%,22.29%,22.16%,22.16%,22.21%,22.17%,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,523710,523871,531883,532284,575515,662307,694081,1028736,1023488,1067102,1051299,1048419,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,75.00%,,,,75.00%,,,,75.00%,,,,75.00%,,,,29.03%,28.82%,9.96%,6.15%,75.00%,,
Shareholding Pattern (Yearly),FIIs,1.70%,,,,2.07%,,,,2.34%,,,,2.40%,,,,4.39%,0.94%,3.64%,1.02%,0.90%,,
Shareholding Pattern (Yearly),DIIs,0.74%,,,,0.35%,,,,0.37%,,,,0.43%,,,,6.52%,6.11%,3.84%,2.23%,0.73%,,
Shareholding Pattern (Yearly),Public,22.56%,,,,22.57%,,,,22.29%,,,,22.17%,,,,60.06%,64.13%,82.56%,90.60%,23.38%,,
Shareholding Pattern (Yearly),No. of Shareholders,516158,,,,532284,,,,1028736,,,,1048419,,,,219996,207622,214534,228993,431579,,
,,,,,,,,,,,,,,,,,,,,,,,,
