Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,May 2025
Profit & Loss,Other Income,44,,,,88,,,,16,,,,69,41,32,73,157,134,113,67,59,
Profit & Loss,Interest,755,,,,839,,,,80,,,,15,335,393,429,445,452,471,517,644,
Profit & Loss,Depreciation,105,,,,86,,,,70,,,,55,140,154,206,199,184,168,138,125,
Profit & Loss,Profit before tax,-801,,,,-825,,,,-103,,,,22,86,87,149,153,147,183,-483,-702,
Profit & Loss,Tax %,-34%,,,,-43%,,,,-30%,,,,44%,31%,39%,29%,12%,23%,33%,-34%,-33%,
Profit & Loss,Net Profit,-527,,,,-471,,,,-72,,,,12,59,53,105,134,113,122,-321,-469,
Profit & Loss,EPS in Rs,-92.42,,,,-82.41,,,,-12.65,,,,1.72,11.82,11.59,21.75,27.65,22.81,21.40,-56.14,-82.13,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,4%,4%,2%,2%,2%,2%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11,,,,11,,,,11,,,,13,10,10,10,10,10,11,11,11,
Balance Sheet,Reserves,738,,,,289,,,,220,,,,510,1424,1472,1400,1522,1621,2034,1755,1255,
Balance Sheet,Borrowings,5354,,,,5984,,,,7180,,,,2174,2931,3369,3399,3325,3537,3448,3873,4608,
Balance Sheet,Other Liabilities,3765,,,,4088,,,,3002,,,,1641,3148,3648,3098,3565,4041,4100,3662,3441,
Balance Sheet,Total Liabilities,9868,,,,10373,,,,10414,,,,4339,7512,8498,7907,8423,9208,9594,9302,9316,
Balance Sheet,Fixed Assets,627,,,,531,,,,462,,,,240,1196,1239,1288,1179,1102,1022,891,745,
Balance Sheet,CWIP,2,,,,2,,,,3,,,,0,105,8,15,15,13,12,9,3,
Balance Sheet,Investments,53,,,,7,,,,7,,,,9,136,147,116,112,109,105,90,82,
Balance Sheet,Other Assets,9185,,,,9832,,,,9942,,,,4091,6076,7104,6487,7117,7984,8455,8311,8486,
Balance Sheet,Total Assets,9868,,,,10373,,,,10414,,,,4339,7512,8498,7907,8423,9208,9594,9302,9316,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-447,,,,-432,,,,-83,,,,208,245,2,520,673,401,33,-19,-483,
Cash Flows,Cash from Investing Activity,22,,,,206,,,,2,,,,-24,-125,-134,-213,-134,-164,-70,72,78,
Cash Flows,Cash from Financing Activity,404,,,,259,,,,83,,,,-127,-106,71,-318,-514,-179,32,-88,385,
Cash Flows,Net Cash Flow,-20,,,,33,,,,3,,,,57,15,-60,-10,25,58,-6,-34,-20,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,245,,,,268,,,,354,,,,220,140,140,80,99,92,84,130,219,
Ratios,Inventory Days,297,,,,270,,,,524,,,,301,170,183,137,165,145,134,148,204,
Ratios,Days Payable,1204,,,,1338,,,,2612,,,,2372,333,359,283,379,382,376,498,717,
Ratios,Cash Conversion Cycle,-662,,,,-801,,,,-1734,,,,-1852,-22,-36,-66,-114,-145,-159,-220,-294,
Ratios,Working Capital Days,839,,,,928,,,,1549,,,,596,187,207,211,231,244,247,375,760,
Ratios,ROCE %,-1%,,,,-1%,,,,-0%,,,,0%,10%,11%,12%,12%,12%,12%,0%,-1%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,49.82%,49.82%,49.82%,49.82%,49.82%,49.82%,49.82%,49.82%,49.82%,49.82%,42.35%,,,,,,,,,36.95%
Shareholding Pattern (Quarterly),FIIs,,,0.42%,0.42%,0.26%,0.35%,0.35%,0.35%,0.35%,0.37%,0.42%,0.46%,0.62%,,,,,,,,,0.55%
Shareholding Pattern (Quarterly),DIIs,,,8.84%,8.84%,8.84%,8.84%,0.94%,0.94%,0.94%,0.94%,0.67%,0.00%,0.00%,,,,,,,,,3.37%
Shareholding Pattern (Quarterly),Public,,,40.92%,40.91%,41.08%,40.99%,48.88%,48.89%,48.89%,48.87%,49.09%,49.71%,57.02%,,,,,,,,,59.15%
Shareholding Pattern (Quarterly),No. of Shareholders,,,18693,18711,19376,19432,19310,17345,16590,15749,16138,15831,15249,,,,,,,,,15260
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,49.83%,,,,49.82%,,,,49.82%,,,,42.35%,,,,56.20%,56.33%,49.83%,49.83%,49.83%,36.95%
Shareholding Pattern (Yearly),FIIs,0.47%,,,,0.26%,,,,0.35%,,,,0.62%,,,,0.70%,2.01%,10.25%,1.23%,1.21%,0.55%
Shareholding Pattern (Yearly),DIIs,8.84%,,,,8.84%,,,,0.94%,,,,0.00%,,,,19.28%,18.63%,19.25%,8.92%,8.84%,3.37%
Shareholding Pattern (Yearly),Public,40.87%,,,,41.08%,,,,48.89%,,,,57.02%,,,,23.83%,23.03%,20.68%,40.02%,40.13%,59.15%
Shareholding Pattern (Yearly),No. of Shareholders,20760,,,,19376,,,,16590,,,,15249,,,,9523,12577,12977,17372,23553,15260
,,,,,,,,,,,,,,,,,,,,,,,
