Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 20149m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2014
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,18.27,,,,20.27,,,,29.79,,,,54.18,,17.47,17.47,18.07,18.27,18.27,18.27,18.27,17.47
Balance Sheet,Reserves,-11.34,,,,-0.41,,,,5.56,,,,20.50,,-0.62,2.80,20.06,26.35,19.17,-12.03,-12.03,-1.52
Balance Sheet,Borrowings,6.60,,,,3.46,,,,3.45,,,,16.23,,4.41,1.98,1.03,1.30,3.73,5.67,1.29,0.00
Balance Sheet,Other Liabilities,3.98,,,,10.74,,,,8.46,,,,5.57,,3.23,2.42,7.33,9.95,10.11,5.37,6.93,0.23
Balance Sheet,Total Liabilities,17.51,,,,34.06,,,,47.26,,,,96.48,,24.49,24.67,46.49,55.87,51.28,17.28,14.46,16.18
Balance Sheet,Fixed Assets,8.93,,,,19.94,,,,19.42,,,,27.81,,3.28,3.39,3.52,4.33,12.23,8.81,0.28,2.23
Balance Sheet,CWIP,0.00,,,,1.08,,,,0.97,,,,0.00,,0.00,0.00,0.00,0.00,0.00,3.21,8.66,0.00
Balance Sheet,Investments,0.00,,,,0.00,,,,0.00,,,,0.00,,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00
Balance Sheet,Other Assets,8.58,,,,13.04,,,,26.87,,,,68.67,,21.21,15.03,42.97,51.54,39.05,5.26,5.52,13.95
Balance Sheet,Total Assets,17.51,,,,34.06,,,,47.26,,,,96.48,,24.49,24.67,46.49,55.87,51.28,17.28,14.46,16.18
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,0.66,,,,5.93,,,,-0.60,,,,-13.42,,2.46,8.47,2.52,-1.73,14.56,0.19,-1.95,-0.04
Cash Flows,Cash from Investing Activity,-1.12,,,,-13.86,,,,-10.59,,,,-35.32,,-2.68,-7.32,3.31,-1.33,-8.59,-0.19,1.94,0.00
Cash Flows,Cash from Financing Activity,0.50,,,,9.04,,,,11.68,,,,48.98,,0.00,-1.29,1.20,-3.99,-6.15,0.00,0.00,0.00
Cash Flows,Net Cash Flow,0.04,,,,1.10,,,,0.50,,,,0.25,,-0.22,-0.14,7.03,-7.05,-0.17,0.00,-0.01,-0.04
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,169.03,,,,144.54,,,,207.17,,,,151.13,,233.52,183.20,116.63,144.56,323.41,142.45,248.65,13870.00
Ratios,Inventory Days,,,,,,,,,,,,,,,263.84,0.00,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,21.30,,,,,,,
Ratios,Cash Conversion Cycle,169.03,,,,144.54,,,,207.17,,,,151.13,,476.07,183.20,116.63,144.56,323.41,142.45,248.65,13870.00
Ratios,Working Capital Days,120.33,,,,101.13,,,,154.02,,,,289.61,,347.99,221.84,187.15,387.51,583.63,-261.69,100.40,119628.75
Ratios,ROCE %,8.74%,,,,23.23%,,,,13.30%,,,,-1.90%,,6.61%,9.93%,62.89%,26.85%,-2.09%,1.88%,16.98%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,52.17%,52.17%,51.95%,50.00%,50.01%,45.07%,46.31%,38.45%,36.61%,39.07%,36.92%,37.37%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,47.83%,47.82%,48.05%,50.00%,49.98%,54.93%,53.68%,61.56%,63.38%,60.94%,63.07%,62.64%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,12148,12654,13513,13555,13618,14789,15179,17241,18785,18950,23801,20864,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,52.17%,,,,50.00%,,,,38.45%,,,,37.37%,,,,63.69%,53.72%,53.14%,52.17%,52.17%,
Shareholding Pattern (Yearly),DIIs,0.73%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,
Shareholding Pattern (Yearly),Public,47.10%,,,,50.00%,,,,61.56%,,,,62.64%,,,,36.31%,46.28%,46.86%,47.83%,47.83%,
Shareholding Pattern (Yearly),No. of Shareholders,11984,,,,13555,,,,17241,,,,20864,,,,10164,10349,9893,9692,9605,
,,,,,,,,,,,,,,,,,,,,,,,
