Section,,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Ratios,Inventory Days,70,54,55,35,40,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,84,69,76,47,58,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,-9,-5,-17,-11,-15,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,93,77,89,69,30,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,10%,12%,12%,17%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,60.54%,60.55%,60.63%,60.63%,60.63%,60.63%,60.63%,60.63%,60.63%,60.63%,60.63%,60.63%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,2.58%,2.25%,0.13%,0.86%,0.84%,1.11%,1.61%,1.84%,1.45%,1.66%,2.12%,2.12%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,2.12%,2.00%,4.66%,5.63%,5.74%,6.71%,,,,,,
Shareholding Pattern (Quarterly),Government,,,,,,0.89%,0.89%,0.89%,0.89%,0.89%,0.89%,0.89%,0.89%,0.89%,0.89%,0.89%,0.89%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,35.80%,36.12%,38.17%,37.43%,37.44%,37.18%,34.76%,34.64%,32.37%,31.21%,30.63%,29.66%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,60958,57198,58112,54492,53185,52562,53254,68701,69213,65007,58586,57297,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,60.63%,,,,60.63%,,,,60.63%,75.00%,75.00%,59.78%,56.88%,60.02%,60.47%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,0.86%,,,,1.84%,,,,2.12%,0.88%,0.98%,1.01%,0.11%,0.95%,4.00%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,0.19%,,,,2.00%,,,,6.71%,0.42%,0.36%,0.35%,0.20%,0.19%,0.19%
Shareholding Pattern (Yearly),Government,,,,,,,,,0.89%,,,,0.89%,,,,0.89%,0.89%,0.89%,13.88%,16.03%,0.89%,0.89%
Shareholding Pattern (Yearly),Public,,,,,,,,,37.43%,,,,34.64%,,,,29.66%,22.81%,22.77%,24.98%,26.79%,37.95%,34.45%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,54492,,,,68701,,,,57297,56402,48340,46046,45496,55745,59727
,,,,,,,,,,,,,,,,,,,,,,,,
