Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,May 2025
Profit & Loss,Dividend Payout %,12%,,,,14%,,,,14%,,,,8%,3%,12%,10%,8%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,5,,,,5,,,,6,,,,7,4,4,4,4,5,5,5,5,
Balance Sheet,Reserves,461,,,,615,,,,1113,,,,1304,142,177,206,251,274,305,341,379,
Balance Sheet,Borrowings,590,,,,598,,,,612,,,,882,284,315,353,411,451,504,510,534,
Balance Sheet,Other Liabilities,197,,,,253,,,,301,,,,337,96,83,109,132,161,166,143,180,
Balance Sheet,Total Liabilities,1253,,,,1471,,,,2032,,,,2529,526,579,672,798,890,979,999,1098,
Balance Sheet,Fixed Assets,364,,,,401,,,,522,,,,800,124,203,235,256,252,333,341,325,
Balance Sheet,CWIP,31,,,,37,,,,76,,,,244,12,4,8,4,57,5,1,12,
Balance Sheet,Investments,0,,,,4,,,,4,,,,14,2,0,0,0,0,0,0,0,
Balance Sheet,Other Assets,859,,,,1029,,,,1431,,,,1472,387,372,428,538,581,642,657,760,
Balance Sheet,Total Assets,1253,,,,1471,,,,2032,,,,2529,526,579,672,798,890,979,999,1098,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,78,,,,65,,,,-46,,,,158,49,83,57,23,73,57,58,43,
Cash Flows,Cash from Investing Activity,-85,,,,-78,,,,-186,,,,-473,-28,-75,-52,-36,-64,-50,-29,-22,
Cash Flows,Cash from Financing Activity,6,,,,13,,,,337,,,,212,-21,-4,-6,13,-8,-8,-28,-23,
Cash Flows,Net Cash Flow,-1,,,,0,,,,104,,,,-103,1,4,-1,-0,0,-0,1,-2,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,40,,,,42,,,,36,,,,47,71,51,62,65,58,54,53,55,
Ratios,Inventory Days,83,,,,85,,,,86,,,,80,66,67,98,110,93,89,98,115,
Ratios,Days Payable,20,,,,21,,,,19,,,,15,31,19,31,43,39,29,21,32,
Ratios,Cash Conversion Cycle,103,,,,106,,,,103,,,,112,107,99,129,132,112,114,130,137,
Ratios,Working Capital Days,95,,,,94,,,,102,,,,108,102,92,117,131,107,100,110,132,
Ratios,ROCE %,16%,,,,16%,,,,17%,,,,15%,,16%,16%,12%,12%,14%,13%,11%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,61.55%,58.73%,58.73%,58.73%,58.73%,56.45%,54.44%,55.78%,55.78%,55.78%,55.78%,,,,,,,,,56.44%
Shareholding Pattern (Quarterly),FIIs,,,0.39%,0.63%,0.07%,0.05%,0.11%,1.24%,5.20%,3.93%,2.61%,1.72%,1.64%,,,,,,,,,1.13%
Shareholding Pattern (Quarterly),DIIs,,,0.00%,0.00%,0.04%,0.00%,0.00%,1.18%,1.85%,1.81%,1.82%,1.97%,2.06%,,,,,,,,,2.16%
Shareholding Pattern (Quarterly),Public,,,38.06%,40.64%,41.17%,41.22%,41.16%,41.12%,38.51%,38.47%,39.77%,40.53%,40.51%,,,,,,,,,40.26%
Shareholding Pattern (Quarterly),No. of Shareholders,,,13372,14377,13501,15738,22092,30161,33246,36313,38258,41028,36763,,,,,,,,,36729
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,61.55%,,,,58.73%,,,,54.44%,,,,55.78%,,,,60.46%,62.18%,62.18%,62.58%,65.31%,56.44%
Shareholding Pattern (Yearly),FIIs,0.03%,,,,0.07%,,,,5.20%,,,,1.64%,,,,2.36%,0.30%,0.00%,0.00%,0.00%,1.13%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.04%,,,,1.85%,,,,2.06%,,,,7.53%,1.92%,0.06%,0.00%,0.00%,2.16%
Shareholding Pattern (Yearly),Public,38.42%,,,,41.17%,,,,38.51%,,,,40.51%,,,,29.65%,35.61%,37.76%,37.42%,34.69%,40.26%
Shareholding Pattern (Yearly),No. of Shareholders,13774,,,,13501,,,,33246,,,,36763,,,,11750,11501,11773,11607,15520,36729
,,,,,,,,,,,,,,,,,,,,,,,
