Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2014,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2016
Profit & Loss,Dividend Payout %,10%,,,,9%,,,,8%,,,,8%,23%,18%,20%,12%,10%,9%,9%,9%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,15,,,,15,,,,15,,,,15,15,15,,15,15,15,15,15,15
Balance Sheet,Reserves,1252,,,,1649,,,,2084,,,,2835,47,78,,210,349,582,858,954,113
Balance Sheet,Borrowings,219,,,,222,,,,219,,,,5,3,2,,1,1,36,113,235,2
Balance Sheet,Other Liabilities,250,,,,305,,,,380,,,,353,115,134,,133,136,109,139,159,137
Balance Sheet,Total Liabilities,1736,,,,2191,,,,2698,,,,3209,180,229,,358,500,743,1126,1364,267
Balance Sheet,Fixed Assets,287,,,,280,,,,453,,,,550,102,113,,152,169,227,272,305,144
Balance Sheet,CWIP,18,,,,221,,,,117,,,,139,25,31,,3,15,10,20,14,0
Balance Sheet,Investments,89,,,,281,,,,376,,,,590,0,0,,17,47,70,61,11,0
Balance Sheet,Other Assets,1343,,,,1410,,,,1753,,,,1929,52,85,,186,269,436,772,1033,122
Balance Sheet,Total Assets,1736,,,,2191,,,,2698,,,,3209,180,229,,358,500,743,1126,1364,267
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,337,,,,271,,,,318,,,,432,60,50,,68,66,83,45,269,42
Cash Flows,Cash from Investing Activity,-377,,,,-216,,,,-319,,,,-335,-44,-23,,-36,-69,-100,-54,-30,-6
Cash Flows,Cash from Financing Activity,-41,,,,-28,,,,-38,,,,-38,-6,-9,,-7,-12,90,80,-24,-14
Cash Flows,Net Cash Flow,-81,,,,27,,,,-39,,,,59,10,19,,25,-14,73,70,215,23
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,91,,,,98,,,,117,,,,119,0,8,,30,85,90,97,96,12
Ratios,Inventory Days,149,,,,159,,,,183,,,,159,35,37,,44,44,47,210,139,57
Ratios,Days Payable,102,,,,84,,,,106,,,,103,112,112,,155,144,76,57,68,168
Ratios,Cash Conversion Cycle,138,,,,173,,,,194,,,,175,-77,-67,,-81,-16,61,251,166,-99
Ratios,Working Capital Days,166,,,,146,,,,166,,,,233,-181,-128,,-29,47,104,167,152,-114
Ratios,ROCE %,28%,,,,26%,,,,26%,,,,26%,64%,68%,,68%,63%,45%,33%,28%,62%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,68.88%,68.88%,68.80%,70.66%,70.63%,70.62%,70.62%,70.62%,70.56%,70.56%,70.56%,70.56%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,2.03%,2.15%,2.24%,2.36%,2.68%,3.09%,2.84%,3.33%,3.38%,3.71%,4.86%,5.73%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,1.12%,1.12%,1.12%,0.64%,0.27%,0.21%,0.43%,1.08%,1.49%,1.83%,2.11%,2.00%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,27.97%,27.85%,27.84%,26.33%,26.44%,26.08%,26.11%,24.95%,24.59%,23.93%,22.48%,21.72%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,84868,84538,82687,82146,78956,78068,79438,81409,80411,96123,92702,96387,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,68.89%,,,,70.66%,,,,70.62%,,,,70.56%,,,,69.06%,69.04%,69.04%,69.03%,69.03%,
Shareholding Pattern (Yearly),FIIs,2.07%,,,,2.36%,,,,3.33%,,,,5.73%,,,,5.19%,6.21%,7.32%,4.43%,0.68%,
Shareholding Pattern (Yearly),DIIs,1.25%,,,,0.64%,,,,1.08%,,,,2.00%,,,,0.46%,0.09%,0.01%,0.04%,1.28%,
Shareholding Pattern (Yearly),Public,27.78%,,,,26.33%,,,,24.95%,,,,21.72%,,,,25.29%,24.66%,23.63%,26.50%,29.01%,
Shareholding Pattern (Yearly),No. of Shareholders,83829,,,,82146,,,,81409,,,,96387,,,,21481,24512,26143,30072,68076,
,,,,,,,,,,,,,,,,,,,,,,,
