Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Balance Sheet,Other Liabilities,11010,,,,10417,,,,8833,,,,11051,7662,6915,6978
Balance Sheet,Total Liabilities,21317,,,,20979,,,,19777,,,,22412,11603,11786,13328
Balance Sheet,Fixed Assets,4601,,,,4793,,,,4921,,,,5481,3027,3758,3702
Balance Sheet,CWIP,275,,,,324,,,,879,,,,1060,570,325,531
Balance Sheet,Investments,362,,,,392,,,,312,,,,624,147,206,332
Balance Sheet,Other Assets,16079,,,,15469,,,,13665,,,,15248,7858,7497,8763
Balance Sheet,Total Assets,21317,,,,20979,,,,19777,,,,22412,11603,11786,13328
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1198,,,,663,,,,289,,,,2150,1693,781,726
Cash Flows,Cash from Investing Activity,-3786,,,,524,,,,138,,,,-278,-934,-506,-484
Cash Flows,Cash from Financing Activity,2658,,,,-919,,,,-847,,,,-1544,-762,-8,-531
Cash Flows,Net Cash Flow,70,,,,268,,,,-419,,,,328,-3,267,-289
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,15,,,,12,,,,13,,,,14,16,11,15
Ratios,Inventory Days,58,,,,53,,,,58,,,,56,61,57,55
Ratios,Days Payable,69,,,,59,,,,56,,,,56,101,85,60
Ratios,Cash Conversion Cycle,4,,,,6,,,,15,,,,14,-24,-17,10
Ratios,Working Capital Days,5,,,,8,,,,14,,,,11,-9,-5,11
Ratios,ROCE %,19%,,,,15%,,,,10%,,,,21%,,27%,21%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,87.94%,87.94%,87.94%,87.94%,87.94%,87.94%,87.88%,87.88%,87.88%,87.88%,87.88%,74.36%,,,
Shareholding Pattern (Quarterly),FIIs,,1.50%,1.63%,1.57%,1.27%,1.14%,0.63%,0.65%,0.77%,0.73%,0.95%,1.16%,4.31%,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.09%,0.14%,0.11%,0.06%,0.06%,0.12%,0.29%,0.25%,0.07%,0.05%,8.90%,,,
Shareholding Pattern (Quarterly),Public,,10.56%,10.34%,10.35%,10.68%,10.85%,11.36%,11.35%,11.08%,11.15%,11.11%,10.91%,12.08%,,,
Shareholding Pattern (Quarterly),Others,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.34%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,1117522,987112,1005433,1132258,1144602,1153748,1200267,1173450,1161453,1075647,1059390,1057695,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,87.94%,,,,87.94%,,,,87.88%,,,,74.36%,,,
Shareholding Pattern (Yearly),FIIs,2.01%,,,,1.27%,,,,0.77%,,,,4.31%,,,
Shareholding Pattern (Yearly),DIIs,0.41%,,,,0.11%,,,,0.29%,,,,8.90%,,,
Shareholding Pattern (Yearly),Public,9.64%,,,,10.68%,,,,11.08%,,,,12.08%,,,
Shareholding Pattern (Yearly),Others,0.00%,,,,0.00%,,,,0.00%,,,,0.34%,,,
Shareholding Pattern (Yearly),No. of Shareholders,802280,,,,1132258,,,,1173450,,,,1057695,,,
,,,,,,,,,,,,,,,,,
