Section,,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Mar 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Balance Sheet,CWIP,0,,,,0,,,,30,,,,0,1,1,0,9,9,0,6,0,,,,
Balance Sheet,Investments,1511,,,,3798,,,,4051,,,,4608,157,626,772,795,964,1143,1291,1552,,,,
Balance Sheet,Other Assets,137,,,,102,,,,103,,,,107,55,85,100,105,136,119,126,108,,,,
Balance Sheet,Total Assets,1786,,,,4033,,,,4337,,,,4861,248,765,965,1048,1265,1410,1549,1832,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,139,,,,39,,,,179,,,,259,90,133,184,148,136,226,276,153,,,,
Cash Flows,Cash from Investing Activity,174,,,,-2187,,,,-163,,,,-230,-114,-129,-158,25,-118,-137,-77,-127,,,,
Cash Flows,Cash from Financing Activity,-291,,,,2109,,,,-23,,,,-27,29,4,-14,-181,1,-84,-217,-27,,,,
Cash Flows,Net Cash Flow,22,,,,-38,,,,-8,,,,2,5,9,12,-9,19,5,-17,-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,
Ratios,Working Capital Days,-178,,,,-199,,,,-195,,,,-183,-181,-166,-166,-154,-161,-181,-177,-136,,,,
Ratios,ROCE %,12%,,,,-0%,,,,2%,,,,5%,73%,,26%,20%,12%,16%,22%,22%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,77.05%,76.98%,74.98%,74.96%,74.31%,74.31%,74.31%,74.29%,,,,,,,,,74.18%,74.15%,74.15%,74.15%
Shareholding Pattern (Quarterly),FIIs,,,,,,2.86%,2.70%,3.38%,3.82%,5.33%,4.88%,4.87%,5.31%,,,,,,,,,6.95%,7.82%,7.32%,6.57%
Shareholding Pattern (Quarterly),DIIs,,,,,,5.94%,5.97%,8.79%,8.97%,9.13%,9.36%,8.89%,8.18%,,,,,,,,,8.86%,8.37%,8.32%,8.92%
Shareholding Pattern (Quarterly),Public,,,,,,14.15%,14.35%,12.85%,12.24%,11.23%,11.45%,11.93%,12.21%,,,,,,,,,10.01%,9.65%,10.18%,10.36%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,100427,101404,94049,88670,82035,84585,79372,76660,,,,,,,,,73054,76713,81848,79939
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,35.55%,,,,77.64%,,,,74.96%,,,,74.29%,,,,,33.17%,33.99%,33.84%,33.44%,,,,74.15%
Shareholding Pattern (Yearly),FIIs,32.26%,,,,3.21%,,,,3.82%,,,,5.31%,,,,,28.17%,35.93%,47.70%,42.67%,,,,6.57%
Shareholding Pattern (Yearly),DIIs,15.28%,,,,4.86%,,,,8.97%,,,,8.18%,,,,,13.27%,10.22%,9.17%,14.68%,,,,8.92%
Shareholding Pattern (Yearly),Public,16.91%,,,,14.28%,,,,12.24%,,,,12.21%,,,,,25.39%,19.87%,9.28%,9.21%,,,,10.36%
Shareholding Pattern (Yearly),No. of Shareholders,76578,,,,97007,,,,88670,,,,76660,,,,,46425,47181,36805,40396,,,,79939
,,,,,,,,,,,,,,,,,,,,,,,,,,
