Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2020,Mar 2021,Mar 2018,Mar 2019
Balance Sheet,Equity Capital,261,,,,261,,,,261,,,,261,152,152,152,152,152,261,261,,
Balance Sheet,Reserves,339,,,,312,,,,107,,,,107,476,436,397,450,350,-39,72,,
Balance Sheet,Borrowings,354,,,,890,,,,1339,,,,1136,713,658,517,321,307,471,395,,
Balance Sheet,Other Liabilities,1152,,,,1250,,,,1199,,,,1431,846,823,820,1006,799,790,983,,
Balance Sheet,Total Liabilities,2105,,,,2713,,,,2907,,,,2936,2187,2069,1886,1929,1608,1483,1711,,
Balance Sheet,Fixed Assets,702,,,,783,,,,1217,,,,1264,1176,1270,1134,935,898,703,691,,
Balance Sheet,CWIP,35,,,,324,,,,105,,,,36,206,3,6,16,11,7,9,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,10,4,16,1,1,0,0,,
Balance Sheet,Other Assets,1368,,,,1605,,,,1584,,,,1636,795,791,730,977,698,773,1012,,
Balance Sheet,Total Assets,2105,,,,2713,,,,2907,,,,2936,2187,2069,1886,1929,1608,1483,1711,,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,200,,,,-81,,,,-97,,,,391,-28,-89,221,127,39,-119,182,,
Cash Flows,Cash from Investing Activity,-75,,,,-348,,,,-258,,,,-36,-34,207,-3,-33,53,40,-18,,
Cash Flows,Cash from Financing Activity,-123,,,,479,,,,322,,,,-354,65,-115,-208,-111,-93,87,-174,,
Cash Flows,Net Cash Flow,2,,,,50,,,,-32,,,,1,3,3,10,-17,-1,8,-9,,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,17,,,,14,,,,16,,,,14,11,16,16,29,20,16,19,,
Ratios,Inventory Days,67,,,,73,,,,67,,,,65,46,48,46,48,36,57,102,,
Ratios,Days Payable,126,,,,125,,,,120,,,,142,80,87,92,136,132,126,221,,
Ratios,Cash Conversion Cycle,-43,,,,-38,,,,-38,,,,-63,-24,-23,-30,-60,-76,-53,-100,,
Ratios,Working Capital Days,-8,,,,2,,,,9,,,,-7,-7,-8,-15,-24,-44,-36,-35,,
Ratios,ROCE %,33%,,,,3%,,,,-4%,,,,10%,,-8%,1%,-1%,-8%,,11%,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,75.00%,75.00%,74.85%,74.85%,74.85%,74.85%,74.85%,74.84%,74.84%,74.84%,74.84%,74.84%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.20%,0.18%,0.19%,0.17%,0.17%,0.16%,0.03%,0.00%,0.01%,0.00%,0.01%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,3.23%,3.07%,3.07%,3.07%,3.07%,3.07%,3.07%,2.89%,2.89%,2.57%,2.56%,2.56%,,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,21.63%,21.71%,21.90%,21.89%,21.91%,21.92%,21.92%,22.24%,22.27%,22.56%,22.59%,22.58%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,25525,25548,25255,25027,25269,25893,25878,28572,28279,29840,30271,29697,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,75.00%,,,,74.85%,,,,74.84%,,,,74.84%,,,,,71.87%,81.72%,75.00%,73.89%,63.26%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.19%,,,,0.03%,,,,0.01%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,3.31%,,,,3.07%,,,,2.89%,,,,2.56%,,,,,12.98%,5.02%,4.79%,12.03%,15.78%
Shareholding Pattern (Yearly),Government,0.13%,,,,0.00%,,,,0.00%,,,,0.00%,,,,,0.00%,0.10%,0.12%,0.00%,0.14%
Shareholding Pattern (Yearly),Public,21.56%,,,,21.89%,,,,22.24%,,,,22.58%,,,,,15.15%,13.16%,20.09%,14.07%,20.82%
Shareholding Pattern (Yearly),No. of Shareholders,25029,,,,25027,,,,28572,,,,29697,,,,,21967,16762,16303,21810,18025
,,,,,,,,,,,,,,,,,,,,,,,
