Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 20149m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2014
Profit & Loss,Other Income,24,,,,24,,,,46,,,,36,12,12,15,10,54,16,13,-195,
Profit & Loss,Interest,27,,,,29,,,,30,,,,23,32,42,42,52,49,47,55,45,
Profit & Loss,Depreciation,35,,,,59,,,,69,,,,73,22,33,38,30,30,30,44,40,
Profit & Loss,Profit before tax,-0,,,,5,,,,-1,,,,5,40,76,65,27,54,35,-48,-253,
Profit & Loss,Tax %,786%,,,,306%,,,,-677%,,,,-119%,29%,25%,24%,35%,28%,35%,74%,-3%,
Profit & Loss,Net Profit,-4,,,,-11,,,,6,,,,12,28,57,49,17,39,23,-84,-246,
Profit & Loss,EPS in Rs,0.72,,,,-0.71,,,,1.12,,,,0.91,2.68,4.71,4.20,1.22,3.16,1.69,-6.42,-18.69,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,26%,30%,24%,65%,28%,47%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,25,,,,26,,,,26,,,,29,,18,18,18,22,22,24,24,17
Balance Sheet,Reserves,535,,,,589,,,,609,,,,784,,531,546,621,707,703,719,501,755
Balance Sheet,Borrowings,324,,,,321,,,,386,,,,236,,473,502,558,366,367,476,348,480
Balance Sheet,Other Liabilities,347,,,,349,,,,302,,,,324,,322,395,260,362,398,375,364,324
Balance Sheet,Total Liabilities,1231,,,,1285,,,,1323,,,,1373,,1344,1460,1457,1456,1490,1594,1237,1577
Balance Sheet,Fixed Assets,673,,,,685,,,,714,,,,677,,741,739,988,994,996,1037,648,826
Balance Sheet,CWIP,1,,,,1,,,,4,,,,0,,3,20,9,3,5,2,0,39
Balance Sheet,Investments,10,,,,0,,,,0,,,,3,,67,99,4,4,2,78,0,55
Balance Sheet,Other Assets,547,,,,600,,,,606,,,,694,,533,602,455,456,486,477,590,658
Balance Sheet,Total Assets,1231,,,,1285,,,,1323,,,,1373,,1344,1460,1457,1456,1490,1594,1237,1577
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-7,,,,58,,,,73,,,,79,,86,98,67,125,99,28,49,31
Cash Flows,Cash from Investing Activity,27,,,,-16,,,,52,,,,-58,,-76,-61,-16,-15,-42,-83,133,-16
Cash Flows,Cash from Financing Activity,-47,,,,-39,,,,-55,,,,-37,,18,-51,-33,-123,-58,71,-173,-31
Cash Flows,Net Cash Flow,-27,,,,3,,,,70,,,,-16,,28,-14,18,-14,-2,16,9,-16
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,57,,,,57,,,,52,,,,61,,59,64,46,51,47,44,54,79
Ratios,Inventory Days,6,,,,4,,,,4,,,,,,5,9,9,11,11,9,6,25
Ratios,Days Payable,167,,,,140,,,,151,,,,,,126,143,105,148,143,114,134,153
Ratios,Cash Conversion Cycle,-105,,,,-80,,,,-95,,,,61,,-62,-71,-50,-87,-84,-60,-74,-49
Ratios,Working Capital Days,41,,,,30,,,,21,,,,49,,35,42,-17,10,-3,-19,41,74
Ratios,ROCE %,2%,,,,3%,,,,-0%,,,,2%,,10%,9%,6%,10%,7%,0%,-0%,6%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,51.53%,51.41%,53.12%,53.11%,53.04%,52.97%,52.94%,52.93%,46.90%,46.10%,46.09%,46.08%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,2.16%,2.18%,2.12%,2.24%,1.61%,0.75%,0.75%,0.96%,6.92%,2.03%,2.13%,2.39%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,1.27%,1.36%,1.30%,1.38%,1.41%,1.54%,1.66%,1.68%,4.59%,3.38%,3.46%,2.98%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,45.04%,45.05%,43.45%,43.27%,43.94%,44.74%,44.65%,44.44%,41.59%,48.47%,48.32%,48.55%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,91588,88777,88150,90000,90852,91448,96794,95605,98113,108469,106697,105161,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,51.66%,,,,53.11%,,,,52.93%,,,,46.08%,,,,37.12%,24.89%,20.87%,7.80%,51.90%,
Shareholding Pattern (Yearly),FIIs,3.30%,,,,2.24%,,,,0.96%,,,,2.39%,,,,13.15%,6.69%,6.30%,4.68%,0.09%,
Shareholding Pattern (Yearly),DIIs,1.23%,,,,1.38%,,,,1.68%,,,,2.98%,,,,0.34%,0.29%,0.42%,0.27%,1.48%,
Shareholding Pattern (Yearly),Public,43.81%,,,,43.27%,,,,44.44%,,,,48.55%,,,,49.38%,68.13%,72.41%,87.25%,46.53%,
Shareholding Pattern (Yearly),No. of Shareholders,92049,,,,90000,,,,95605,,,,105161,,,,104207,112121,104509,92689,94836,
,,,,,,,,,,,,,,,,,,,,,,,
