Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Balance Sheet,Equity Capital,5,,,,5,,,,5,,,,5,5,5,5,5,5,5,5,5,
Balance Sheet,Reserves,149,,,,125,,,,147,,,,197,43,45,55,62,71,76,94,129,
Balance Sheet,Borrowings,99,,,,120,,,,128,,,,100,38,49,60,72,63,76,77,81,
Balance Sheet,Other Liabilities,156,,,,161,,,,174,,,,170,134,91,103,105,118,154,177,150,
Balance Sheet,Total Liabilities,409,,,,411,,,,454,,,,472,220,190,223,243,258,311,353,365,
Balance Sheet,Fixed Assets,106,,,,124,,,,155,,,,165,52,56,60,79,83,99,106,100,
Balance Sheet,CWIP,14,,,,17,,,,13,,,,21,1,3,4,0,0,1,1,8,
Balance Sheet,Investments,0,,,,3,,,,4,,,,4,0,0,0,0,0,0,0,0,
Balance Sheet,Other Assets,290,,,,268,,,,281,,,,283,167,130,159,165,174,212,246,256,
Balance Sheet,Total Assets,409,,,,411,,,,454,,,,472,220,190,223,243,258,311,353,365,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,4,,,,27,,,,58,,,,34,28,14,13,26,31,18,32,30,
Cash Flows,Cash from Investing Activity,-7,,,,-31,,,,-46,,,,-37,-8,-10,-9,-18,-12,-25,-16,-14,
Cash Flows,Cash from Financing Activity,3,,,,4,,,,-12,,,,3,-20,-4,-4,-9,-18,6,-16,-16,
Cash Flows,Net Cash Flow,0,,,,-0,,,,0,,,,-0,0,-0,0,-0,1,-2,0,-0,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,22,,,,27,,,,28,,,,25,61,31,43,43,40,42,50,24,
Ratios,Inventory Days,172,,,,90,,,,82,,,,104,96,81,65,103,99,87,120,132,
Ratios,Days Payable,106,,,,73,,,,71,,,,85,142,88,76,96,101,95,131,92,
Ratios,Cash Conversion Cycle,88,,,,44,,,,40,,,,44,16,25,33,49,38,34,39,64,
Ratios,Working Capital Days,88,,,,49,,,,42,,,,49,26,30,37,45,38,37,45,59,
Ratios,ROCE %,14%,,,,-6%,,,,19%,,,,6%,24%,18%,32%,20%,19%,17%,24%,31%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,66.35%,66.35%,66.35%,66.35%,66.35%,66.35%,66.35%,66.77%,66.77%,66.77%,67.75%,,,,,,,,,68.72%
Shareholding Pattern (Quarterly),FIIs,,,0.01%,0.00%,0.06%,0.08%,0.01%,0.15%,0.01%,0.46%,0.02%,0.01%,0.08%,,,,,,,,,0.11%
Shareholding Pattern (Quarterly),Public,,,33.64%,33.65%,33.58%,33.57%,33.64%,33.49%,33.64%,32.77%,33.21%,33.23%,32.18%,,,,,,,,,31.17%
Shareholding Pattern (Quarterly),No. of Shareholders,,,12360,11903,10733,10191,11171,11265,13665,11797,12934,12557,12522,,,,,,,,,12181
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,66.35%,,,,66.35%,,,,66.35%,,,,67.75%,,,,65.76%,65.76%,65.80%,66.13%,66.34%,68.72%
Shareholding Pattern (Yearly),FIIs,0.03%,,,,0.06%,,,,0.01%,,,,0.08%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%
Shareholding Pattern (Yearly),DIIs,0.01%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,33.62%,,,,33.58%,,,,33.64%,,,,32.18%,,,,34.24%,34.23%,34.20%,33.87%,33.66%,31.17%
Shareholding Pattern (Yearly),No. of Shareholders,12006,,,,10733,,,,13665,,,,12522,,,,5858,7077,6235,5659,6908,12181
,,,,,,,,,,,,,,,,,,,,,,,
