Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Balance Sheet,Equity Capital,15,,,,15,,,,18,,,,18,11,15,15,15,
Balance Sheet,Reserves,23,,,,29,,,,22,,,,25,1,11,14,18,
Balance Sheet,Borrowings,42,,,,41,,,,64,,,,42,25,24,30,43,
Balance Sheet,Other Liabilities,40,,,,43,,,,20,,,,19,15,11,7,16,
Balance Sheet,Total Liabilities,120,,,,128,,,,124,,,,105,52,61,66,93,
Balance Sheet,Fixed Assets,4,,,,4,,,,7,,,,6,2,2,4,4,
Balance Sheet,CWIP,0,,,,1,,,,2,,,,2,0,0,0,0,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,0,0,
Balance Sheet,Other Assets,115,,,,122,,,,115,,,,96,50,59,63,89,
Balance Sheet,Total Assets,120,,,,128,,,,124,,,,105,52,61,66,93,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,5,,,,12,,,,-15,,,,24,-10,-10,-4,-11,
Cash Flows,Cash from Investing Activity,-1,,,,-2,,,,-4,,,,-1,-0,1,-3,-0,
Cash Flows,Cash from Financing Activity,-4,,,,-6,,,,17,,,,-26,10,13,4,10,
Cash Flows,Net Cash Flow,1,,,,3,,,,-2,,,,-3,0,3,-3,-1,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,29,,,,11,,,,24,,,,19,227,32,39,14,
Ratios,Inventory Days,144,,,,147,,,,1540,,,,103,790,134,147,190,
Ratios,Days Payable,5,,,,4,,,,53,,,,7,334,28,3,4,
Ratios,Cash Conversion Cycle,168,,,,154,,,,1511,,,,115,683,137,182,201,
Ratios,Working Capital Days,113,,,,100,,,,122,,,,111,676,128,168,160,
Ratios,ROCE %,13%,,,,14%,,,,1%,,,,10%,,14%,12%,11%,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,69.98%,,69.98%,,69.98%,69.98%,69.98%,69.98%,69.98%,69.66%,66.63%,66.63%,66.63%,,,,,69.98%
Shareholding Pattern (Quarterly),FIIs,0.00%,,0.13%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,,,,,0.00%
Shareholding Pattern (Quarterly),DIIs,0.13%,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,0.13%
Shareholding Pattern (Quarterly),Public,29.88%,,29.89%,,30.02%,30.03%,30.02%,30.02%,30.02%,30.34%,33.37%,33.37%,33.37%,,,,,29.89%
Shareholding Pattern (Quarterly),No. of Shareholders,142,,181,,611,1144,2713,4089,9198,10792,29272,27610,26707,,,,,144
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,69.98%,,,,69.98%,,,,69.98%,,,,66.63%,,69.98%,69.98%,69.98%,
Shareholding Pattern (Yearly),DIIs,0.13%,,,,0.00%,,,,0.00%,,,,0.00%,,0.24%,0.24%,0.13%,
Shareholding Pattern (Yearly),Public,29.88%,,,,30.02%,,,,30.02%,,,,33.37%,,29.77%,29.78%,29.89%,
Shareholding Pattern (Yearly),No. of Shareholders,142,,,,611,,,,9198,,,,26707,,269,216,164,
,,,,,,,,,,,,,,,,,,,
