Section,,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,121,,,,30,,,,46,,,,80,446,372,306,259,316,258,185,251,,,,,,,,
Profit & Loss,Expenses,151,,,,45,,,,59,,,,94,389,344,297,264,303,261,200,265,,,,,,,,
Profit & Loss,Operating Profit,-30,,,,-16,,,,-13,,,,-15,57,28,9,-5,13,-3,-15,-14,,,,,,,,
Profit & Loss,OPM %,-25%,,,,-53%,,,,-28%,,,,-19%,13%,7%,3%,-2%,4%,-1%,-8%,-6%,,,,,,,,
Profit & Loss,Other Income,0,,,,-8,,,,2,,,,8,-52,4,-6,6,3,-24,10,3,,,,,,,,
Profit & Loss,Interest,2,,,,3,,,,2,,,,3,4,3,3,3,3,1,1,2,,,,,,,,
Profit & Loss,Depreciation,2,,,,2,,,,1,,,,1,13,12,12,8,7,6,5,4,,,,,,,,
Profit & Loss,Profit before tax,-34,,,,-28,,,,-14,,,,-11,-11,17,-12,-10,6,-34,-12,-17,,,,,,,,
Profit & Loss,Tax %,3%,,,,2%,,,,-1%,,,,3%,150%,36%,-32%,4%,-11%,5%,17%,-3%,,,,,,,,
Profit & Loss,Net Profit,-35,,,,-29,,,,-14,,,,-11,-27,11,-8,-10,6,-35,-14,-16,,,,,,,,
Profit & Loss,EPS in Rs,-11.61,,,,-9.44,,,,-4.59,,,,-3.63,-8.74,3.61,-2.64,-3.26,2.10,-11.63,-4.69,-5.37,,,,,,,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,-29%,42%,-38%,-15%,48%,-4%,-13%,-9%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,6,,,,6,,,,6,,,,6,6,6,6,6,6,6,6,6,,,,,,,,
Balance Sheet,Reserves,146,,,,117,,,,104,,,,93,194,206,199,189,194,218,202,184,,,,,,,,
Balance Sheet,Borrowings,9,,,,19,,,,18,,,,11,16,18,15,17,11,7,3,0,,,,,,,,
Balance Sheet,Other Liabilities,66,,,,41,,,,43,,,,62,150,93,103,95,104,82,96,66,,,,,,,,
Balance Sheet,Total Liabilities,227,,,,183,,,,170,,,,172,366,323,323,307,315,313,306,256,,,,,,,,
Balance Sheet,Fixed Assets,95,,,,93,,,,92,,,,90,80,73,64,59,54,120,101,97,,,,,,,,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,1,0,0,0,0,0,0,0,,,,,,,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,37,36,36,25,28,60,48,11,,,,,,,,
Balance Sheet,Other Assets,131,,,,90,,,,78,,,,82,248,215,223,223,233,132,158,148,,,,,,,,
Balance Sheet,Total Assets,227,,,,183,,,,170,,,,172,366,323,323,307,315,313,306,256,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-29,,,,-22,,,,-1,,,,-6,43,-2,17,-20,19,30,-28,-14,,,,,,,,
Cash Flows,Cash from Investing Activity,13,,,,13,,,,4,,,,17,-6,2,2,13,-2,-25,31,25,,,,,,,,
Cash Flows,Cash from Financing Activity,6,,,,7,,,,-4,,,,-10,-33,-8,-10,-3,-11,-8,-7,-5,,,,,,,,
Cash Flows,Net Cash Flow,-10,,,,-2,,,,-1,,,,1,4,-8,9,-9,7,-2,-3,6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,54,,,,42,,,,9,,,,11,32,27,26,41,35,13,35,8,,,,,,,,
Ratios,Inventory Days,272,,,,1033,,,,675,,,,384,166,177,189,214,177,145,260,185,,,,,,,,
Ratios,Days Payable,106,,,,174,,,,100,,,,144,77,59,61,90,52,60,127,43,,,,,,,,
Ratios,Cash Conversion Cycle,221,,,,901,,,,585,,,,251,121,144,154,165,160,98,169,151,,,,,,,,
Ratios,Working Capital Days,116,,,,535,,,,309,,,,141,26,50,28,46,30,6,78,61,,,,,,,,
Ratios,ROCE %,-17%,,,,-10%,,,,-9%,,,,-12%,21%,9%,-0%,-4%,4%,0%,-5%,-6%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,57.65%,57.66%,57.66%,57.67%,,,,,,,,,57.67%,57.67%,57.67%,57.67%,57.67%,57.67%,57.67%,57.67%
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,0.77%,0.77%,0.77%,0.77%,,,,,,,,,0.77%,0.77%,0.77%,0.77%,0.72%,1.83%,1.83%,1.83%
Shareholding Pattern (Quarterly),Public,,,,,,,,,,41.58%,41.57%,41.57%,41.56%,,,,,,,,,41.55%,41.55%,41.56%,41.56%,41.61%,40.50%,40.51%,40.49%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,10494,10549,10405,10750,,,,,,,,,10814,11204,10558,12119,11977,12766,12775,12740
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,57.44%,,,,57.65%,,,,57.65%,,,,57.67%,,,,,,57.51%,57.44%,57.44%,,,,57.67%,,,,57.67%
Shareholding Pattern (Yearly),DIIs,2.19%,,,,1.93%,,,,1.25%,,,,0.77%,,,,,,2.32%,2.31%,2.31%,,,,0.77%,,,,1.83%
Shareholding Pattern (Yearly),Public,40.37%,,,,40.42%,,,,41.10%,,,,41.56%,,,,,,40.18%,40.25%,40.25%,,,,41.56%,,,,40.49%
Shareholding Pattern (Yearly),No. of Shareholders,10085,,,,9761,,,,10464,,,,10750,,,,,,12254,10937,10383,,,,12119,,,,12740
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
