Section,,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Cash Flows,Cash from Operating Activity,8,-14,-30,1,20,13,12,9,36,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,0,-51,24,-0,-30,-2,0,-6,-16,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-6,65,8,-3,14,-4,-21,-3,-20,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,2,-1,2,-1,3,7,-9,0,-0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,78,90,58,84,67,69,74,72,81,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,156,242,443,547,503,465,300,453,331,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,48,53,58,118,150,173,78,128,96,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,187,279,443,514,420,361,295,396,317,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,160,282,412,406,321,214,182,234,174,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,6%,3%,7%,9%,8%,9%,6%,10%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,66.64%,66.64%,66.64%,66.77%,66.82%,66.82%,66.69%,66.69%,66.69%,66.69%,66.69%,66.73%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,0.05%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.01%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,33.31%,33.25%,33.35%,33.21%,33.17%,33.17%,33.30%,33.31%,33.28%,33.30%,33.30%,33.25%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,13729,14657,14330,13970,13424,13676,13488,13241,13487,13392,13378,13378,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,,66.77%,,,,66.69%,,,,66.73%,66.55%,66.52%,66.64%,66.64%,66.64%,66.64%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.33%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Government,,,,,,,,,,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,,33.21%,,,,33.31%,,,,33.25%,33.45%,33.42%,33.35%,33.36%,33.36%,33.02%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,,13970,,,,13241,,,,13378,10428,10061,9532,9346,9436,10777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
