Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,76,,,,76,,,,76,,,,76,76,76,76,76,76,76,76,76,
Balance Sheet,Reserves,883,,,,791,,,,658,,,,754,730,766,707,800,908,764,829,818,
Balance Sheet,Borrowings,541,,,,561,,,,1117,,,,1139,337,378,791,762,690,807,747,678,
Balance Sheet,Other Liabilities,2470,,,,2603,,,,3097,,,,3335,730,846,1198,1225,988,1980,2078,2329,
Balance Sheet,Total Liabilities,3970,,,,4032,,,,4947,,,,5304,1873,2066,2771,2862,2662,3627,3730,3901,
Balance Sheet,Fixed Assets,286,,,,109,,,,136,,,,168,112,119,135,127,118,104,294,286,
Balance Sheet,CWIP,0,,,,10,,,,0,,,,0,15,11,2,2,0,0,1,0,
Balance Sheet,Investments,61,,,,46,,,,125,,,,60,15,6,3,4,0,3,1,18,
Balance Sheet,Other Assets,3623,,,,3866,,,,4686,,,,5077,1730,1930,2632,2728,2544,3520,3434,3598,
Balance Sheet,Total Assets,3970,,,,4032,,,,4947,,,,5304,1873,2066,2771,2862,2662,3627,3730,3901,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,355,,,,198,,,,-111,,,,282,-117,34,36,143,230,67,335,324,
Cash Flows,Cash from Investing Activity,-115,,,,-59,,,,-134,,,,-241,-37,0,-137,38,38,16,-69,-155,
Cash Flows,Cash from Financing Activity,-206,,,,-59,,,,319,,,,-160,98,-53,119,-171,-254,-119,-227,-137,
Cash Flows,Net Cash Flow,34,,,,79,,,,74,,,,-119,-56,-19,18,10,13,-36,39,32,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,8,,,,7,,,,15,,,,13,41,53,71,67,48,45,20,17,
Ratios,Inventory Days,1341,,,,970,,,,1177,,,,1016,,,,,,,1374,2106,
Ratios,Days Payable,136,,,,125,,,,195,,,,153,,,,,,,143,214,
Ratios,Cash Conversion Cycle,1213,,,,851,,,,997,,,,877,41,53,71,67,48,45,1251,1910,
Ratios,Working Capital Days,206,,,,150,,,,207,,,,169,401,534,696,361,307,351,233,388,
Ratios,ROCE %,13%,,,,14%,,,,2%,,,,11%,19%,15%,12%,12%,16%,14%,16%,4%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,74.45%,74.45%,74.45%,74.45%,74.45%,74.45%,69.45%,69.45%,69.45%,69.45%,69.45%,,,,,,,,,59.52%
Shareholding Pattern (Quarterly),FIIs,,,1.37%,1.39%,1.27%,1.54%,2.64%,2.59%,4.77%,4.51%,3.13%,3.05%,4.15%,,,,,,,,,6.78%
Shareholding Pattern (Quarterly),DIIs,,,3.71%,4.82%,4.83%,2.51%,3.96%,4.51%,6.02%,4.96%,5.19%,5.96%,5.59%,,,,,,,,,3.75%
Shareholding Pattern (Quarterly),Public,,,20.46%,19.34%,19.45%,21.49%,18.95%,18.45%,19.77%,21.09%,22.24%,21.54%,20.81%,,,,,,,,,29.95%
Shareholding Pattern (Quarterly),No. of Shareholders,,,43360,42479,43098,42958,42339,42891,44476,48392,54799,55264,54497,,,,,,,,,49341
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,74.45%,,,,74.45%,,,,69.45%,,,,69.45%,,,,74.54%,74.51%,74.53%,74.63%,74.45%,59.52%
Shareholding Pattern (Yearly),FIIs,1.44%,,,,1.27%,,,,4.77%,,,,4.15%,,,,9.16%,11.96%,14.36%,14.47%,9.85%,6.78%
Shareholding Pattern (Yearly),DIIs,4.24%,,,,4.83%,,,,6.02%,,,,5.59%,,,,1.25%,0.43%,0.06%,0.14%,0.05%,3.75%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,19.88%,,,,19.45%,,,,19.77%,,,,20.81%,,,,15.05%,13.09%,11.06%,10.75%,15.65%,29.95%
Shareholding Pattern (Yearly),No. of Shareholders,48906,,,,43098,,,,44476,,,,54497,,,,41281,41274,37463,34790,37216,49341
,,,,,,,,,,,,,,,,,,,,,,,
