Section,,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2022
Profit & Loss,Depreciation,,0.02,,,,0.02,,,,0.02,,,,0.04,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,-0.11,,,,-0.33,,,,-2.97,,,,-2.58,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,445.45%,,,,0.00%,,,,0.00%,,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,-0.60,,,,-0.33,,,,-2.98,,,,-2.57,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,-1.01,,,,-0.56,,,,-5.02,,,,-4.33,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,0.00%,,,,0.00%,,,,0.00%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,5.94,,,,5.94,,,,5.94,,5.94,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,116.22,,,,114.87,,,,97.17,,97.44,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,0.99,,,,0.63,,,,15.64,,10.11,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,0.31,,,,0.51,,,,0.25,,0.84,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,123.46,,,,121.95,,,,119.00,,114.33,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,23.82,,,,22.71,,,,10.56,,10.56,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,0.05,,,,0.05,,,,0.05,,0.05,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,45.13,,,,44.33,,,,44.95,,44.13,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,54.46,,,,54.86,,,,63.44,,59.59,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,123.46,,,,121.95,,,,119.00,,114.33,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-20.61,,,,-2.44,,,,-9.25,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,20.60,,,,2.80,,,,-5.77,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,0.00,,,,-0.36,,,,15.01,,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,0.00,,,,0.01,,,,-0.01,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,0.00,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,0.00,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,116198.82,,,,52252.63,,,,121391.32,,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,-1.01%,,,,0.27%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,31.10%,31.10%,31.10%,31.10%,31.10%,31.10%,31.10%,31.10%,31.10%,31.10%,31.10%,30.90%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,,0.00%,0.01%,0.01%,0.01%,0.01%,0.03%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,,,0.04%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,68.86%,68.85%,68.85%,68.85%,68.84%,68.84%,68.85%,68.85%,68.85%,68.85%,68.85%,69.05%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,23566,23190,23238,23558,23355,22001,22141,22217,22857,26295,25743,25937,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,45.47%,,,,45.47%,,,,45.47%,,,,,,,,31.10%,,,,31.10%,,,,30.90%,46.30%,45.84%,31.10%
Shareholding Pattern (Yearly),FIIs,,0.00%,,,,0.00%,,,,0.00%,,,,,,,,0.01%,,,,0.01%,,,,0.01%,0.00%,0.29%,0.00%
Shareholding Pattern (Yearly),DIIs,,0.06%,,,,0.08%,,,,0.06%,,,,,,,,0.03%,,,,0.03%,,,,0.03%,0.07%,0.09%,0.04%
Shareholding Pattern (Yearly),Public,,54.47%,,,,54.45%,,,,54.47%,,,,,,,,68.85%,,,,68.85%,,,,69.05%,53.63%,53.78%,68.86%
Shareholding Pattern (Yearly),No. of Shareholders,,26135,,,,25365,,,,24614,,,,,,,,23558,,,,22217,,,,25937,26416,26827,23876
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
