Section,,Mar 2015,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Shareholding Pattern (Quarterly),Promoters,,,47.71%,47.71%,47.71%,47.71%,47.71%,47.71%,47.71%,47.71%,47.71%,47.71%,47.71%,47.71%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,6.20%,6.19%,6.19%,6.19%,6.19%,6.19%,6.19%,6.19%,6.19%,6.19%,6.19%,6.19%,,,,,,
Shareholding Pattern (Quarterly),Government,,,2.30%,2.30%,2.30%,2.30%,2.30%,2.30%,2.30%,2.30%,2.30%,2.30%,2.30%,2.30%,,,,,,
Shareholding Pattern (Quarterly),Public,,,43.79%,43.79%,43.79%,43.79%,43.78%,43.78%,43.78%,43.78%,43.79%,43.78%,43.78%,43.79%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,22096,22095,22097,22095,22436,22591,22654,22845,22956,22945,23063,23256,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,39.79%,,,,47.71%,,,,47.71%,,,,47.71%,39.79%,46.48%,46.48%,47.71%,47.71%,47.71%
Shareholding Pattern (Yearly),FIIs,,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.63%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,8.15%,,,,6.19%,,,,6.19%,,,,6.19%,8.15%,6.13%,6.20%,6.20%,6.20%,6.20%
Shareholding Pattern (Yearly),Government,,2.30%,,,,2.30%,,,,2.30%,,,,2.30%,2.30%,2.30%,2.30%,2.30%,2.30%,2.30%
Shareholding Pattern (Yearly),Public,,49.76%,,,,43.79%,,,,43.78%,,,,43.79%,49.76%,44.45%,45.02%,43.79%,43.79%,43.79%
Shareholding Pattern (Yearly),No. of Shareholders,,22695,,,,22095,,,,22845,,,,23256,22665,22274,22113,22093,22109,22104
,,,,,,,,,,,,,,,,,,,,,
