Section,,Mar 2009,Mar 2011,Mar 2012,Mar 2016,Mar 2017,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,91,26,24,34,25,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,403,-33,-535,-114,-795,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,-0%,,4%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,3.33%,3.33%,3.32%,3.32%,3.28%,3.28%,3.28%,3.28%,3.28%,3.28%,3.28%,3.28%,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,0.12%,0.14%,0.14%,0.14%,0.13%,0.12%,0.10%,0.12%,0.17%,0.12%,0.01%,0.05%,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,46.33%,46.34%,45.98%,45.94%,45.47%,45.17%,44.42%,43.25%,42.18%,37.00%,36.14%,35.20%,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,50.22%,50.20%,50.56%,50.60%,51.13%,51.42%,52.19%,53.35%,54.37%,59.60%,60.59%,61.49%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,1130385,1147979,1132990,1130999,1132473,1169837,1233978,1460528,1772090,2701617,2782324,2795172,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,25.56%,,,,3.32%,,,,3.28%,,,,3.28%,19.52%,3.41%,3.41%,3.36%,3.33%
Shareholding Pattern (Yearly),FIIs,,,,,11.77%,,,,0.14%,,,,0.12%,,,,0.05%,2.37%,2.30%,2.26%,2.23%,1.38%
Shareholding Pattern (Yearly),DIIs,,,,,36.99%,,,,45.94%,,,,43.25%,,,,35.20%,68.48%,66.40%,64.14%,60.97%,49.94%
Shareholding Pattern (Yearly),Public,,,,,25.68%,,,,50.60%,,,,53.35%,,,,61.49%,9.63%,27.89%,30.19%,33.44%,45.35%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,179324,,,,1130999,,,,1460528,,,,2795172,184969,186488,190496,259437,1092708
,,,,,,,,,,,,,,,,,,,,,,,
