Section,,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Profit & Loss,Dividend Payout %,,16%,,,,15%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,7,,,,7,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,64,,,,78,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,24,,,,31,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,51,,,,39,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,146,,,,155,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,55,,,,56,,,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,2,,,,4,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,18,,,,22,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,71,,,,72,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,146,,,,155,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,28,,,,13,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,-13,,,,-11,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,-15,,,,-2,,,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,0,,,,-0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,38,,,,44,,,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,53,,,,54,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,111,,,,96,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,-19,,,,2,,,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,46,,,,71,,,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,27%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,62.70%,62.70%,62.70%,62.70%,62.70%,62.70%,62.70%,62.70%,62.70%,62.70%,62.70%,62.70%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,1.45%,1.44%,0.72%,0.68%,0.68%,0.68%,0.68%,0.43%,0.39%,0.07%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,0.05%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,35.80%,35.81%,36.52%,36.56%,36.56%,36.56%,36.57%,36.82%,36.87%,37.17%,37.24%,37.25%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,15776,15819,15722,15329,15007,15506,15267,15119,14629,13740,13602,13426,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,62.70%,,,,62.70%,,,,62.70%,70.33%,62.70%,62.70%,62.70%,62.70%,62.70%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,0.68%,,,,0.43%,,,,0.00%,0.00%,4.75%,5.82%,4.89%,1.43%,1.55%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,0.06%,,,,0.06%,,,,0.06%,0.06%,5.10%,6.38%,6.32%,0.05%,0.05%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,36.56%,,,,36.82%,,,,37.25%,29.61%,27.45%,25.09%,26.09%,35.82%,35.70%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,15329,,,,15119,,,,13426,10604,14084,12702,12152,14383,15765
,,,,,,,,,,,,,,,,,,,,,,,,,,,
