Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Feb 2016,Mar 2017,Mar 2018,Mar 2019
Balance Sheet,Total Assets,646,,,,631,,,,676,,,,733,526,575,,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,76,,,,28,,,,23,,,,52,59,58,,,,
Cash Flows,Cash from Investing Activity,-58,,,,-23,,,,-33,,,,-46,-45,-44,,,,
Cash Flows,Cash from Financing Activity,-14,,,,-16,,,,5,,,,-9,-10,-3,,,,
Cash Flows,Net Cash Flow,4,,,,-11,,,,-5,,,,-3,3,10,,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,63,,,,93,,,,115,,,,115,69,87,,,,
Ratios,Inventory Days,63,,,,45,,,,48,,,,51,57,63,,,,
Ratios,Days Payable,50,,,,41,,,,66,,,,71,77,62,,,,
Ratios,Cash Conversion Cycle,76,,,,96,,,,97,,,,95,49,88,,,,
Ratios,Working Capital Days,89,,,,114,,,,154,,,,140,91,114,,,,
Ratios,ROCE %,19%,,,,4%,,,,5%,,,,10%,,18%,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,71.44%,71.44%,71.44%,71.75%,71.75%,71.75%,71.75%,71.75%,71.75%,71.75%,71.75%,71.75%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.04%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.21%,0.00%,0.02%,,,,,,
Shareholding Pattern (Quarterly),Public,,28.53%,28.55%,28.56%,28.25%,28.25%,28.25%,28.25%,28.23%,28.25%,28.05%,28.25%,28.23%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,15406,15559,15436,15083,14233,14306,14909,16587,16196,16992,16991,16932,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,71.43%,,,,71.75%,,,,71.75%,,,,71.75%,70.48%,70.91%,48.70%,50.10%,53.92%,70.48%
Shareholding Pattern (Yearly),FIIs,0.02%,,,,0.00%,,,,0.01%,,,,0.02%,0.10%,0.05%,0.00%,0.02%,0.16%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.05%,0.00%,0.97%,0.19%,0.08%,0.07%
Shareholding Pattern (Yearly),Public,28.55%,,,,28.25%,,,,28.23%,,,,28.23%,29.36%,29.04%,50.32%,49.69%,45.84%,29.45%
Shareholding Pattern (Yearly),No. of Shareholders,14981,,,,15083,,,,16587,,,,16932,10593,11310,4453,9638,10426,10134
,,,,,,,,,,,,,,,,,,,,
