Section,,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Balance Sheet,Other Assets,21,26,25,92,50,62,62,69,83,87,102,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,37,41,48,111,118,157,124,124,120,124,140,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,10,11,5,6,11,6,4,9,17,18,21,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,3,-4,-8,89,-47,-29,14,13,16,-5,4,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-12,-1,-2,-30,-8,20,-27,-14,-14,-12,-13,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,1,6,-5,65,-43,-4,-9,8,20,1,12,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,42,26,40,54,43,43,47,79,68,64,57,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,93,121,117,52,84,87,74,66,56,50,49,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,80,76,76,69,122,90,76,56,44,45,51,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,55,71,81,37,5,40,45,88,80,69,55,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,48,52,67,44,36,42,51,71,65,50,55,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,54%,29%,28%,18%,14%,16%,18%,23%,26%,31%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,50.02%,50.02%,50.02%,50.03%,50.03%,50.59%,50.59%,50.59%,50.58%,46.52%,46.52%,46.52%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,1.42%,0.87%,0.76%,0.68%,0.69%,0.75%,0.80%,1.38%,1.55%,2.34%,2.30%,2.30%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,6.16%,6.30%,6.39%,7.18%,7.22%,7.10%,7.24%,7.29%,7.32%,10.60%,11.13%,11.41%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,42.21%,42.62%,42.65%,41.93%,41.87%,41.39%,41.19%,40.66%,40.47%,40.50%,40.01%,39.75%,,,,,,
Shareholding Pattern (Quarterly),Others,,,,,,,,,,,,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.07%,0.07%,0.04%,0.04%,0.04%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,66173,71064,72104,69947,71428,72002,68404,62664,57169,54536,53856,51674,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,,,,50.03%,,,,50.59%,,,,46.52%,50.09%,50.02%,50.02%,50.02%,50.02%,50.02%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,,,,0.68%,,,,1.38%,,,,2.30%,0.31%,1.09%,1.93%,4.69%,2.00%,1.43%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,,,,7.18%,,,,7.29%,,,,11.41%,2.79%,5.68%,8.73%,8.12%,7.76%,6.14%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,,,,41.93%,,,,40.66%,,,,39.75%,46.80%,43.20%,39.32%,37.17%,40.16%,42.23%
Shareholding Pattern (Yearly),Others,,,,,,,,,,,,,,,0.18%,,,,0.07%,,,,0.04%,0.00%,0.00%,0.00%,0.00%,0.06%,0.18%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,,,,69947,,,,62664,,,,51674,18427,16140,18226,21207,29474,67323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
