Section,,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Profit & Loss,Expenses,,0.26,,,,0.64,,,,0.94,,,,0.69,0.67,0.32,0.99,0.73,0.79,,,,
Profit & Loss,Operating Profit,,0.68,,,,0.58,,,,1.15,,,,0.68,1.05,1.99,0.77,0.26,0.59,,,,
Profit & Loss,OPM %,,72.34%,,,,47.54%,,,,55.02%,,,,49.64%,61.05%,86.15%,43.75%,26.26%,42.75%,,,,
Profit & Loss,Other Income,,0.00,,,,0.05,,,,0.00,,,,0.00,0.00,0.00,0.00,0.01,0.00,,,,
Profit & Loss,Interest,,0.04,,,,0.06,,,,0.20,,,,0.06,0.07,0.04,0.05,0.03,0.14,,,,
Profit & Loss,Depreciation,,0.05,,,,0.08,,,,0.35,,,,0.05,0.05,0.04,0.05,0.05,0.27,,,,
Profit & Loss,Profit before tax,,0.59,,,,0.49,,,,0.60,,,,0.57,0.93,1.91,0.67,0.19,0.18,,,,
Profit & Loss,Tax %,,23.73%,,,,10.20%,,,,26.67%,,,,40.35%,33.33%,26.70%,50.75%,31.58%,27.78%,,,,
Profit & Loss,Net Profit,,0.45,,,,0.44,,,,0.43,,,,0.34,0.62,1.40,0.33,0.13,0.14,,,,
Profit & Loss,EPS in Rs,,0.03,,,,0.03,,,,0.03,,,,0.02,0.04,0.10,0.02,0.01,0.01,,,,
Profit & Loss,Dividend Payout %,,0.00%,,,,0.00%,,,,0.00%,,,,66.18%,12.10%,5.89%,0.00%,0.00%,0.00%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,8.25,,,,8.25,,,,8.25,,,,7.50,7.50,8.25,8.25,8.25,8.25,,,,
Balance Sheet,Reserves,,2.91,,,,3.35,,,,3.79,,,,0.96,1.30,1.95,2.18,2.31,3.93,,,,
Balance Sheet,Borrowings,,3.55,,,,4.67,,,,9.19,,,,1.05,3.05,3.18,3.94,4.30,12.06,,,,
Balance Sheet,Other Liabilities,,1.04,,,,1.19,,,,1.32,,,,0.51,0.51,0.77,0.90,1.14,1.12,,,,
Balance Sheet,Total Liabilities,,15.75,,,,17.46,,,,22.55,,,,10.02,12.36,14.15,15.27,16.00,25.36,,,,
Balance Sheet,Fixed Assets,,0.19,,,,0.68,,,,2.30,,,,0.45,0.34,0.30,0.28,0.24,2.04,,,,
Balance Sheet,CWIP,,0.00,,,,0.00,,,,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Balance Sheet,Investments,,0.05,,,,0.06,,,,0.05,,,,0.03,0.00,0.02,0.28,0.03,0.05,,,,
Balance Sheet,Other Assets,,15.51,,,,16.72,,,,20.20,,,,9.54,12.02,13.83,14.71,15.73,23.27,,,,
Balance Sheet,Total Assets,,15.75,,,,17.46,,,,22.55,,,,10.02,12.36,14.15,15.27,16.00,25.36,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,0.72,,,,-1.06,,,,-2.47,,,,,-1.09,-0.37,-0.68,-0.46,-2.84,,,,
Cash Flows,Cash from Investing Activity,,-0.02,,,,-0.58,,,,-1.96,,,,,0.05,-0.02,-0.39,0.16,-0.01,,,,
Cash Flows,Cash from Financing Activity,,-0.30,,,,1.12,,,,4.52,,,,,1.40,0.09,0.73,0.36,2.86,,,,
Cash Flows,Net Cash Flow,,0.41,,,,-0.51,,,,0.09,,,,,0.36,-0.30,-0.35,0.06,0.01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,11.65,,,,0.00,,,,0.00,,,,0.00,10.61,0.00,55.99,11.06,0.00,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,11.65,,,,0.00,,,,0.00,,,,0.00,10.61,0.00,55.99,11.06,0.00,,,,
Ratios,Working Capital Days,,-368.88,,,,-308.16,,,,-193.85,,,,-119.89,-55.17,-91.65,-105.77,-368.69,-259.20,,,,
Ratios,ROCE %,,4.26%,,,,3.55%,,,,4.27%,,,,,9.36%,15.46%,5.19%,1.51%,1.41%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,52.23%,51.07%,51.47%,51.39%,45.97%,44.97%,39.83%,,,,,,49.63%,51.02%,53.71%,53.71%,53.71%
Shareholding Pattern (Quarterly),FIIs,,,,,,,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Quarterly),Public,,,,,,,47.77%,48.91%,48.51%,48.62%,54.04%,55.03%,60.18%,,,,,,50.38%,48.99%,46.30%,46.30%,46.29%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,26185,28350,30807,36951,44391,48218,51321,,,,,,54793,53381,54025,60658,62713
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,52.23%,,,,52.23%,,,,51.39%,,,,,74.04%,71.94%,53.76%,53.76%,49.63%,,,,53.71%
Shareholding Pattern (Yearly),Public,,47.77%,,,,47.77%,,,,48.62%,,,,,25.96%,28.06%,46.24%,46.24%,50.38%,,,,46.29%
Shareholding Pattern (Yearly),No. of Shareholders,,10571,,,,23712,,,,36951,,,,,2035,6454,7864,8176,54793,,,,62713
,,,,,,,,,,,,,,,,,,,,,,,,
