Section,,Mar 2006,Mar 2007,Mar 2008,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Shareholding Pattern (Quarterly),Promoters,,,,62.35%,62.25%,62.25%,62.25%,62.25%,62.25%,62.25%,62.25%,62.25%,62.25%,62.25%,62.29%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,0.00%,0.00%,0.09%,0.00%,0.03%,0.00%,0.10%,0.30%,0.30%,0.00%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,37.43%,37.53%,37.44%,37.52%,37.50%,37.54%,37.43%,37.22%,37.24%,37.52%,37.54%,37.48%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,19351,19186,18035,17600,16858,16111,16957,17454,17261,18442,18781,18581,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,62.25%,,,,62.25%,,,,62.29%,60.55%,60.70%,61.34%,61.99%,62.35%,62.35%
Shareholding Pattern (Yearly),FIIs,,,,,,,0.00%,,,,0.30%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,,,,0.22%,,,,0.22%,,,,0.22%,0.47%,0.40%,0.34%,0.23%,0.22%,0.22%
Shareholding Pattern (Yearly),Government,,,,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.20%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,37.52%,,,,37.22%,,,,37.48%,38.98%,38.70%,38.32%,37.78%,37.43%,37.43%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,17600,,,,17454,,,,18581,16160,16251,16085,15412,15164,20116
,,,,,,,,,,,,,,,,,,,,,,
