Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,May 2025
Balance Sheet,Total Assets,,,,780,,,,842,,,,953,306,418,392,484,527,605,589,634,762,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,38,,,,44,,,,8,18,19,37,34,70,-29,58,52,33,
Cash Flows,Cash from Investing Activity,,,,-12,,,,-0,,,,-42,0,1,5,-7,-3,-31,1,-3,-17,
Cash Flows,Cash from Financing Activity,,,,-30,,,,-42,,,,17,-20,-18,-31,-12,-16,16,-55,7,9,
Cash Flows,Net Cash Flow,,,,-4,,,,2,,,,-17,-2,2,11,15,52,-44,3,55,25,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,66,,,,43,,,,47,142,259,195,237,88,108,100,111,99,
Ratios,Inventory Days,,,,19,,,,25,,,,25,4,10,15,16,40,55,57,34,36,
Ratios,Days Payable,,,,119,,,,148,,,,119,116,729,392,503,187,354,270,390,234,
Ratios,Cash Conversion Cycle,,,,-34,,,,-80,,,,-47,30,-460,-182,-250,-59,-190,-113,-245,-99,
Ratios,Working Capital Days,,,,90,,,,75,,,,72,265,250,218,209,123,156,144,161,118,
Ratios,ROCE %,,,,13%,,,,23%,,,,19%,15%,12%,16%,16%,19%,18%,15%,11%,8%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,51.29%,51.29%,51.29%,51.29%,51.29%,50.88%,50.88%,50.88%,50.88%,50.88%,51.01%,,,,,,,,,,39.18%
Shareholding Pattern (Quarterly),FIIs,,0.06%,0.06%,0.06%,0.39%,0.79%,0.84%,0.49%,0.49%,0.48%,0.80%,0.52%,,,,,,,,,,0.40%
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,,,,,,,,,,0.01%
Shareholding Pattern (Quarterly),Public,,48.65%,48.65%,48.65%,48.32%,47.93%,48.29%,48.64%,48.62%,48.64%,48.31%,48.45%,,,,,,,,,,60.42%
Shareholding Pattern (Quarterly),No. of Shareholders,,24153,23596,24486,23437,24045,20944,20897,22812,32097,37909,39475,,,,,,,,,,38518
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,51.29%,,,,50.88%,,,,51.01%,,,,68.00%,52.51%,52.51%,53.16%,55.30%,51.29%,39.18%
Shareholding Pattern (Yearly),FIIs,,,,0.06%,,,,0.49%,,,,0.52%,,,,2.95%,2.12%,2.12%,3.89%,2.82%,0.53%,0.40%
Shareholding Pattern (Yearly),DIIs,,,,0.00%,,,,0.00%,,,,0.01%,,,,0.01%,4.96%,3.79%,3.34%,1.69%,0.00%,0.01%
Shareholding Pattern (Yearly),Government,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.02%,0.03%,0.00%
Shareholding Pattern (Yearly),Public,,,,48.65%,,,,48.64%,,,,48.45%,,,,29.04%,40.40%,41.58%,39.62%,40.17%,48.16%,60.42%
Shareholding Pattern (Yearly),No. of Shareholders,,,,24486,,,,20897,,,,39475,,,,3450,4966,5164,4794,6641,25214,38518
,,,,,,,,,,,,,,,,,,,,,,,
