Section,,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Cash Flows,Net Cash Flow,17,-26,33,-29,22,-8,-11,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,20,30,11,42,58,22,27,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,200,183,114,128,237,125,138,,,,,,,,,,,,,,,,,
Ratios,Days Payable,24,12,11,12,20,16,15,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,197,201,114,158,276,131,150,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,194,186,104,142,240,118,122,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,9%,7%,4%,1%,4%,9%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,59.72%,59.72%,59.72%,59.72%,59.72%,59.72%,59.72%,59.72%,59.72%,59.72%,59.72%,59.72%,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,0.20%,0.00%,0.02%,0.21%,0.02%,0.00%,0.00%,0.13%,0.09%,0.10%,0.00%,0.01%,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.02%,0.02%,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,40.07%,40.27%,40.25%,40.06%,40.26%,40.27%,40.28%,40.15%,40.18%,40.18%,40.26%,40.24%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,29124,29326,28428,29061,28369,29191,28133,28718,33860,32420,32588,32808,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,60.09%,,,,59.72%,,,,59.72%,,,,59.72%,59.72%,59.72%,59.72%,59.72%,59.72%
Shareholding Pattern (Yearly),FIIs,,,,,,,0.00%,,,,0.21%,,,,0.13%,,,,0.01%,0.09%,0.00%,0.00%,0.00%,0.10%
Shareholding Pattern (Yearly),DIIs,,,,,,,0.26%,,,,0.01%,,,,0.01%,,,,0.02%,0.02%,0.17%,0.01%,0.01%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,39.64%,,,,40.06%,,,,40.15%,,,,40.24%,40.17%,40.11%,40.27%,40.27%,40.18%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,16097,,,,29061,,,,28718,,,,32808,25296,31764,29988,28051,28426
,,,,,,,,,,,,,,,,,,,,,,,,,
