Section,,Dec 2005,Dec 2006,Dec 2007,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,73.72%,73.72%,73.72%,73.72%,73.72%,73.72%,73.72%,73.72%,73.72%,73.72%,73.72%,73.72%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,0.64%,0.63%,0.73%,0.82%,0.95%,1.08%,1.14%,1.26%,1.54%,1.66%,1.84%,1.79%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,13.51%,13.48%,13.26%,13.22%,13.01%,13.00%,12.98%,13.02%,13.03%,13.03%,13.10%,12.87%,,,,,,
Shareholding Pattern (Quarterly),Government,,,,0.42%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,11.70%,12.15%,12.27%,12.22%,12.32%,12.19%,12.15%,11.99%,11.69%,11.59%,11.33%,11.60%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,17199,17958,17227,18041,18422,18375,19685,18395,18288,19674,19749,20625,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,73.72%,,,,73.72%,,,,73.72%,73.72%,73.72%,73.72%,73.72%,73.72%,73.72%
Shareholding Pattern (Yearly),FIIs,,,,,,,0.82%,,,,1.26%,,,,1.79%,3.18%,10.60%,10.14%,10.00%,3.84%,0.21%
Shareholding Pattern (Yearly),DIIs,,,,,,,13.22%,,,,13.02%,,,,12.87%,1.10%,1.58%,1.32%,4.11%,10.06%,13.68%
Shareholding Pattern (Yearly),Government,,,,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.29%,0.32%,0.32%,0.40%,0.42%
Shareholding Pattern (Yearly),Public,,,,,,,12.22%,,,,11.99%,,,,11.60%,22.00%,13.81%,14.50%,11.85%,11.98%,11.97%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,18041,,,,18395,,,,20625,9472,11081,10456,10729,14526,14844
,,,,,,,,,,,,,,,,,,,,,,
