Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025,Mar 2017
Shareholding Pattern (Quarterly),FIIs,,,0.12%,0.12%,0.40%,0.12%,0.04%,0.12%,0.32%,0.62%,1.41%,1.10%,1.53%,,,,,,,,,1.52%,
Shareholding Pattern (Quarterly),DIIs,,,13.22%,13.22%,15.58%,12.72%,7.15%,3.90%,3.92%,2.83%,1.86%,1.62%,0.51%,,,,,,,,,0.51%,
Shareholding Pattern (Quarterly),Public,,,86.65%,86.65%,84.02%,87.16%,92.81%,95.99%,95.76%,96.55%,96.75%,97.28%,97.97%,,,,,,,,,97.97%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,40685,40927,44480,49134,54910,60714,82899,102932,117393,181090,205896,,,,,,,,,205910,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,,18.17%,18.16%,18.11%,18.16%,0.00%,18.35%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.40%,,,,0.32%,,,,1.53%,,,,,0.12%,0.00%,0.00%,0.00%,1.52%,0.00%
Shareholding Pattern (Yearly),DIIs,10.43%,,,,15.58%,,,,3.92%,,,,0.51%,,,,,3.41%,3.22%,3.22%,0.15%,0.51%,12.48%
Shareholding Pattern (Yearly),Public,89.57%,,,,84.02%,,,,95.76%,,,,97.97%,,,,,78.30%,78.62%,78.67%,81.69%,97.97%,69.17%
Shareholding Pattern (Yearly),No. of Shareholders,40573,,,,44480,,,,82899,,,,205896,,,,,47680,45990,46078,43371,205910,51933
,,,,,,,,,,,,,,,,,,,,,,,,
