Section,,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2012,Mar 2013,Mar 2014,Mar 2016,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Balance Sheet,Equity Capital,,110,,,,,,,143,,143,,13,15,18,143,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,632,,,,,,,1306,,1352,,195,292,413,1221,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,558,,,,,,,505,,413,,417,446,439,503,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,60,,,,,,,135,,204,,34,44,47,130,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,1359,,,,,,,2089,,2112,,660,797,917,1996,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,1073,,,,,,,1194,,1235,,549,620,656,1171,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,27,,,,,,,517,,585,,1,0,44,275,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,5,,,,,,,46,,0,,0,20,20,46,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,253,,,,,,,332,,292,,111,156,198,505,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,1359,,,,,,,2089,,2112,,660,797,917,1996,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,123,,,,,,,108,,,,66,73,82,224,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,-194,,,,,,,-47,,,,-112,-109,-93,-664,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,70,,,,,,,-28,,,,46,38,10,443,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,-0,,,,,,,34,,,,0,1,-1,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,86,,,,,,,44,,,,82,69,80,50,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,86,,,,,,,44,,,,82,69,80,50,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,6,,,,,,,-133,,,,86,91,37,-114,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,10%,,,,,,,7%,,,,,14%,16%,9%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,,,69.03%,69.02%,69.25%,70.44%,70.44%,70.44%,70.44%,70.44%,70.44%,70.44%,70.45%,70.45%,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,,,,,0.46%,0.64%,0.82%,0.48%,0.52%,0.15%,0.79%,0.28%,0.24%,0.29%,0.73%,0.33%,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.77%,1.31%,2.04%,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,,,30.51%,30.34%,29.92%,29.08%,29.03%,29.41%,28.76%,29.26%,29.32%,27.49%,27.51%,27.18%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,,,55113,62119,62659,61432,60224,59442,53408,57956,55007,56459,55823,55359,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,72.86%,,,,,,,,,,,,70.44%,,,,70.44%,,,,70.45%,69.03%,69.03%,69.03%,69.03%,69.03%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,7.31%,,,,,,,,,,,,0.48%,,,,0.28%,,,,0.33%,8.02%,0.74%,0.16%,0.15%,0.27%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,15.49%,,,,,,,,,,,,0.00%,,,,0.00%,,,,2.04%,14.93%,11.18%,7.78%,7.31%,5.26%
Shareholding Pattern (Yearly),Public,,,,,,,,,4.34%,,,,,,,,,,,,29.08%,,,,29.26%,,,,27.18%,8.03%,19.05%,23.03%,23.51%,25.44%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,24283,,,,,,,,,,,,61432,,,,57956,,,,55359,30186,38986,37551,46043,53862
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
