Section,,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Mar 2012,Sep 201318m,Sep 2014,Mar 20156m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Sep 2013,Mar 2015,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,107,,,,36,,,,43,,,,31,455,768,404,201,375,371,333,250,,,,,,,,,,
Profit & Loss,Expenses,127,,,,41,,,,43,,,,48,432,703,423,240,381,373,338,261,,,,,,,,,,
Profit & Loss,Operating Profit,-20,,,,-6,,,,0,,,,-17,22,65,-19,-38,-6,-2,-5,-10,,,,,,,,,,
Profit & Loss,OPM %,-19%,,,,-16%,,,,0%,,,,-55%,5%,8%,-5%,-19%,-2%,-1%,-2%,-4%,,,,,,,,,,
Profit & Loss,Other Income,-13,,,,0,,,,0,,,,5,8,-10,-7,3,4,2,5,-88,,,,,,,,,,
Profit & Loss,Interest,0,,,,1,,,,0,,,,0,52,86,64,3,9,1,0,0,,,,,,,,,,
Profit & Loss,Depreciation,15,,,,15,,,,15,,,,14,23,33,22,9,19,18,17,16,,,,,,,,,,
Profit & Loss,Profit before tax,-48,,,,-21,,,,-15,,,,-26,-45,-64,-112,-47,-30,-19,-18,-115,,,,,,,,,,
Profit & Loss,Tax %,1%,,,,0%,,,,0%,,,,0%,-30%,19%,0%,0%,0%,0%,0%,0%,,,,,,,,,,
Profit & Loss,Net Profit,-49,,,,-21,,,,-15,,,,-26,-31,-76,-112,-47,-30,-19,-18,-115,,,,,,,,,,
Profit & Loss,EPS in Rs,-6.89,,,,-3.00,,,,-2.07,,,,-3.74,-4.45,-10.76,-15.82,-6.62,-4.24,-2.69,-2.55,-16.28,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,71,,,,71,,,,71,,,,71,71,,71,,71,71,71,71,71,71,,,,,,,,
Balance Sheet,Reserves,-418,,,,-439,,,,-453,,,,-480,48,,-139,,-218,-237,-255,-370,-28,-188,,,,,,,,
Balance Sheet,Borrowings,557,,,,557,,,,557,,,,557,533,,539,,557,558,557,556,497,534,,,,,,,,
Balance Sheet,Other Liabilities,75,,,,78,,,,82,,,,69,117,,113,,82,92,92,77,176,91,,,,,,,,
Balance Sheet,Total Liabilities,284,,,,266,,,,256,,,,217,768,,584,,493,483,465,334,716,508,,,,,,,,
Balance Sheet,Fixed Assets,192,,,,177,,,,162,,,,148,329,,287,,258,238,222,207,309,277,,,,,,,,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,11,,0,,0,0,0,0,0,0,,,,,,,,
Balance Sheet,Investments,26,,,,26,,,,26,,,,26,0,,27,,27,27,27,26,32,27,,,,,,,,
Balance Sheet,Other Assets,67,,,,64,,,,68,,,,43,429,,270,,208,218,216,101,375,204,,,,,,,,
Balance Sheet,Total Assets,284,,,,266,,,,256,,,,217,768,,584,,493,483,465,334,716,508,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,0,,,,-0,,,,-0,,,,-0,-23,,-8,,4,-1,1,1,108,7,,,,,,,,
Cash Flows,Cash from Investing Activity,0,,,,0,,,,0,,,,0,1,,6,,1,-1,-0,-0,-32,-3,,,,,,,,
Cash Flows,Cash from Financing Activity,-0,,,,-0,,,,0,,,,0,-7,,-2,,-2,-2,-0,-1,-106,-7,,,,,,,,
Cash Flows,Net Cash Flow,0,,,,-0,,,,-0,,,,-0,-29,,-3,,3,-4,0,-1,-30,-2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,53,,,,147,,,,120,,,,35,109,,111,,121,119,134,26,77,218,,,,,,,,
Ratios,Inventory Days,73,,,,661,,,,1249,,,,173,183,,115,,73,83,67,64,101,87,,,,,,,,
Ratios,Days Payable,229,,,,2092,,,,3838,,,,1079,104,,70,,75,89,90,97,95,85,,,,,,,,
Ratios,Cash Conversion Cycle,-102,,,,-1285,,,,-2469,,,,-872,189,,156,,119,112,111,-6,84,220,,,,,,,,
Ratios,Working Capital Days,-127,,,,-420,,,,-341,,,,-621,154,,42,,53,108,107,-10,57,-33,,,,,,,,
Ratios,ROCE %,-15%,,,,-10%,,,,-8%,,,,-16%,1%,,-8%,,-5%,-5%,-5%,-8%,7%,-9%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,38.67%,38.67%,38.67%,38.67%,,,,,,,,,,,38.67%,38.67%,38.67%,38.67%,38.67%,38.67%,38.67%,38.67%
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,12.95%,12.95%,12.95%,12.95%,,,,,,,,,,,12.95%,12.95%,12.95%,12.95%,12.95%,12.95%,8.99%,8.99%
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,0.03%,0.03%,0.03%,0.03%,,,,,,,,,,,0.03%,0.03%,0.03%,0.03%,0.02%,0.02%,0.02%,0.02%
Shareholding Pattern (Quarterly),Public,,,,,,,,,,48.36%,48.36%,48.36%,48.36%,,,,,,,,,,,48.36%,48.36%,48.36%,48.35%,48.37%,48.37%,52.33%,52.33%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,13120,13114,13112,13114,,,,,,,,,,,13115,13588,15215,16682,17424,17698,17857,18031
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,38.67%,,,,38.67%,,,,38.67%,,,,38.67%,,,,,,38.67%,38.67%,38.67%,,,,,,38.67%,,,,38.67%
Shareholding Pattern (Yearly),FIIs,12.95%,,,,12.95%,,,,12.95%,,,,12.95%,,,,,,8.99%,12.95%,12.95%,,,,,,12.95%,,,,8.99%
Shareholding Pattern (Yearly),DIIs,0.03%,,,,0.03%,,,,0.03%,,,,0.03%,,,,,,0.02%,0.02%,0.03%,,,,,,0.03%,,,,0.02%
Shareholding Pattern (Yearly),Public,48.36%,,,,48.36%,,,,48.36%,,,,48.36%,,,,,,52.33%,48.37%,48.36%,,,,,,48.35%,,,,52.33%
Shareholding Pattern (Yearly),No. of Shareholders,13133,,,,13137,,,,13126,,,,13114,,,,,,14099,13283,13126,,,,,,16682,,,,18031
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
