Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
Balance Sheet,Total Liabilities,,52.61,,,,53.64,,,,59.57,,63.93,,24.80,23.84,26.04,33.13,36.22,39.37,43.22,,
Balance Sheet,Fixed Assets,,1.72,,,,2.57,,,,6.25,,6.28,,0.93,0.92,1.11,1.08,1.00,1.13,1.41,,
Balance Sheet,CWIP,,0.00,,,,0.39,,,,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Balance Sheet,Investments,,3.21,,,,2.19,,,,4.66,,5.93,,0.28,0.66,0.81,3.24,4.32,4.47,2.79,,
Balance Sheet,Other Assets,,47.68,,,,48.49,,,,48.66,,51.72,,23.59,22.26,24.12,28.81,30.90,33.77,39.02,,
Balance Sheet,Total Assets,,52.61,,,,53.64,,,,59.57,,63.93,,24.80,23.84,26.04,33.13,36.22,39.37,43.22,,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-4.44,,,,5.37,,,,9.18,,,,-0.21,3.82,0.70,2.44,-1.98,2.12,4.78,,
Cash Flows,Cash from Investing Activity,,1.88,,,,0.75,,,,-6.49,,,,-0.30,-0.52,0.48,-1.35,-0.27,0.18,0.79,,
Cash Flows,Cash from Financing Activity,,-1.70,,,,-0.84,,,,-1.44,,,,1.96,-4.34,-0.87,2.24,-0.78,-0.47,-0.01,,
Cash Flows,Net Cash Flow,,-4.26,,,,5.27,,,,1.26,,,,1.46,-1.05,0.31,3.33,-3.03,1.83,5.56,,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,144.42,,,,111.65,,,,125.83,,,,199.90,204.51,199.50,189.43,159.56,164.24,158.38,,
Ratios,Inventory Days,,24.26,,,,17.35,,,,12.03,,,,17.87,18.30,13.08,43.62,28.94,22.98,21.77,,
Ratios,Days Payable,,53.69,,,,38.78,,,,42.55,,,,41.21,60.55,50.92,55.52,39.08,54.34,50.63,,
Ratios,Cash Conversion Cycle,,115.00,,,,90.22,,,,95.32,,,,176.57,162.27,161.66,177.53,149.42,132.88,129.53,,
Ratios,Working Capital Days,,159.54,,,,118.81,,,,128.27,,,,193.45,169.41,182.34,177.53,191.13,200.68,167.62,,
Ratios,ROCE %,,15.69%,,,,14.34%,,,,17.87%,,,,,10.43%,19.92%,21.20%,14.70%,13.98%,18.85%,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,68.08%,68.08%,68.12%,68.16%,68.16%,68.34%,68.52%,68.52%,68.64%,68.64%,68.64%,,,,,,,,,68.67%
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.03%,,,,,,,,,0.03%
Shareholding Pattern (Quarterly),Public,,,31.93%,31.92%,31.88%,31.84%,31.84%,31.66%,31.48%,31.48%,31.36%,31.36%,31.34%,,,,,,,,,31.30%
Shareholding Pattern (Quarterly),No. of Shareholders,,,5946,7741,10441,10777,11158,10937,23797,28124,26744,28956,31337,,,,,,,,,30708
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,68.08%,,,,68.16%,,,,68.52%,,,,,,,62.18%,64.36%,64.75%,67.88%,,68.67%
Shareholding Pattern (Yearly),FIIs,,0.00%,,,,0.00%,,,,0.01%,,,,,,,0.00%,0.00%,0.00%,0.00%,,0.03%
Shareholding Pattern (Yearly),Public,,31.92%,,,,31.84%,,,,31.48%,,,,,,,37.82%,35.63%,35.24%,32.12%,,31.30%
Shareholding Pattern (Yearly),No. of Shareholders,,5850,,,,10777,,,,28124,,,,,,,338,253,245,211,,30708
,,,,,,,,,,,,,,,,,,,,,,,
