Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Jun 2025,Mar 2021
Cash Flows,Net Cash Flow,-0.09,,,,-0.01,,,,0.20,,,,-0.20,-0.04,-0.15,7.86,-4.79,20.48,74.21,-95.79,-1.84,,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,3.46,,,,49.18,,,,336.17,,,,428.86,74.82,271.59,111.79,79.51,132.20,69.06,41.93,0.00,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,3.46,,,,49.18,,,,336.17,,,,428.86,74.82,271.59,111.79,79.51,132.20,69.06,41.93,0.00,,
Ratios,Working Capital Days,275.05,,,,68.15,,,,310.76,,,,392.25,72.11,159.64,110.02,87.40,81.75,40.77,-3.66,50.78,,
Ratios,ROCE %,,,,,-0.94%,,,,13.32%,,,,16.43%,42.45%,20.43%,32.94%,61.46%,37.33%,-9.10%,-32.58%,-111.07%,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,18.68%,18.68%,18.68%,12.72%,8.27%,8.27%,8.27%,8.27%,4.14%,4.14%,4.14%,,,,,,,,,8.61%,
Shareholding Pattern (Quarterly),FIIs,,,0.44%,0.44%,0.44%,0.44%,0.30%,0.30%,0.30%,0.29%,0.15%,0.15%,0.15%,,,,,,,,,0.20%,
Shareholding Pattern (Quarterly),DIIs,,,0.04%,0.04%,0.04%,0.04%,0.03%,0.03%,0.03%,0.03%,0.01%,0.10%,0.10%,,,,,,,,,0.06%,
Shareholding Pattern (Quarterly),Public,,,80.83%,80.83%,80.84%,86.80%,91.42%,91.41%,91.42%,91.42%,95.71%,95.62%,95.62%,,,,,,,,,91.15%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,12341,12225,12112,12007,11979,11766,31169,33417,88570,121561,142646,,,,,,,,,148877,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,18.68%,,,,18.68%,,,,8.27%,,,,4.14%,,,,,24.93%,17.28%,17.28%,0.25%,8.61%,18.68%
Shareholding Pattern (Yearly),FIIs,0.44%,,,,0.44%,,,,0.30%,,,,0.15%,,,,,6.94%,4.74%,6.05%,1.63%,0.20%,1.54%
Shareholding Pattern (Yearly),DIIs,0.04%,,,,0.04%,,,,0.03%,,,,0.10%,,,,,3.67%,2.11%,0.41%,0.05%,0.06%,0.05%
Shareholding Pattern (Yearly),Public,80.84%,,,,80.84%,,,,91.42%,,,,95.62%,,,,,64.46%,75.86%,76.26%,98.07%,91.15%,79.73%
Shareholding Pattern (Yearly),No. of Shareholders,12366,,,,12112,,,,31169,,,,142646,,,,,7034,12164,13218,13129,148877,12548
,,,,,,,,,,,,,,,,,,,,,,,,
