Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2025,Mar 2017
Cash Flows,Cash from Investing Activity,-110,,,,-16,,,,1,,,,-61,-21,-29,25,-87,,
Cash Flows,Cash from Financing Activity,480,,,,80,,,,-124,,,,-27,-6,490,-17,231,,
Cash Flows,Net Cash Flow,56,,,,41,,,,-2,,,,-75,-32,8,38,74,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,6,,,,10,,,,11,,,,22,4,0,1,8,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,6,,,,10,,,,11,,,,22,4,0,1,8,,
Ratios,Working Capital Days,-73,,,,-79,,,,-78,,,,-64,1176,-69,-101,-65,,
Ratios,ROCE %,3%,,,,-0%,,,,6%,,,,6%,,5%,6%,5%,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,73.04%,73.04%,73.04%,73.04%,73.04%,73.04%,73.04%,73.04%,73.04%,73.02%,72.95%,,,,,72.95%,
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,,,,,0.13%,
Shareholding Pattern (Quarterly),Public,,,26.95%,26.96%,26.96%,26.97%,26.96%,26.96%,26.97%,26.98%,26.97%,26.99%,26.93%,,,,,26.92%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,1211,1262,1324,1342,1342,1347,1339,1461,2024,2619,3740,,,,,3740,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,73.04%,,,,73.04%,,,,73.04%,,,,72.95%,63.73%,73.04%,73.04%,73.04%,72.95%,41.90%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.13%,0.00%,0.00%,0.00%,0.00%,0.13%,0.00%
Shareholding Pattern (Yearly),Public,26.96%,,,,26.96%,,,,26.97%,,,,26.93%,36.27%,26.96%,26.96%,26.96%,26.92%,58.10%
Shareholding Pattern (Yearly),No. of Shareholders,1185,,,,1324,,,,1339,,,,3740,459,629,656,793,3740,811
,,,,,,,,,,,,,,,,,,,,
