Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 2013,Sep 2014,Mar 201618m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2016
Balance Sheet,Reserves,14028,,,,14703,,,,16699,,,,18484,3651,4535,,8637,9734,10833,12210,13409,7220
Balance Sheet,Borrowings,3229,,,,3014,,,,2822,,,,3771,1599,1903,,2333,2163,2506,1854,2388,2464
Balance Sheet,Other Liabilities,5799,,,,6648,,,,7325,,,,7307,3023,3391,,4075,4577,5098,5373,6780,3566
Balance Sheet,Total Liabilities,23060,,,,24369,,,,26849,,,,29567,8278,9833,,15048,16478,18441,19442,22582,13254
Balance Sheet,Fixed Assets,9522,,,,10118,,,,12046,,,,13221,2974,3436,,5502,6092,6786,8870,9441,4608
Balance Sheet,CWIP,1233,,,,3046,,,,2385,,,,1169,359,628,,848,1079,1403,1741,1002,1059
Balance Sheet,Investments,3656,,,,3085,,,,3383,,,,4548,904,1081,,3382,4145,3855,1519,5874,3138
Balance Sheet,Other Assets,8648,,,,8120,,,,9036,,,,10629,4041,4688,,5316,5162,6397,7312,6265,4448
Balance Sheet,Total Assets,23060,,,,24369,,,,26849,,,,29567,8278,9833,,15048,16478,18441,19442,22582,13254
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-578,,,,2755,,,,3300,,,,1868,1499,1699,,1956,2413,1253,2271,4325,3043
Cash Flows,Cash from Investing Activity,169,,,,-1922,,,,-2378,,,,-2082,-959,-1791,,-1393,-2014,-1386,-162,-5087,-3408
Cash Flows,Cash from Financing Activity,424,,,,-840,,,,-868,,,,282,-313,67,,-438,-453,42,-1032,-250,212
Cash Flows,Net Cash Flow,14,,,,-6,,,,55,,,,67,228,-24,,125,-53,-91,1077,-1012,-152
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,44,,,,40,,,,42,,,,44,46,47,,54,52,54,52,48,33
Ratios,Inventory Days,120,,,,98,,,,108,,,,115,83,79,,118,88,113,110,115,62
Ratios,Days Payable,60,,,,58,,,,64,,,,57,47,50,,69,63,64,72,129,36
Ratios,Cash Conversion Cycle,104,,,,80,,,,86,,,,101,83,76,,103,78,102,90,34,58
Ratios,Working Capital Days,49,,,,19,,,,24,,,,87,50,47,,27,16,26,21,-13,17
Ratios,ROCE %,6%,,,,7%,,,,16%,,,,14%,29%,27%,,23%,17%,15%,13%,14%,49%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,27.94%,27.87%,27.88%,27.85%,27.77%,27.75%,27.76%,27.78%,27.77%,27.76%,27.80%,27.78%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,16.05%,16.46%,18.22%,18.05%,18.77%,19.58%,19.41%,19.75%,19.08%,18.68%,18.20%,17.54%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,12.46%,12.49%,11.37%,11.65%,11.71%,11.19%,11.45%,10.57%,10.74%,11.68%,12.00%,12.22%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,43.55%,43.18%,42.53%,42.45%,41.75%,41.48%,41.39%,41.92%,42.41%,41.88%,42.02%,42.46%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,56544,48377,41881,43500,37938,37504,37584,47663,57325,48576,52964,61320,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,27.95%,,,,27.85%,,,,27.78%,,,,27.78%,,,,27.37%,27.54%,27.74%,27.88%,27.84%,
Shareholding Pattern (Yearly),FIIs,15.54%,,,,18.05%,,,,19.75%,,,,17.54%,,,,10.07%,7.99%,6.11%,5.24%,13.48%,
Shareholding Pattern (Yearly),DIIs,11.73%,,,,11.65%,,,,10.57%,,,,12.22%,,,,10.52%,13.46%,15.37%,17.77%,14.28%,
Shareholding Pattern (Yearly),Public,44.79%,,,,42.45%,,,,41.92%,,,,42.46%,,,,52.04%,51.01%,50.79%,49.11%,44.40%,
Shareholding Pattern (Yearly),No. of Shareholders,66786,,,,43500,,,,47663,,,,61320,,,,38782,46283,61429,63243,50630,
,,,,,,,,,,,,,,,,,,,,,,,
