Section,,Mar 2005,Jun 2005,Sep 2005,Dec 2005,Mar 2006,Jun 2006,Sep 2006,Dec 2006,Mar 2007,Jun 2007,Dec 200818m,Dec 2009,Mar 201115m,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Dec 2008,Mar 2011,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Profit & Loss,Profit before tax,,,,,,94,,,,26,-133,41,-117,-52,-114,229,-49,-75,43,-252,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,0%,,,,2%,-8%,34%,-20%,3%,-20%,-29%,-30%,-27%,30%,-30%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,94,,,,26,-122,27,-93,-53,-91,295,-41,-47,39,-177,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,7.61,-25.48,-14.70,-24.83,30.17,-4.27,-4.94,3.31,-14.90,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,5%,,,,18%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,31,,,,31,,35,,37,37,96,96,96,119,119,31,37,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,358,,,,353,,848,,844,751,1042,290,271,156,140,882,723,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,1041,,,,1489,,2194,,2236,2161,2015,1197,1079,920,919,2168,2140,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,233,,,,195,,576,,703,780,982,586,610,641,682,603,678,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,1663,,,,2068,,3653,,3820,3729,4136,2168,2056,1836,1859,3684,3578,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,770,,,,798,,2008,,2201,2144,2944,1222,1158,1354,1239,1914,1991,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,25,,,,301,,126,,141,154,168,149,150,32,32,231,147,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,14,,,,228,,456,,466,474,12,12,12,107,18,500,434,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,854,,,,741,,1062,,1012,958,1012,786,736,343,570,1038,1006,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,1663,,,,2068,,3653,,3820,3729,4136,2168,2056,1836,1859,3684,3578,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,-19,,,,41,,135,,279,266,650,,125,165,-43,302,245,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,-65,,,,-582,,-41,,-133,-57,-527,,11,83,86,-423,-58,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,349,,,,358,,-93,,-101,-275,-140,,-169,-250,-45,75,-189,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,265,,,,-182,,1,,46,-67,-16,,-33,-2,-2,-46,-1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,38,,,,24,,30,,41,42,44,57,48,9,7,23,29,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,60,,,,107,,108,,111,102,145,73,71,64,95,92,60,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,109,,,,146,,160,,117,133,188,180,196,147,220,245,68,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,-11,,,,-15,,-22,,35,11,1,-50,-77,-73,-118,-129,21,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,114,,,,159,,55,,-95,-97,-169,-268,-216,-213,-371,70,-72,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,7%,,5%,,5%,3%,2%,3%,0%,6%,-7%,7%,5%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,,,,,,,,59.83%,59.84%,59.83%,59.83%,59.83%,59.83%,59.83%,59.83%,59.83%,59.83%,59.83%,59.83%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,,,,,,,,,,0.01%,0.04%,0.56%,0.01%,0.02%,1.16%,0.00%,0.05%,0.00%,0.38%,0.00%,0.03%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,,,,,,,,,,,10.56%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.01%,0.01%,0.01%,0.01%,,,,
Shareholding Pattern (Quarterly),Government,,,,,,,,,,,,,,,,,,,,,,,0.77%,0.77%,0.77%,0.77%,0.77%,0.77%,0.77%,0.77%,0.77%,0.77%,0.77%,0.77%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,,,,,,,,28.82%,39.31%,38.79%,39.33%,39.32%,38.17%,39.34%,39.30%,39.37%,38.99%,39.39%,39.35%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,,,,,,,,49311,49780,51685,51305,51360,55312,56748,66448,67584,66988,67175,68444,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,,,,,,,,60.67%,60.67%,,,,,,59.83%,,,,59.83%,,,,59.83%,59.97%,59.83%,59.83%,59.83%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,,,,,,,,0.00%,0.00%,,,,,,0.01%,,,,0.05%,,,,0.03%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,,,,,,,,19.35%,19.13%,,,,,,0.04%,,,,0.04%,,,,0.01%,19.09%,19.09%,18.24%,11.28%
Shareholding Pattern (Yearly),Government,,,,,,,,,,,,,,,,,,,0.77%,0.77%,,,,,,0.77%,,,,0.77%,,,,0.77%,0.77%,0.77%,0.77%,0.77%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,,,,,,,,19.21%,19.43%,,,,,,39.33%,,,,39.30%,,,,39.35%,20.17%,20.30%,21.15%,28.12%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,,,,,,,,40714,38617,,,,,,51305,,,,66448,,,,68444,38367,37360,36952,48221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
