Section,,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Balance Sheet,Investments,7,134,7,597,32,31,71,366,84,153,138,47,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,1735,1893,1936,1331,2056,2316,2259,1764,1935,1930,2003,2140,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,1768,2051,1966,1953,2114,2368,2345,2261,2147,2209,2266,2310,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-408,-362,-75,561,-433,-230,-116,375,-57,118,55,-15,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,11,-128,129,-592,597,140,84,-313,281,-216,-50,9,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-246,71,-84,-1,-6,-12,-19,-62,-144,-1,-0,1,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-642,-419,-30,-32,158,-102,-51,0,80,-99,4,-4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,450,161,575,373,7,17,3,3,6,24,0,0,,,,,,,,,,,,,,,,
Ratios,Inventory Days,671,192,1725,591,555,194,2123,,,62,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,17,24,103,32,46,5,2,,,0,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,1104,330,2197,932,516,206,2125,3,6,86,0,0,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,1826,899,4317,2837,2482,1207,2156,4751,9051,1106,4002,4218,,,,,,,,,,,,,,,,
Ratios,ROCE %,,16%,1%,-1%,4%,7%,5%,5%,2%,3%,3%,3%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,64.32%,64.33%,64.33%,64.33%,64.33%,64.33%,64.33%,64.33%,64.33%,69.19%,69.19%,69.19%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,4.98%,5.04%,3.99%,1.59%,1.55%,0.05%,0.01%,0.03%,0.01%,0.03%,0.00%,0.02%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,30.67%,30.60%,31.65%,34.06%,34.09%,35.60%,35.63%,35.63%,35.65%,30.76%,30.78%,30.76%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,201570,200486,199567,198987,198071,199509,200970,213670,217064,248068,251232,250280,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,64.33%,64.33%,,,,64.33%,,,,64.33%,,,,69.19%,64.33%,64.33%,64.33%,64.33%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,10.42%,10.17%,,,,1.59%,,,,0.03%,,,,0.02%,9.69%,9.69%,7.93%,5.01%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,0.28%,0.09%,,,,0.02%,,,,0.02%,,,,0.02%,0.02%,0.02%,0.02%,0.02%
Shareholding Pattern (Yearly),Government,,,,,,,,,,,0.00%,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.01%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,24.98%,25.41%,,,,34.06%,,,,35.63%,,,,30.76%,25.96%,25.96%,27.72%,30.64%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,206044,200673,,,,198987,,,,213670,,,,250280,195666,193165,192242,203282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
