Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 202315m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,188,,,,188,,,,188,188,188,188,188,188,188,188,188,188,,,,,,
Balance Sheet,Reserves,,,,,13950,,,,16140,,,,18367,7625,8030,8233,8625,9168,10344,11356,12511,14121,,,,,,
Balance Sheet,Borrowings,,,,,153,,,,355,,,,430,35,0,0,0,0,0,0,102,126,,,,,,
Balance Sheet,Other Liabilities,,,,,6252,,,,6685,,,,6428,4253,4464,4379,4581,5490,5524,5592,5399,6604,,,,,,
Balance Sheet,Total Liabilities,,,,,20544,,,,23368,,,,25413,12101,12682,12800,13394,14846,16056,17136,18200,21039,,,,,,
Balance Sheet,Fixed Assets,,,,,7512,,,,10007,,,,10829,5570,5666,5331,7568,7280,7088,7027,6694,6750,,,,,,
Balance Sheet,CWIP,,,,,1684,,,,986,,,,2061,832,1956,2396,261,269,398,446,548,1216,,,,,,
Balance Sheet,Investments,,,,,163,,,,811,,,,1509,2126,1385,1314,117,95,104,116,129,150,,,,,,
Balance Sheet,Other Assets,,,,,11185,,,,11564,,,,11013,3573,3675,3759,5448,7202,8466,9547,10828,12923,,,,,,
Balance Sheet,Total Assets,,,,,20544,,,,23368,,,,25413,12101,12682,12800,13394,14846,16056,17136,18200,21039,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,-1235,,,,2995,,,,1711,1063,1352,1457,1390,1554,1118,2255,2219,2835,,,,,,
Cash Flows,Cash from Investing Activity,,,,,-4637,,,,-1205,,,,-1262,-862,-1457,-904,-533,-379,-364,-321,-535,-988,,,,,,
Cash Flows,Cash from Financing Activity,,,,,-1238,,,,-443,,,,-1002,-834,-837,-716,-430,-426,-380,-374,-327,-331,,,,,,
Cash Flows,Net Cash Flow,,,,,-7110,,,,1347,,,,-553,-633,-942,-164,426,750,374,1559,1357,1517,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,14,,,,15,,,,20,13,13,15,18,18,21,15,12,10,,,,,,
Ratios,Inventory Days,,,,,109,,,,112,,,,85,231,233,235,278,261,263,153,131,162,,,,,,
Ratios,Days Payable,,,,,110,,,,111,,,,73,132,139,173,286,337,301,198,207,243,,,,,,
Ratios,Cash Conversion Cycle,,,,,13,,,,16,,,,32,112,106,77,10,-58,-17,-30,-64,-70,,,,,,
Ratios,Working Capital Days,,,,,37,,,,21,,,,9,-59,-54,-53,-64,-51,-28,-42,-62,-71,,,,,,
Ratios,ROCE %,,,,,9%,,,,17%,,,,17%,17%,15%,12%,11%,16%,16%,19%,16%,19%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,54.53%,56.69%,56.69%,56.69%,56.69%,56.69%,56.69%,56.69%,56.69%,56.69%,56.69%,56.69%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,12.21%,11.42%,11.95%,10.05%,9.98%,7.10%,6.24%,6.17%,5.64%,5.50%,5.14%,4.83%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,20.56%,18.95%,18.64%,19.51%,19.35%,22.79%,24.14%,24.64%,24.82%,24.42%,24.66%,24.92%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,12.54%,12.78%,12.55%,13.57%,13.80%,13.26%,12.76%,12.33%,12.68%,13.22%,13.35%,13.41%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,137391,141922,131412,170373,177178,167639,164547,149893,168397,186393,194430,204209,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,54.53%,,,,56.69%,,,,56.69%,,,,56.69%,,,,,,,,,,,54.53%,54.53%,54.53%,54.53%,54.53%
Shareholding Pattern (Yearly),FIIs,12.85%,,,,10.05%,,,,6.17%,,,,4.83%,,,,,,,,,,,14.26%,13.69%,8.92%,7.79%,12.74%
Shareholding Pattern (Yearly),DIIs,19.89%,,,,19.51%,,,,24.64%,,,,24.92%,,,,,,,,,,,16.68%,17.60%,21.45%,21.03%,20.18%
Shareholding Pattern (Yearly),Government,0.15%,,,,0.15%,,,,0.15%,,,,0.15%,,,,,,,,,,,0.15%,0.15%,0.15%,0.15%,0.15%
Shareholding Pattern (Yearly),Public,12.58%,,,,13.57%,,,,12.33%,,,,13.41%,,,,,,,,,,,14.38%,14.03%,14.95%,16.49%,12.40%
Shareholding Pattern (Yearly),No. of Shareholders,135310,,,,170373,,,,149893,,,,204209,,,,,,,,,,,104881,98342,96905,109196,108174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
