Section,,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Balance Sheet,Reserves,,,1092,,,,1206,,,,1328,,1402,,,764,838,932,968,1048,,,,,,,
Balance Sheet,Borrowings,,,0,,,,32,,,,42,,48,,,0,0,0,5,43,,,,,,,
Balance Sheet,Other Liabilities,,,1297,,,,1300,,,,1648,,1779,,,1135,1162,1066,933,986,,,,,,,
Balance Sheet,Total Liabilities,,,2710,,,,2858,,,,3339,,3550,,,2220,2321,2319,2228,2398,,,,,,,
Balance Sheet,Fixed Assets,,,760,,,,775,,,,821,,828,,,711,694,688,790,789,,,,,,,
Balance Sheet,CWIP,,,215,,,,163,,,,157,,217,,,262,359,364,300,253,,,,,,,
Balance Sheet,Investments,,,0,,,,30,,,,40,,5,,,0,0,0,7,0,,,,,,,
Balance Sheet,Other Assets,,,1735,,,,1890,,,,2321,,2500,,,1247,1268,1267,1131,1356,,,,,,,
Balance Sheet,Total Assets,,,2710,,,,2858,,,,3339,,3550,,,2220,2321,2319,2228,2398,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,348,,,,250,,,,230,,,,,,,,,173,,,,,,,
Cash Flows,Cash from Investing Activity,,,-123,,,,-209,,,,-150,,,,,,,,,-48,,,,,,,
Cash Flows,Cash from Financing Activity,,,-110,,,,-104,,,,-79,,,,,,,,,-62,,,,,,,
Cash Flows,Net Cash Flow,,,115,,,,-63,,,,1,,,,,,,,,63,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,205,,,,161,,,,195,,,,,167,161,173,167,164,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,205,,,,161,,,,195,,,,,167,161,173,167,164,,,,,,,
Ratios,Working Capital Days,,,-16,,,,4,,,,51,,,,,172,-92,-18,-37,-10,,,,,,,
Ratios,ROCE %,,,14%,,,,16%,,,,16%,,,,,,17%,17%,18%,18%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,72.84%,72.84%,72.84%,72.84%,72.84%,72.84%,,,,,,,,,72.84%,72.84%,72.84%,72.84%,72.84%,72.84%
Shareholding Pattern (Quarterly),FIIs,,,,,,,,0.26%,0.38%,1.03%,1.05%,1.32%,1.46%,,,,,,,,,1.45%,2.20%,2.15%,3.05%,3.34%,3.33%
Shareholding Pattern (Quarterly),DIIs,,,,,,,,4.12%,4.77%,4.19%,4.12%,2.20%,3.54%,,,,,,,,,3.39%,2.64%,2.86%,0.61%,0.36%,0.45%
Shareholding Pattern (Quarterly),Public,,,,,,,,22.78%,21.99%,21.94%,21.97%,23.64%,22.14%,,,,,,,,,22.31%,22.32%,22.14%,23.51%,23.45%,23.36%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,305235,294380,264995,274320,273786,297202,,,,,,,,,307246,376802,437008,515406,521892,540217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,72.84%,,,,72.84%,,,,72.84%,,,,,,,,,,,,72.84%,,,,72.84%
Shareholding Pattern (Yearly),FIIs,,,3.02%,,,,0.54%,,,,1.05%,,,,,,,,,,,,2.20%,,,,3.33%
Shareholding Pattern (Yearly),DIIs,,,5.24%,,,,3.88%,,,,4.12%,,,,,,,,,,,,2.64%,,,,0.45%
Shareholding Pattern (Yearly),Public,,,18.90%,,,,22.73%,,,,21.97%,,,,,,,,,,,,22.32%,,,,23.36%
Shareholding Pattern (Yearly),No. of Shareholders,,,283164,,,,309317,,,,274320,,,,,,,,,,,,376802,,,,540217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
