Section,,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Balance Sheet,Reserves,,,574,,,,607,,,,678,,710,219,242,289,304,327,363,525,568,571,,,,,,,
Balance Sheet,Borrowings,,,49,,,,71,,,,62,,69,358,410,341,292,307,249,232,188,78,,,,,,,
Balance Sheet,Other Liabilities,,,286,,,,297,,,,315,,374,357,376,389,398,397,248,274,302,217,,,,,,,
Balance Sheet,Total Liabilities,,,933,,,,1000,,,,1080,,1177,953,1048,1039,1013,1052,880,1051,1083,890,,,,,,,
Balance Sheet,Fixed Assets,,,425,,,,399,,,,481,,499,546,609,602,584,600,477,549,533,487,,,,,,,
Balance Sheet,CWIP,,,10,,,,97,,,,25,,42,46,32,75,63,40,23,25,10,3,,,,,,,
Balance Sheet,Investments,,,0,,,,0,,,,0,,0,30,30,1,1,1,103,0,0,0,,,,,,,
Balance Sheet,Other Assets,,,498,,,,505,,,,574,,636,331,377,361,365,411,278,476,541,401,,,,,,,
Balance Sheet,Total Assets,,,933,,,,1000,,,,1080,,1177,953,1048,1039,1013,1052,880,1051,1083,890,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,91,,,,108,,,,95,,,181,99,163,199,131,162,178,184,125,,,,,,,
Cash Flows,Cash from Investing Activity,,,-40,,,,-126,,,,-84,,,-139,-96,-42,-81,-79,-64,-118,16,-34,,,,,,,
Cash Flows,Cash from Financing Activity,,,-44,,,,14,,,,-28,,,-42,-13,-122,-102,-35,-100,-55,-85,-153,,,,,,,
Cash Flows,Net Cash Flow,,,7,,,,-4,,,,-17,,,-0,-10,-0,15,18,-2,5,115,-61,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,70,,,,56,,,,50,,,45,57,51,44,52,47,62,56,47,,,,,,,
Ratios,Inventory Days,,,52,,,,48,,,,49,,,22,29,33,35,36,39,39,36,41,,,,,,,
Ratios,Days Payable,,,81,,,,65,,,,56,,,74,69,69,68,71,77,68,66,52,,,,,,,
Ratios,Cash Conversion Cycle,,,41,,,,38,,,,43,,,-7,17,15,12,17,8,33,26,37,,,,,,,
Ratios,Working Capital Days,,,42,,,,34,,,,40,,,-7,1,-3,1,8,-1,22,20,30,,,,,,,
Ratios,ROCE %,,,4%,,,,9%,,,,16%,,,21%,17%,16%,16%,14%,12%,17%,17%,7%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,73.98%,73.97%,73.97%,73.97%,73.97%,73.97%,,,,,,,,,,,73.97%,74.98%,74.98%,74.98%,74.98%,74.98%
Shareholding Pattern (Quarterly),FIIs,,,,,,,,4.58%,3.99%,3.95%,3.84%,0.32%,0.41%,,,,,,,,,,,0.52%,0.48%,0.57%,0.43%,0.43%,0.45%
Shareholding Pattern (Quarterly),DIIs,,,,,,,,4.52%,4.48%,4.45%,4.55%,7.68%,8.50%,,,,,,,,,,,9.24%,8.92%,8.96%,8.85%,9.32%,9.30%
Shareholding Pattern (Quarterly),Public,,,,,,,,16.92%,17.55%,17.62%,17.63%,18.04%,17.12%,,,,,,,,,,,16.27%,15.62%,15.47%,15.74%,15.27%,15.27%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,46686,44191,43767,43801,41944,41983,,,,,,,,,,,41808,46840,46126,50092,49205,48858
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,75.00%,,,,75.00%,,,,73.97%,,,,,,,,52.32%,76.77%,75.00%,75.00%,,,74.98%,,,,74.98%
Shareholding Pattern (Yearly),FIIs,,,4.07%,,,,4.59%,,,,3.84%,,,,,,,,0.61%,0.18%,1.60%,1.96%,,,0.48%,,,,0.45%
Shareholding Pattern (Yearly),DIIs,,,3.89%,,,,3.24%,,,,4.55%,,,,,,,,0.63%,0.69%,3.72%,4.18%,,,8.92%,,,,9.30%
Shareholding Pattern (Yearly),Public,,,17.04%,,,,17.17%,,,,17.63%,,,,,,,,46.43%,22.36%,19.68%,18.86%,,,15.62%,,,,15.27%
Shareholding Pattern (Yearly),No. of Shareholders,,,42489,,,,48243,,,,43801,,,,,,,,49823,31291,30819,31070,,,46840,,,,48858
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
