Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2021,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Shareholding Pattern (Quarterly),DIIs,,0.04%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,45.41%,45.30%,45.29%,45.21%,45.33%,45.34%,45.34%,45.07%,45.10%,45.11%,45.10%,44.77%,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,12450,13191,13182,13083,14378,15809,16094,15481,15175,14478,14001,13794,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,54.44%,,,,54.64%,,,,54.87%,,,,55.17%,,,,,,54.23%,65.20%,65.20%,65.20%,54.74%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.11%,,,,0.04%,,,,0.02%,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.04%,,,,0.03%,,,,0.03%,,,,0.03%,,,,,,0.04%,0.04%,0.04%,0.04%,0.04%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,,,0.00%,0.00%,0.70%,0.70%,0.85%
Shareholding Pattern (Yearly),Public,45.52%,,,,45.21%,,,,45.07%,,,,44.77%,,,,,,45.74%,34.76%,34.06%,34.06%,44.38%
Shareholding Pattern (Yearly),No. of Shareholders,12855,,,,13083,,,,15481,,,,13794,,,,,,12736,9445,8938,9310,9342
,,,,,,,,,,,,,,,,,,,,,,,,
