Section,,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Profit & Loss,Profit before tax,220,,,,237,,,,304,,,,222,184,149,172,214,222,186,380,227,,,,,,,,,,,,
Profit & Loss,Tax %,30%,,,,23%,,,,25%,,,,26%,31%,33%,31%,29%,28%,21%,22%,26%,,,,,,,,,,,,
Profit & Loss,Net Profit,155,,,,184,,,,229,,,,164,126,101,119,153,157,147,297,167,,,,,,,,,,,,
Profit & Loss,EPS in Rs,7.99,,,,9.50,,,,11.75,,,,8.44,6.48,5.10,6.12,7.81,8.08,7.37,15.30,8.62,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,31%,,,,26%,,,,26%,,,,36%,31%,43%,38%,31%,31%,34%,25%,29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,19,,,,19,,,,19,,,,19,19,19,19,19,19,19,19,19,,,,,,,,,,,,
Balance Sheet,Reserves,1266,,,,1390,,,,1571,,,,1677,485,534,601,699,795,869,1092,1171,,,,,,,,,,,,
Balance Sheet,Borrowings,73,,,,94,,,,76,,,,93,117,154,131,77,125,90,39,25,,,,,,,,,,,,
Balance Sheet,Other Liabilities,804,,,,945,,,,922,,,,1069,395,414,438,502,496,506,559,763,,,,,,,,,,,,
Balance Sheet,Total Liabilities,2163,,,,2448,,,,2589,,,,2858,1017,1121,1190,1297,1436,1484,1709,1978,,,,,,,,,,,,
Balance Sheet,Fixed Assets,581,,,,593,,,,631,,,,771,348,517,555,604,595,564,574,574,,,,,,,,,,,,
Balance Sheet,CWIP,51,,,,76,,,,164,,,,130,159,60,35,21,26,40,42,47,,,,,,,,,,,,
Balance Sheet,Investments,109,,,,302,,,,283,,,,212,26,23,20,25,24,28,239,96,,,,,,,,,,,,
Balance Sheet,Other Assets,1422,,,,1477,,,,1510,,,,1745,484,522,580,647,790,851,854,1261,,,,,,,,,,,,
Balance Sheet,Total Assets,2163,,,,2448,,,,2589,,,,2858,1017,1121,1190,1297,1436,1484,1709,1978,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,80,,,,337,,,,217,,,,166,88,94,145,176,68,232,408,41,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-51,,,,-246,,,,-161,,,,-104,-134,-74,-40,-76,-54,-147,-289,89,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-52,,,,-74,,,,-67,,,,-61,46,-24,-90,-119,-17,-59,-80,-104,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-23,,,,17,,,,-12,,,,0,0,-4,15,-19,-2,26,39,26,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,83,,,,73,,,,61,,,,63,36,30,42,36,52,54,58,81,,,,,,,,,,,,
Ratios,Inventory Days,224,,,,193,,,,200,,,,227,141,143,111,119,146,171,166,224,,,,,,,,,,,,
Ratios,Days Payable,178,,,,176,,,,156,,,,182,165,130,104,110,107,116,139,206,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,129,,,,90,,,,105,,,,107,12,43,49,45,91,109,86,100,,,,,,,,,,,,
Ratios,Working Capital Days,92,,,,60,,,,67,,,,71,-3,14,1,18,48,55,48,80,,,,,,,,,,,,
Ratios,ROCE %,18%,,,,16%,,,,18%,,,,13%,36%,27%,25%,29%,27%,21%,22%,20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,,,,,,,50.09%,50.09%,50.09%,50.09%,50.09%,55.08%,55.08%,55.08%,55.08%,55.08%,55.08%,55.08%
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,,,,,,,,,6.02%,6.01%,7.00%,7.09%,7.69%,8.23%,9.21%,9.20%,9.46%,10.58%,11.86%,11.41%
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,,,,,,,,,,15.16%,15.27%,14.87%,14.47%,13.51%,14.44%,12.83%,12.77%,13.26%,13.83%,13.29%,13.78%
Shareholding Pattern (Quarterly),Government,,,,,,,,,,,,,,,,,,,,,,0.41%,0.41%,0.41%,0.41%,0.41%,0.41%,0.41%,0.41%,0.41%,0.41%,0.41%,0.41%
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,,,,,,,28.32%,28.20%,27.63%,27.92%,28.28%,21.84%,22.45%,22.54%,21.79%,20.09%,19.35%,19.31%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,,,,,,,136135,135466,128559,129213,136351,135352,137351,144115,138434,133519,135576,136241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,50.09%,,,,50.09%,,,,50.09%,,,,50.09%,,,,,,,50.09%,50.09%,,,,50.09%,,,,55.08%,,,,55.08%
Shareholding Pattern (Yearly),FIIs,4.00%,,,,4.89%,,,,7.58%,,,,6.08%,,,,,,,4.47%,3.90%,,,,7.09%,,,,9.20%,,,,11.41%
Shareholding Pattern (Yearly),DIIs,19.57%,,,,18.87%,,,,15.94%,,,,16.07%,,,,,,,13.41%,18.37%,,,,14.47%,,,,12.77%,,,,13.78%
Shareholding Pattern (Yearly),Government,0.41%,,,,0.41%,,,,0.41%,,,,0.41%,,,,,,,0.41%,0.41%,,,,0.41%,,,,0.41%,,,,0.41%
Shareholding Pattern (Yearly),Public,25.93%,,,,25.74%,,,,25.97%,,,,27.35%,,,,,,,31.61%,27.22%,,,,27.92%,,,,22.54%,,,,19.31%
Shareholding Pattern (Yearly),No. of Shareholders,63195,,,,55851,,,,88968,,,,124339,,,,,,,38039,57870,,,,129213,,,,144115,,,,136241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
